DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DBL1);7(DBL2);8(DC1);9(DC2);10(DC3);11(DC4);12(DC5);13(DC6);14(DC7);15(TAFGA);16(TAFGB);17(TAFBA);18(TAFBB);19(TAFBC);20(TAFBD)
2020-08-28 00:00:00;0;5;0;3;2;0;0;1;1;0;2;0;0;2;0;0;0;0;0;0
2020-08-28 00:15:00;1;8;2;2;2;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0
2020-08-28 00:30:00;0;2;0;2;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
2020-08-28 00:45:00;0;6;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-28 01:00:00;0;1;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-28 01:15:00;0;5;0;2;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
2020-08-28 01:30:00;1;1;0;3;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-28 01:45:00;1;1;0;4;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-28 02:00:00;0;3;0;1;3;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
2020-08-28 02:15:00;0;2;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-28 02:30:00;0;2;0;3;3;0;2;1;0;0;1;0;0;1;0;0;0;0;0;0
2020-08-28 02:45:00;0;7;0;6;4;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0
2020-08-28 03:00:00;0;7;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-28 03:15:00;0;6;0;1;4;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
2020-08-28 03:30:00;0;2;1;2;3;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
2020-08-28 03:45:00;0;6;0;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-28 04:00:00;0;5;0;1;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
2020-08-28 04:15:00;1;5;1;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-28 04:30:00;1;8;0;8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-28 04:45:00;3;11;0;7;5;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
2020-08-28 05:00:00;0;24;2;8;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-28 05:15:00;0;39;5;27;7;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0
2020-08-28 05:30:00;7;51;7;23;16;3;0;1;0;0;1;0;0;1;0;0;0;0;0;0
2020-08-28 05:45:00;7;50;13;27;12;3;0;2;2;1;1;0;2;0;0;0;0;0;0;0
2020-08-28 06:00:00;6;47;9;31;19;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0
2020-08-28 06:15:00;6;64;13;51;24;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
2020-08-28 06:30:00;14;67;31;50;17;1;2;1;0;3;1;0;3;1;0;1;2;4;0;0
2020-08-28 06:45:00;31;69;31;40;27;2;3;1;1;2;1;1;2;1;0;0;0;0;0;0
2020-08-28 07:00:00;23;69;30;31;17;2;4;0;0;8;5;0;6;5;0;0;0;0;0;0
2020-08-28 07:15:00;16;65;40;34;22;3;0;3;3;5;3;2;7;3;0;0;0;0;0;0
2020-08-28 07:30:00;20;83;29;37;23;1;0;1;1;1;3;1;1;3;0;1;0;0;0;0
2020-08-28 07:45:00;21;75;25;46;21;3;0;1;1;8;4;1;7;5;0;1;0;0;0;0
2020-08-28 08:00:00;14;62;26;29;22;1;5;2;6;8;5;5;6;6;0;1;0;0;0;0
2020-08-28 08:15:00;19;60;26;38;28;3;2;3;3;6;1;1;6;1;0;0;0;1;0;0
2020-08-28 08:30:00;7;71;23;36;28;8;2;2;2;5;1;2;5;1;0;7;0;9;0;0
2020-08-28 08:45:00;14;55;20;39;48;4;4;2;1;3;5;1;3;5;0;0;0;0;0;0
2020-08-28 09:00:00;13;76;15;47;44;6;4;5;2;6;1;0;6;1;0;0;0;9;0;0
2020-08-28 09:15:00;14;89;31;41;40;15;10;11;6;11;2;4;10;2;0;1;0;0;0;0
2020-08-28 09:30:00;17;71;16;37;45;6;5;9;6;10;2;4;10;2;0;0;0;0;0;0
2020-08-28 09:45:00;22;90;27;37;40;4;7;4;3;6;7;1;7;7;0;1;0;2;0;0
2020-08-28 10:00:00;27;86;17;43;48;2;1;6;3;9;5;0;9;5;0;6;0;2;0;0
2020-08-28 10:15:00;19;83;24;43;47;6;6;8;5;11;4;3;11;4;0;2;0;0;0;0
2020-08-28 10:30:00;16;81;19;48;52;2;1;7;4;11;8;1;11;7;0;1;0;2;0;0
2020-08-28 10:45:00;16;71;20;51;56;8;4;6;6;15;6;3;14;7;0;2;0;0;0;0
