DATUM;1(DA1);2(DA2);3(DC1);4(DC2);5(DD1);6(TAFBA);7(TAFBC);8(TAFBD)
2019-08-30 00:00:00;0;0;0;0;0;0;0;0
2019-08-30 00:15:00;0;0;0;0;0;0;0;0
2019-08-30 00:30:00;0;0;0;0;0;0;0;0
2019-08-30 00:45:00;0;2;2;1;0;0;0;0
2019-08-30 01:00:00;0;1;0;0;0;0;0;0
2019-08-30 01:15:00;0;5;1;1;0;0;0;0
2019-08-30 01:30:00;1;1;0;0;0;0;0;0
2019-08-30 01:45:00;0;0;1;0;0;0;0;0
2019-08-30 02:00:00;0;0;0;0;0;0;0;0
2019-08-30 02:15:00;0;0;0;0;0;0;0;0
2019-08-30 02:30:00;0;0;1;0;0;0;0;0
2019-08-30 02:45:00;0;1;0;0;0;0;0;0
2019-08-30 03:00:00;0;1;0;0;0;0;0;0
2019-08-30 03:15:00;0;0;0;0;0;0;0;0
2019-08-30 03:30:00;0;3;0;0;0;0;0;0
2019-08-30 03:45:00;0;0;0;0;0;0;0;0
2019-08-30 04:00:00;1;0;1;0;0;0;0;0
2019-08-30 04:15:00;0;0;1;0;1;0;0;0
2019-08-30 04:30:00;0;0;0;0;0;0;0;0
2019-08-30 04:45:00;0;1;3;1;0;0;0;0
2019-08-30 05:00:00;0;2;5;0;1;0;0;0
2019-08-30 05:15:00;1;11;23;3;0;0;0;0
2019-08-30 05:30:00;3;11;13;6;4;0;0;0
2019-08-30 05:45:00;3;13;30;4;2;0;0;0
2019-08-30 06:00:00;0;10;21;2;8;0;0;0
2019-08-30 06:15:00;2;8;36;3;3;0;0;0
2019-08-30 06:30:00;5;22;107;3;5;0;0;0
2019-08-30 06:45:00;6;17;89;5;9;0;0;0
2019-08-30 07:00:00;5;22;65;3;10;0;0;0
2019-08-30 07:15:00;5;27;76;7;3;0;0;0
2019-08-30 07:30:00;4;17;54;9;9;0;0;0
2019-08-30 07:45:00;4;17;78;10;9;0;0;0
