DATUM;1(DA1);2(DA2);3(DC1);4(DC2);5(TA1A);6(TA2A);7(TA1C);8(TA2C)
2020-10-19 00:00:00;2;10;4;0;0;0;0;0
2020-10-19 00:15:00;9;5;10;0;0;0;0;0
2020-10-19 00:30:00;4;9;8;0;0;0;0;0
2020-10-19 00:45:00;2;6;4;0;0;0;0;0
2020-10-19 01:00:00;4;5;4;0;0;0;0;0
2020-10-19 01:15:00;4;4;4;0;0;0;0;0
2020-10-19 01:30:00;3;5;3;0;0;0;0;0
2020-10-19 01:45:00;3;7;1;0;0;0;0;0
2020-10-19 02:00:00;0;7;3;0;0;0;0;0
2020-10-19 02:15:00;5;10;2;0;0;0;0;0
2020-10-19 02:30:00;4;3;3;0;0;0;0;0
2020-10-19 02:45:00;4;6;2;0;0;0;0;0
2020-10-19 03:00:00;3;6;4;0;0;0;0;0
2020-10-19 03:15:00;1;1;1;0;0;0;0;0
2020-10-19 03:30:00;0;6;1;0;0;0;0;0
2020-10-19 03:45:00;4;6;4;0;0;0;0;0
2020-10-19 04:00:00;9;13;6;0;0;0;0;0
2020-10-19 04:15:00;5;9;9;0;0;0;0;0
2020-10-19 04:30:00;9;15;9;0;0;0;0;0
2020-10-19 04:45:00;13;35;34;0;0;0;0;0
2020-10-19 05:00:00;16;36;71;0;0;0;0;0
2020-10-19 05:15:00;27;59;107;0;0;0;0;0
2020-10-19 05:30:00;40;83;103;0;0;4;0;4
2020-10-19 05:45:00;53;62;52;0;0;0;0;0
2020-10-19 06:00:00;53;91;54;0;0;2;0;0
2020-10-19 06:15:00;44;108;57;0;0;0;0;0
2020-10-19 06:30:00;50;147;84;0;0;4;1;0
2020-10-19 06:45:00;53;137;67;0;0;1;0;0
2020-10-19 07:00:00;46;126;57;0;1;2;6;8
2020-10-19 07:15:00;63;136;81;0;2;11;42;0
2020-10-19 07:30:00;71;140;98;0;12;8;35;7
2020-10-19 07:45:00;92;198;96;0;16;10;11;0
2020-10-19 08:00:00;72;143;97;0;38;6;3;0
2020-10-19 08:15:00;77;137;70;0;2;1;2;3
2020-10-19 08:30:00;72;150;70;0;1;3;0;0
2020-10-19 08:45:00;83;115;45;0;11;5;1;1
2020-10-19 09:00:00;53;145;64;0;1;4;6;1
2020-10-19 09:15:00;77;131;73;0;5;5;7;2
2020-10-19 09:30:00;60;139;81;0;2;1;11;0
2020-10-19 09:45:00;79;141;75;0;13;7;4;26
2020-10-19 10:00:00;78;163;61;0;15;5;18;4
2020-10-19 10:15:00;99;178;86;0;19;0;1;8
2020-10-19 10:30:00;56;151;71;0;2;1;14;15
2020-10-19 10:45:00;79;156;60;0;5;0;28;0
2020-10-19 11:00:00;77;152;74;0;13;2;4;10
2020-10-19 11:15:00;78;147;67;0;14;2;7;10
2020-10-19 11:30:00;80;185;75;0;4;6;4;5
2020-10-19 11:45:00;96;163;84;0;1;27;13;1
2020-10-19 12:00:00;89;170;66;0;5;2;2;7
2020-10-19 12:15:00;63;187;78;0;8;4;1;3
2020-10-19 12:30:00;64;171;79;0;49;6;1;5
2020-10-19 12:45:00;79;159;67;0;16;1;24;24
2020-10-19 13:00:00;82;152;91;0;26;9;18;11
2020-10-19 13:15:00;100;167;101;0;41;3;0;52
2020-10-19 13:30:00;85;154;98;0;16;0;11;3
2020-10-19 13:45:00;95;174;113;0;22;0;12;56
2020-10-19 14:00:00;140;175;98;0;24;3;25;13
2020-10-19 14:15:00;181;201;94;0;5;16;29;13
2020-10-19 14:30:00;150;193;87;0;66;3;20;7
2020-10-19 14:45:00;144;228;89;0;13;1;8;2
2020-10-19 15:00:00;133;210;85;0;8;8;4;14
2020-10-19 15:15:00;140;192;85;0;18;3;26;49
2020-10-19 15:30:00;114;215;79;0;16;8;5;32
2020-10-19 15:45:00;109;228;84;0;22;7;6;36
2020-10-19 16:00:00;117;245;93;0;21;2;11;21
2020-10-19 16:15:00;120;234;94;0;21;8;16;12
2020-10-19 16:30:00;100;235;86;0;46;4;9;16
2020-10-19 16:45:00;118;245;89;0;52;21;33;41
2020-10-19 17:00:00;114;235;83;0;17;0;17;10
2020-10-19 17:15:00;124;228;95;0;15;13;4;16
2020-10-19 17:30:00;110;247;98;0;36;0;65;6
2020-10-19 17:45:00;99;215;81;0;74;5;14;44
2020-10-19 18:00:00;98;209;83;0;20;3;4;5
2020-10-19 18:15:00;87;208;87;0;32;1;17;2
2020-10-19 18:30:00;64;171;46;0;42;2;3;2
2020-10-19 18:45:00;70;180;63;0;31;5;3;11
2020-10-19 19:00:00;54;156;59;0;20;2;9;43
2020-10-19 19:15:00;50;128;68;0;51;0;0;8
2020-10-19 19:30:00;47;117;45;0;3;3;6;2
2020-10-19 19:45:00;37;114;49;0;2;1;1;0
2020-10-19 20:00:00;33;126;42;0;0;0;0;1
2020-10-19 20:15:00;38;107;36;0;8;1;0;1
2020-10-19 20:30:00;36;85;52;0;5;0;0;0
2020-10-19 20:45:00;35;67;40;0;0;0;0;0
2020-10-19 21:00:00;27;72;61;0;0;0;0;0
2020-10-19 21:15:00;17;58;80;0;0;0;0;0
2020-10-19 21:30:00;28;65;58;0;0;0;0;0
2020-10-19 21:45:00;73;80;41;0;0;0;0;0
2020-10-19 22:00:00;105;98;32;0;3;0;1;0
2020-10-19 22:15:00;52;74;32;0;0;0;0;0
2020-10-19 22:30:00;32;40;14;0;0;0;0;0
2020-10-19 22:45:00;12;38;14;0;0;0;0;0
2020-10-19 23:00:00;16;23;15;0;0;0;0;0
2020-10-19 23:15:00;16;33;17;0;0;0;0;0
2020-10-19 23:30:00;12;21;8;0;0;0;0;0
2020-10-19 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
