DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DC3);9(DD1);10(DD2);11(TAFBA);12(TAFBB);13(TAFBC);14(TAFBD)
2020-05-17 00:00:00;12;26;4;2;3;11;9;3;1;0;0;0;0;0
2020-05-17 00:15:00;21;13;1;5;6;18;22;5;3;2;0;0;0;0
2020-05-17 00:30:00;13;12;3;2;3;17;17;3;1;1;0;0;0;0
2020-05-17 00:45:00;18;10;3;3;2;17;17;3;0;0;0;0;0;0
2020-05-17 01:00:00;5;6;1;0;7;12;18;4;1;1;0;0;0;0
2020-05-17 01:15:00;9;7;0;4;4;8;10;4;1;2;0;0;0;0
2020-05-17 01:30:00;8;9;4;1;2;12;16;4;1;1;0;0;0;0
2020-05-17 01:45:00;6;3;3;1;5;4;8;3;2;3;0;0;0;0
2020-05-17 02:00:00;3;5;1;1;3;4;7;1;0;0;0;0;0;0
2020-05-17 02:15:00;3;5;1;0;3;7;9;1;1;1;0;0;0;0
2020-05-17 02:30:00;1;2;0;1;1;6;5;0;0;0;0;0;0;0
2020-05-17 02:45:00;5;2;0;0;1;1;1;1;0;1;0;0;0;0
2020-05-17 03:00:00;2;2;0;2;1;1;2;1;0;0;0;0;0;0
2020-05-17 03:15:00;1;1;0;1;0;2;4;3;0;1;0;0;0;0
2020-05-17 03:30:00;5;2;0;1;0;2;2;1;0;2;0;0;0;0
2020-05-17 03:45:00;1;1;0;0;1;3;4;0;0;0;0;0;0;0
2020-05-17 04:00:00;1;0;0;0;0;1;0;2;0;0;0;0;0;0
2020-05-17 04:15:00;1;0;0;0;0;0;4;1;1;0;0;0;0;0
2020-05-17 04:30:00;3;1;0;0;0;4;5;1;0;1;0;0;0;0
2020-05-17 04:45:00;2;2;0;1;0;0;2;3;0;1;0;0;0;0
2020-05-17 05:00:00;4;4;1;3;2;7;6;0;0;1;0;0;0;0
2020-05-17 05:15:00;4;2;1;1;0;6;3;5;1;2;0;0;0;0
2020-05-17 05:30:00;14;8;1;1;1;2;5;3;0;1;0;0;0;0
2020-05-17 05:45:00;9;10;2;0;1;6;7;2;0;0;0;0;0;0
2020-05-17 06:00:00;8;4;0;1;3;6;9;3;1;2;0;0;0;0
2020-05-17 06:15:00;5;4;0;2;0;8;5;2;1;0;0;0;0;0
2020-05-17 06:30:00;10;8;0;3;2;9;10;1;3;0;0;0;0;0
2020-05-17 06:45:00;6;4;1;7;6;5;6;3;1;2;0;0;0;0
2020-05-17 07:00:00;14;7;3;8;6;8;10;8;2;1;0;0;0;0
2020-05-17 07:15:00;13;5;1;4;4;11;11;3;3;2;0;0;0;0
2020-05-17 07:30:00;10;12;4;9;9;12;15;4;3;1;0;0;0;0
2020-05-17 07:45:00;16;8;3;4;8;3;18;10;1;0;0;0;0;0
2020-05-17 08:00:00;15;8;3;2;3;6;8;4;3;2;0;0;0;0
2020-05-17 08:15:00;17;13;3;6;11;14;16;8;7;1;0;0;0;0
2020-05-17 08:30:00;16;10;3;2;8;16;16;10;4;1;0;0;0;0
2020-05-17 08:45:00;15;12;4;13;13;30;28;10;1;5;0;0;0;0
2020-05-17 09:00:00;15;10;4;8;7;23;19;9;8;3;0;0;0;0
2020-05-17 09:15:00;23;27;3;8;15;22;21;5;2;3;0;0;0;0
2020-05-17 09:30:00;18;24;7;11;15;24;27;12;2;1;0;0;0;0
2020-05-17 09:45:00;30;28;7;8;16;38;29;16;2;3;1;0;0;0
2020-05-17 10:00:00;20;24;5;8;20;29;32;12;9;3;0;0;0;0
2020-05-17 10:15:00;34;27;8;12;16;40;51;13;9;3;0;0;0;0
2020-05-17 10:30:00;43;35;8;13;19;29;38;8;9;3;0;0;0;0
2020-05-17 10:45:00;28;32;6;14;23;37;39;19;7;7;0;0;0;0
2020-05-17 11:00:00;35;29;8;13;18;48;49;14;8;2;0;0;0;0
2020-05-17 11:15:00;40;38;11;10;21;48;43;16;7;5;0;0;0;0
2020-05-17 11:30:00;39;30;12;25;31;53;54;21;3;2;0;0;0;0
2020-05-17 11:45:00;46;45;12;28;30;53;57;24;5;4;0;0;0;0
2020-05-17 12:00:00;44;31;8;15;22;58;51;16;9;5;0;0;0;0
2020-05-17 12:15:00;38;36;8;5;26;51;58;17;8;3;1;0;0;0
2020-05-17 12:30:00;49;50;10;21;20;61;56;21;7;1;0;0;0;0
2020-05-17 12:45:00;45;51;10;15;20;43;75;20;8;5;0;0;0;0
2020-05-17 13:00:00;45;57;15;18;20;66;62;15;9;7;0;0;0;0
2020-05-17 13:15:00;54;52;8;7;20;48;55;21;3;3;0;0;0;1
2020-05-17 13:30:00;52;43;8;14;13;50;55;19;3;5;0;0;0;0
2020-05-17 13:45:00;46;44;10;13;31;45;71;28;11;6;2;0;1;0
2020-05-17 14:00:00;54;52;10;13;22;54;66;25;7;3;0;0;0;0
2020-05-17 14:15:00;60;42;12;14;17;48;60;25;4;1;0;0;0;0
2020-05-17 14:30:00;47;49;13;15;20;67;70;12;5;3;0;0;1;0
2020-05-17 14:45:00;65;65;14;15;28;62;68;29;5;9;0;0;0;0
2020-05-17 15:00:00;51;43;13;9;22;65;72;23;13;4;0;0;0;0
2020-05-17 15:15:00;54;34;6;14;24;65;68;16;7;2;0;0;0;0
2020-05-17 15:30:00;54;43;11;12;34;63;82;24;6;2;0;0;0;0
2020-05-17 15:45:00;46;46;10;20;26;56;76;26;9;5;0;0;1;0
