DATUM;1(DA1);2(DA2);3(DA3);4(DBR1);5(DBR2);6(DB1);7(DC1);8(DC2)
2019-11-02 00:00:00;7;12;13;2;4;9;16;4
2019-11-02 00:15:00;8;8;9;2;7;7;20;7
2019-11-02 00:30:00;3;8;9;1;3;4;8;9
2019-11-02 00:45:00;7;9;10;3;6;4;11;12
2019-11-02 01:00:00;8;8;9;3;3;6;9;3
2019-11-02 01:15:00;6;13;15;2;4;5;9;8
2019-11-02 01:30:00;10;7;9;0;3;1;7;6
2019-11-02 01:45:00;8;5;5;0;3;5;9;4
2019-11-02 02:00:00;3;5;6;1;5;3;9;5
2019-11-02 02:15:00;3;8;8;1;2;2;11;2
2019-11-02 02:30:00;3;8;8;1;3;3;5;5
2019-11-02 02:45:00;1;6;6;0;1;2;3;0
2019-11-02 03:00:00;1;3;3;0;1;1;5;3
2019-11-02 03:15:00;3;3;3;0;1;3;3;1
2019-11-02 03:30:00;3;7;7;0;0;2;4;0
2019-11-02 03:45:00;6;8;9;1;2;0;1;1
2019-11-02 04:00:00;2;4;4;0;0;3;3;2
2019-11-02 04:15:00;2;3;3;1;1;3;1;1
2019-11-02 04:30:00;4;6;7;2;2;3;4;3
2019-11-02 04:45:00;4;4;4;0;1;2;4;2
2019-11-02 05:00:00;5;9;9;1;2;1;6;2
2019-11-02 05:15:00;4;2;3;1;2;4;11;7
2019-11-02 05:30:00;7;11;12;0;7;2;10;7
2019-11-02 05:45:00;6;10;11;2;1;6;19;6
2019-11-02 06:00:00;6;12;12;3;3;4;6;6
2019-11-02 06:15:00;9;7;9;3;6;5;12;7
2019-11-02 06:30:00;9;11;11;2;6;6;15;8
2019-11-02 06:45:00;8;11;11;4;9;10;15;10
2019-11-02 07:00:00;10;14;14;5;7;8;14;5
2019-11-02 07:15:00;5;13;13;9;9;7;15;2
2019-11-02 07:30:00;23;26;27;6;17;12;22;10
2019-11-02 07:45:00;21;22;23;9;8;11;20;8
2019-11-02 08:00:00;17;23;22;9;9;7;27;19
2019-11-02 08:15:00;16;26;25;8;7;15;26;12
2019-11-02 08:30:00;20;29;29;9;14;8;35;22
2019-11-02 08:45:00;30;27;26;8;13;18;38;18
2019-11-02 09:00:00;35;46;45;11;15;29;31;30
2019-11-02 09:15:00;46;42;41;13;24;27;45;25
2019-11-02 09:30:00;49;52;51;14;20;28;62;35
2019-11-02 09:45:00;44;41;39;14;27;24;50;32
2019-11-02 10:00:00;55;67;68;10;18;20;51;37
2019-11-02 10:15:00;51;54;53;14;18;27;62;29
2019-11-02 10:30:00;61;67;68;16;32;23;53;31
2019-11-02 10:45:00;64;69;69;19;21;26;62;34
2019-11-02 11:00:00;58;69;70;14;19;28;65;39
2019-11-02 11:15:00;64;71;70;21;20;33;78;48
2019-11-02 11:30:00;86;72;72;22;30;28;91;51
2019-11-02 11:45:00;59;70;67;21;27;39;63;43
2019-11-02 12:00:00;78;66;66;20;22;28;64;38
2019-11-02 12:15:00;73;65;62;23;22;22;79;41
2019-11-02 12:30:00;82;69;63;21;24;29;81;42
2019-11-02 12:45:00;64;76;75;17;22;21;79;50
2019-11-02 13:00:00;73;60;61;15;31;25;92;37
2019-11-02 13:15:00;49;54;51;14;22;25;72;33
2019-11-02 13:30:00;54;62;59;20;29;30;68;40
2019-11-02 13:45:00;71;68;66;26;30;39;68;30
2019-11-02 14:00:00;87;78;77;30;29;33;80;42
2019-11-02 14:15:00;71;70;67;22;37;33;67;48
2019-11-02 14:30:00;71;64;62;25;27;32;67;37
2019-11-02 14:45:00;76;55;53;20;35;25;75;31
2019-11-02 15:00:00;59;56;57;19;26;19;59;38
2019-11-02 15:15:00;77;55;53;12;21;14;73;41
2019-11-02 15:30:00;57;49;48;20;27;25;67;35
2019-11-02 15:45:00;52;64;61;11;17;27;59;36
2019-11-02 16:00:00;83;65;62;15;21;24;65;28
2019-11-02 16:15:00;71;49;50;22;28;49;60;42
2019-11-02 16:30:00;73;58;55;24;30;24;59;36
2019-11-02 16:45:00;74;57;53;15;39;20;75;29
2019-11-02 17:00:00;48;62;64;12;20;15;48;29
2019-11-02 17:15:00;58;49;46;22;27;23;72;48
2019-11-02 17:30:00;59;63;63;16;39;17;76;39
2019-11-02 17:45:00;67;65;65;20;25;34;66;45
2019-11-02 18:00:00;62;57;58;15;25;23;64;38
2019-11-02 18:15:00;56;49;47;14;19;27;66;32
2019-11-02 18:30:00;48;33;31;15;23;15;54;34
2019-11-02 18:45:00;55;49;49;12;14;31;45;30
2019-11-02 19:00:00;58;47;46;15;18;15;48;17
2019-11-02 19:15:00;38;43;41;9;13;17;57;35
2019-11-02 19:30:00;51;49;46;7;14;14;41;21
2019-11-02 19:45:00;43;33;35;11;16;26;43;28
2019-11-02 20:00:00;37;40;38;9;19;14;57;28
2019-11-02 20:15:00;29;34;28;14;13;18;46;24
2019-11-02 20:30:00;37;35;36;6;11;15;26;17
2019-11-02 20:45:00;36;37;37;8;10;14;39;20
2019-11-02 21:00:00;27;34;32;9;7;13;25;10
2019-11-02 21:15:00;26;20;20;8;7;11;32;22
2019-11-02 21:30:00;34;31;29;3;4;10;32;10
2019-11-02 21:45:00;27;32;31;4;9;14;32;11
2019-11-02 22:00:00;24;23;22;6;9;13;39;20
2019-11-02 22:15:00;27;31;30;6;9;14;32;13
2019-11-02 22:30:00;28;33;31;6;11;12;26;11
2019-11-02 22:45:00;35;24;24;8;7;14;37;23
2019-11-02 23:00:00;24;28;28;2;5;13;30;21
2019-11-02 23:15:00;24;37;36;3;9;8;36;16
2019-11-02 23:30:00;22;25;28;4;7;7;31;9
