DATUM;1(DA1);2(DA2);3(DC1);4(DC2);5(DCL1);6(DB1);7(TARDCL)
2019-11-07 00:00:00;15;21;11;6;1;2;0
2019-11-07 00:15:00;10;9;9;5;0;2;0
2019-11-07 00:30:00;6;13;10;8;1;0;0
2019-11-07 00:45:00;5;8;8;8;0;1;0
2019-11-07 01:00:00;7;13;11;6;0;1;0
2019-11-07 01:15:00;5;7;8;5;1;4;0
2019-11-07 01:30:00;7;3;12;5;0;0;0
2019-11-07 01:45:00;3;2;7;1;1;1;0
2019-11-07 02:00:00;13;9;6;6;0;1;0
2019-11-07 02:15:00;4;3;8;5;1;0;0
2019-11-07 02:30:00;7;8;6;4;0;2;0
2019-11-07 02:45:00;7;5;5;0;0;0;0
2019-11-07 03:00:00;6;6;13;4;0;1;0
2019-11-07 03:15:00;2;5;4;2;0;2;0
2019-11-07 03:30:00;4;7;13;8;0;0;0
2019-11-07 03:45:00;6;6;9;9;1;0;0
2019-11-07 04:00:00;12;14;15;5;0;2;0
2019-11-07 04:15:00;17;7;14;5;0;1;0
2019-11-07 04:30:00;14;23;33;8;2;4;0
2019-11-07 04:45:00;21;25;58;20;1;7;0
2019-11-07 05:00:00;33;31;114;59;1;6;0
2019-11-07 05:15:00;33;50;226;107;6;25;0
2019-11-07 05:30:00;52;81;229;136;13;22;0
2019-11-07 05:45:00;98;155;211;146;16;29;0
2019-11-07 06:00:00;133;182;206;162;15;40;0
2019-11-07 06:15:00;84;123;229;190;18;57;0
2019-11-07 06:30:00;104;133;234;225;28;73;5
2019-11-07 06:45:00;82;113;195;242;56;59;0
2019-11-07 07:00:00;76;109;242;193;29;65;0
2019-11-07 07:15:00;79;125;241;201;61;75;0
2019-11-07 07:30:00;90;153;248;218;66;78;0
2019-11-07 07:45:00;106;149;220;240;35;68;0
2019-11-07 08:00:00;95;137;262;209;27;69;1
2019-11-07 08:15:00;94;137;244;171;44;73;0
2019-11-07 08:30:00;89;154;245;181;25;52;6
2019-11-07 08:45:00;91;140;178;173;35;39;0
2019-11-07 09:00:00;91;131;158;164;21;42;0
2019-11-07 09:15:00;66;100;142;152;35;27;3
2019-11-07 09:30:00;79;127;117;134;27;25;0
2019-11-07 09:45:00;85;131;139;147;33;27;0
2019-11-07 10:00:00;87;147;136;146;51;24;2
2019-11-07 10:15:00;95;151;122;143;34;26;0
2019-11-07 10:30:00;100;160;130;152;21;21;0
2019-11-07 10:45:00;91;148;136;155;28;26;1
2019-11-07 11:00:00;90;140;115;140;32;33;0
2019-11-07 11:15:00;83;127;123;148;23;26;0
2019-11-07 11:30:00;113;163;135;127;12;29;0
2019-11-07 11:45:00;96;161;134;133;43;35;0
2019-11-07 12:00:00;113;169;122;112;24;34;0
2019-11-07 12:15:00;115;175;132;125;32;33;0
2019-11-07 12:30:00;103;161;142;136;33;29;0
2019-11-07 12:45:00;130;190;154;156;19;26;0
2019-11-07 13:00:00;123;180;152;136;35;33;0
2019-11-07 13:15:00;129;196;213;151;22;35;0
2019-11-07 13:30:00;129;178;217;165;23;45;1
2019-11-07 13:45:00;150;185;194;175;33;37;0
2019-11-07 14:00:00;179;248;146;126;140;40;0
2019-11-07 14:15:00;195;269;138;130;30;25;1
2019-11-07 14:30:00;227;302;119;132;46;29;0
2019-11-07 14:45:00;162;236;120;145;39;32;0
2019-11-07 15:00:00;191;245;116;146;26;39;3
2019-11-07 15:15:00;208;271;119;154;29;42;0
2019-11-07 15:30:00;204;276;118;161;41;26;0
2019-11-07 15:45:00;210;287;126;180;25;41;0
2019-11-07 16:00:00;226;296;123;151;28;42;0
2019-11-07 16:15:00;229;295;135;177;25;33;0
2019-11-07 16:30:00;209;267;129;161;186;35;1
2019-11-07 16:45:00;214;275;146;154;40;37;3
2019-11-07 17:00:00;204;256;116;170;29;38;2
2019-11-07 17:15:00;204;271;146;187;37;28;0
2019-11-07 17:30:00;187;257;125;161;21;35;1
2019-11-07 17:45:00;186;256;105;138;35;32;0
2019-11-07 18:00:00;155;216;114;147;35;34;1
2019-11-07 18:15:00;136;199;111;138;28;22;0
2019-11-07 18:30:00;142;189;119;128;26;26;3
2019-11-07 18:45:00;120;177;108;134;28;22;0
2019-11-07 19:00:00;95;130;106;121;15;29;0
2019-11-07 19:15:00;91;137;73;77;7;17;0
2019-11-07 19:30:00;82;138;68;87;9;17;0
2019-11-07 19:45:00;73;123;72;72;135;10;0
2019-11-07 20:00:00;97;146;63;57;8;18;0
2019-11-07 20:15:00;61;105;65;75;13;10;0
2019-11-07 20:30:00;51;63;55;42;10;6;0
2019-11-07 20:45:00;58;75;87;66;7;9;0
2019-11-07 21:00:00;55;74;115;54;5;9;0
2019-11-07 21:15:00;53;66;166;88;7;9;0
2019-11-07 21:30:00;41;62;111;68;4;16;0
2019-11-07 21:45:00;104;154;78;63;8;9;0
2019-11-07 22:00:00;174;204;47;35;3;10;0
2019-11-07 22:15:00;114;136;60;39;6;8;0
2019-11-07 22:30:00;65;68;39;34;3;6;0
2019-11-07 22:45:00;46;50;42;25;2;3;0
2019-11-07 23:00:00;24;37;26;20;1;5;0
2019-11-07 23:15:00;29;31;25;19;1;5;0
2019-11-07 23:30:00;12;13;21;10;3;3;0
2019-11-07 23:45:00;9;22;16;11;2;1;1
