DATUM;1(DA1);2(DA2);3(DB1A);4(DB1B);5(DC1);6(DC2);7(DD2A);8(DD2B);9(DD1);10(DE1);11(DE2);12(DE3);13(DF1);14(DF2);15(DF3);16(TAFG1);17(TAFG2)
2020-10-31 00:00:00;9;10;0;0;9;9;1;1;1;0;9;11;9;16;9;0;0
2020-10-31 00:15:00;13;9;0;0;17;6;2;2;0;0;8;10;4;22;4;0;0
2020-10-31 00:30:00;12;4;0;0;7;6;7;9;4;0;11;4;6;12;6;0;0
2020-10-31 00:45:00;12;8;0;0;14;9;1;1;1;0;13;7;9;22;9;0;0
2020-10-31 01:00:00;12;7;0;0;10;4;2;2;0;0;10;7;4;14;4;0;0
2020-10-31 01:15:00;7;3;0;0;12;1;4;4;2;0;7;5;2;12;2;0;0
2020-10-31 01:30:00;6;4;0;0;13;2;1;1;2;0;7;3;2;15;2;0;0
2020-10-31 01:45:00;8;1;0;0;4;1;2;2;0;0;6;2;2;5;2;0;0
2020-10-31 02:00:00;4;5;0;0;11;6;1;1;1;0;4;6;7;16;7;0;0
2020-10-31 02:15:00;3;4;0;0;5;4;0;0;0;0;2;4;4;10;4;0;0
2020-10-31 02:30:00;2;3;0;0;7;2;1;1;0;1;2;4;3;9;2;0;0
2020-10-31 02:45:00;8;3;0;0;6;5;6;6;2;0;7;1;4;11;4;0;0
2020-10-31 03:00:00;4;0;0;0;7;2;1;1;0;0;4;0;2;9;2;0;0
2020-10-31 03:15:00;4;1;0;0;6;0;0;0;0;0;4;1;0;6;0;0;0
2020-10-31 03:30:00;2;3;0;0;4;0;0;0;0;0;2;3;0;4;0;0;0
2020-10-31 03:45:00;2;2;0;0;2;2;1;1;2;0;2;2;2;4;2;0;0
2020-10-31 04:00:00;6;1;0;0;3;3;1;1;0;0;6;2;4;6;3;0;0
2020-10-31 04:15:00;4;2;0;0;5;1;1;1;1;0;4;2;1;6;1;0;0
2020-10-31 04:30:00;5;0;0;0;2;1;0;0;0;0;5;0;1;3;1;0;0
2020-10-31 04:45:00;4;2;0;0;6;2;0;0;0;0;3;2;2;7;2;0;0
2020-10-31 05:00:00;6;7;0;0;6;1;1;1;0;0;6;7;1;8;1;0;0
2020-10-31 05:15:00;14;3;1;0;13;4;0;0;0;0;13;3;4;15;4;0;0
2020-10-31 05:30:00;18;7;0;0;18;4;0;0;0;0;18;7;2;22;2;0;0
2020-10-31 05:45:00;14;10;0;0;15;3;0;0;0;0;13;11;2;18;3;0;0
2020-10-31 06:00:00;16;11;0;0;12;8;0;0;0;0;16;11;8;19;8;0;0
2020-10-31 06:15:00;24;13;0;0;22;12;1;1;1;0;24;13;14;34;13;0;0
2020-10-31 06:30:00;28;17;0;0;24;7;0;0;0;0;24;18;7;29;7;0;0
2020-10-31 06:45:00;16;11;0;0;20;6;0;0;0;0;16;12;6;24;6;0;0
2020-10-31 07:00:00;22;19;0;0;21;9;0;0;0;0;19;20;9;30;9;0;0
2020-10-31 07:15:00;32;14;0;0;31;16;3;4;3;0;29;13;15;44;15;0;0
2020-10-31 07:30:00;49;26;0;1;34;14;0;0;0;0;39;29;14;47;14;0;0
2020-10-31 07:45:00;73;41;0;0;45;12;0;0;1;0;59;41;14;55;14;0;0
2020-10-31 08:00:00;39;33;0;0;38;14;0;0;0;0;36;36;12;52;13;0;0
2020-10-31 08:15:00;61;45;0;1;45;26;2;2;0;0;54;46;25;67;25;0;2
2020-10-31 08:30:00;64;60;0;0;43;25;1;1;0;0;59;58;24;64;24;0;0
2020-10-31 08:45:00;82;68;0;1;67;38;5;5;3;0;70;72;36;93;36;0;0
2020-10-31 09:00:00;71;68;0;2;69;35;5;5;3;1;60;70;38;97;37;0;0
2020-10-31 09:15:00;92;96;0;0;74;60;7;7;2;0;81;101;59;122;59;5;0
2020-10-31 09:30:00;91;88;0;1;73;42;3;4;1;0;80;91;39;103;37;0;4
2020-10-31 09:45:00;120;108;1;1;97;61;9;8;4;1;108;110;62;139;61;0;0
2020-10-31 10:00:00;123;132;0;1;102;61;9;9;6;1;104;129;59;152;60;0;0
2020-10-31 10:15:00;112;116;1;2;109;72;14;16;10;2;114;124;65;156;73;0;2
2020-10-31 10:30:00;112;103;0;1;113;85;11;11;7;0;93;108;77;173;81;0;0
2020-10-31 10:45:00;118;125;2;1;162;86;14;14;8;1;113;129;94;210;91;5;1
2020-10-31 11:00:00;117;137;1;0;140;79;10;10;7;3;115;139;82;193;83;0;0
2020-10-31 11:15:00;120;137;1;2;155;98;22;21;7;3;111;141;91;211;94;0;0
2020-10-31 11:30:00;124;149;1;3;175;69;22;22;11;3;119;153;83;207;84;0;4
2020-10-31 11:45:00;129;144;0;2;161;84;9;9;8;6;119;151;77;198;87;2;4
2020-10-31 12:00:00;106;115;0;0;167;108;20;20;11;1;105;116;104;214;107;2;2
2020-10-31 12:15:00;121;132;1;2;159;81;10;10;8;3;119;140;82;211;82;0;0
2020-10-31 12:30:00;128;134;1;0;158;103;13;14;4;2;111;133;96;224;102;5;0
2020-10-31 12:45:00;140;132;1;2;149;92;14;13;12;1;141;134;93;201;92;4;0
2020-10-31 13:00:00;121;155;1;0;153;93;20;20;9;5;115;160;88;205;93;0;2
2020-10-31 13:15:00;119;114;2;2;160;87;14;14;7;5;115;123;88;220;89;2;0
2020-10-31 13:30:00;122;118;0;1;152;89;13;12;8;5;111;128;92;207;91;2;1
2020-10-31 13:45:00;115;127;2;0;140;84;13;13;6;4;107;133;87;192;88;0;5
2020-10-31 14:00:00;118;121;2;1;142;81;3;3;2;7;110;127;83;202;84;0;0
2020-10-31 14:15:00;113;136;0;0;144;88;8;9;3;3;105;139;86;208;88;0;0
2020-10-31 14:30:00;132;149;0;1;141;86;12;11;7;10;126;153;80;196;81;0;2
2020-10-31 14:45:00;122;158;0;1;130;72;10;10;4;3;116;163;75;181;76;2;0
2020-10-31 15:00:00;95;111;0;1;132;86;5;5;4;0;92;110;88;190;85;0;0
2020-10-31 15:15:00;99;122;0;1;146;82;6;7;8;4;86;134;85;202;89;8;3
2020-10-31 15:30:00;118;130;2;1;136;74;8;8;3;5;108;129;83;186;83;3;2
2020-10-31 15:45:00;116;117;1;0;125;85;4;4;6;2;108;124;79;186;83;4;1
2020-10-31 16:00:00;97;132;1;1;151;87;13;13;8;1;96;132;87;208;90;3;12
2020-10-31 16:15:00;127;126;0;0;132;80;10;8;5;2;123;138;79;181;78;0;0
2020-10-31 16:30:00;111;119;0;0;145;94;10;10;2;1;102;123;88;212;91;2;0
2020-10-31 16:45:00;113;99;1;1;121;64;5;6;4;1;109;101;69;166;68;3;0
2020-10-31 17:00:00;113;88;0;5;129;76;3;3;0;5;104;91;80;189;78;1;0
2020-10-31 17:15:00;96;103;0;1;136;97;8;8;2;7;90;105;105;206;105;0;0
2020-10-31 17:30:00;98;101;0;1;110;60;4;4;2;2;97;100;58;151;59;1;4
2020-10-31 17:45:00;102;97;4;2;111;83;7;7;1;6;92;104;82;175;84;1;0
2020-10-31 18:00:00;94;77;1;1;115;58;6;6;5;2;86;82;58;162;59;0;0
2020-10-31 18:15:00;67;63;0;1;94;57;3;4;2;2;66;64;56;139;54;1;0
2020-10-31 18:30:00;66;66;0;0;111;57;4;7;2;0;64;67;59;163;60;0;0
2020-10-31 18:45:00;55;63;0;1;107;57;3;3;0;0;55;63;57;154;56;0;0
2020-10-31 19:00:00;52;45;0;2;107;64;2;2;0;1;50;47;58;153;58;39;0
2020-10-31 19:15:00;53;50;0;0;77;50;4;4;1;1;54;51;53;120;53;0;0
2020-10-31 19:30:00;52;36;0;0;74;27;3;3;1;0;53;36;25;98;25;0;0
2020-10-31 19:45:00;34;37;1;0;60;28;4;3;2;2;33;42;32;86;31;0;0
2020-10-31 20:00:00;46;18;0;1;64;20;3;3;0;1;45;18;20;84;20;0;0
2020-10-31 20:15:00;50;33;0;1;50;16;2;2;2;0;49;32;16;62;16;0;0
2020-10-31 20:30:00;35;32;0;0;37;27;1;1;0;2;37;37;30;62;28;0;0
2020-10-31 20:45:00;37;24;1;0;41;14;2;2;0;0;36;25;15;54;14;0;0
2020-10-31 21:00:00;34;29;0;0;53;20;3;3;0;0;29;31;19;68;18;0;0
2020-10-31 21:15:00;42;28;1;0;38;18;3;3;1;1;41;28;16;55;16;0;0
2020-10-31 21:30:00;29;24;0;1;32;12;4;4;4;0;25;23;12;40;12;0;0
2020-10-31 21:45:00;28;16;0;0;34;17;3;3;1;0;27;17;18;50;18;0;0
2020-10-31 22:00:00;20;22;0;0;25;12;2;2;0;0;17;21;12;35;11;0;0
2020-10-31 22:15:00;22;19;0;0;31;11;1;1;0;1;21;20;12;43;12;0;0
2020-10-31 22:30:00;22;21;0;0;22;3;2;2;1;0;22;22;5;25;5;0;0
2020-10-31 22:45:00;33;20;0;1;18;10;2;1;1;0;27;23;10;26;10;0;0
2020-10-31 23:00:00;12;16;0;1;35;6;2;3;2;0;11;17;4;39;4;0;0
2020-10-31 23:15:00;17;9;0;0;30;12;0;0;0;0;16;10;10;41;10;0;0
2020-10-31 23:30:00;23;13;0;0;22;7;2;2;2;0;23;15;7;27;7;0;0
2020-10-31 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
