DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DC2);6(DC3);7(DF1);8(DH1);9(DH2);10(DH3);11(DH4)
2020-02-01 00:00:00;1;3;0;16;17;25;5;8;12;2;2
2020-02-01 00:15:00;2;2;0;31;17;13;12;20;15;0;0
2020-02-01 00:30:00;1;4;1;23;24;15;8;13;11;2;2
2020-02-01 00:45:00;0;3;0;14;16;12;8;10;16;4;1
2020-02-01 01:00:00;0;2;1;19;21;5;4;9;18;7;5
2020-02-01 01:15:00;1;3;0;19;21;9;6;10;12;4;2
2020-02-01 01:30:00;2;2;2;12;14;3;6;5;9;3;3
2020-02-01 01:45:00;0;1;0;19;13;19;0;8;3;0;0
2020-02-01 02:00:00;2;1;0;9;8;9;3;6;10;1;1
2020-02-01 02:15:00;1;4;0;8;15;23;6;5;4;1;1
2020-02-01 02:30:00;1;2;1;7;11;8;2;11;8;0;0
2020-02-01 02:45:00;0;1;0;6;4;42;3;8;8;0;0
2020-02-01 03:00:00;0;1;1;9;10;89;1;4;3;1;1
2020-02-01 03:15:00;0;2;0;14;10;48;2;6;5;1;1
2020-02-01 03:30:00;2;2;0;8;7;34;0;5;5;0;0
2020-02-01 03:45:00;0;1;0;8;4;41;2;5;3;1;1
2020-02-01 04:00:00;0;1;0;5;3;1;2;7;5;1;0
2020-02-01 04:15:00;1;3;0;15;9;1;1;7;9;3;2
2020-02-01 04:30:00;3;1;0;10;7;4;3;5;3;0;0
2020-02-01 04:45:00;0;2;0;11;9;3;3;7;6;2;1
2020-02-01 05:00:00;1;1;0;10;8;3;3;2;2;1;1
2020-02-01 05:15:00;3;2;0;19;6;2;1;6;8;2;1
2020-02-01 05:30:00;2;6;0;14;9;3;3;15;17;3;1
2020-02-01 05:45:00;2;3;0;24;13;10;4;12;16;5;5
2020-02-01 06:00:00;2;4;2;41;25;11;7;7;6;0;0
2020-02-01 06:15:00;1;3;0;25;22;8;10;18;16;2;1
2020-02-01 06:30:00;1;6;1;20;19;4;5;25;23;6;4
2020-02-01 06:45:00;3;8;1;24;12;4;5;20;22;6;5
2020-02-01 07:00:00;2;4;2;31;16;3;9;19;16;1;2
2020-02-01 07:15:00;3;10;1;26;24;7;8;18;25;6;7
2020-02-01 07:30:00;4;10;3;34;14;4;14;28;43;4;3
2020-02-01 07:45:00;10;26;3;29;21;5;14;29;57;14;9
2020-02-01 08:00:00;3;11;3;29;21;5;11;27;37;4;1
2020-02-01 08:15:00;5;9;3;35;21;5;22;27;36;5;2
2020-02-01 08:30:00;6;15;1;35;21;6;19;31;46;7;5
2020-02-01 08:45:00;5;13;0;41;24;19;19;35;34;6;6
2020-02-01 09:00:00;11;16;5;45;21;5;16;44;44;12;10
2020-02-01 09:15:00;8;24;4;57;42;13;16;67;77;10;4
2020-02-01 09:30:00;5;23;3;64;37;13;20;46;49;12;8
2020-02-01 09:45:00;4;43;2;85;37;14;20;54;61;11;10
2020-02-01 10:00:00;9;22;3;78;45;9;20;49;61;12;10
2020-02-01 10:15:00;4;23;3;86;50;19;26;57;53;9;6
2020-02-01 10:30:00;11;18;2;72;36;16;27;71;59;17;15
2020-02-01 10:45:00;7;27;1;78;59;36;22;63;62;9;5
2020-02-01 11:00:00;11;26;3;89;50;128;32;73;81;18;12
2020-02-01 11:15:00;9;18;2;79;60;68;31;70;67;11;9
2020-02-01 11:30:00;10;31;1;90;59;37;27;60;69;7;6
2020-02-01 11:45:00;12;28;3;96;71;48;21;69;93;12;11
2020-02-01 12:00:00;21;30;3;108;89;33;25;70;55;7;4
2020-02-01 12:15:00;5;34;6;110;66;11;31;78;74;14;9
2020-02-01 12:30:00;14;26;1;126;64;16;39;75;64;9;8
2020-02-01 12:45:00;25;25;1;114;78;15;29;57;60;8;3
2020-02-01 13:00:00;20;25;3;115;68;36;30;60;62;12;9
2020-02-01 13:15:00;10;29;1;107;67;56;34;63;58;13;10
2020-02-01 13:30:00;17;34;5;130;77;45;50;79;85;22;21
