DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(TAA);6(TAFBA)
2020-07-05 00:00:00;24;16;21;15;0;0
2020-07-05 00:15:00;25;18;20;28;0;0
2020-07-05 00:30:00;15;9;21;13;0;0
2020-07-05 00:45:00;23;17;22;10;0;0
2020-07-05 01:00:00;21;16;19;19;0;0
2020-07-05 01:15:00;31;23;19;11;0;0
2020-07-05 01:30:00;19;14;15;11;0;0
2020-07-05 01:45:00;20;18;14;11;0;0
2020-07-05 02:00:00;19;16;15;9;0;0
2020-07-05 02:15:00;14;11;14;7;0;0
2020-07-05 02:30:00;7;6;6;3;0;0
2020-07-05 02:45:00;11;11;7;8;0;0
2020-07-05 03:00:00;6;9;8;11;0;0
2020-07-05 03:15:00;11;8;9;7;0;0
2020-07-05 03:30:00;7;6;14;8;0;0
2020-07-05 03:45:00;8;6;6;2;0;0
2020-07-05 04:00:00;6;5;8;7;0;0
2020-07-05 04:15:00;11;9;8;5;0;0
2020-07-05 04:30:00;6;4;4;2;0;0
2020-07-05 04:45:00;5;4;9;7;0;0
2020-07-05 05:00:00;6;6;12;3;0;0
2020-07-05 05:15:00;9;9;16;6;0;0
2020-07-05 05:30:00;6;2;16;8;0;0
2020-07-05 05:45:00;13;12;18;9;0;0
2020-07-05 06:00:00;15;6;16;7;0;0
2020-07-05 06:15:00;5;7;14;8;0;0
2020-07-05 06:30:00;18;14;12;2;0;0
2020-07-05 06:45:00;11;8;8;7;0;0
2020-07-05 07:00:00;19;17;11;2;0;0
2020-07-05 07:15:00;12;10;9;3;0;0
2020-07-05 07:30:00;11;7;10;4;0;0
2020-07-05 07:45:00;12;7;15;7;0;0
2020-07-05 08:00:00;31;24;21;4;0;0
2020-07-05 08:15:00;13;14;18;11;1;0
2020-07-05 08:30:00;29;22;21;10;0;0
2020-07-05 08:45:00;27;15;26;18;0;0
2020-07-05 09:00:00;39;28;24;10;1;0
2020-07-05 09:15:00;35;30;35;11;0;0
2020-07-05 09:30:00;45;43;36;27;1;0
2020-07-05 09:45:00;51;31;49;26;4;0
2020-07-05 10:00:00;41;40;53;23;1;0
2020-07-05 10:15:00;42;40;37;20;4;0
2020-07-05 10:30:00;55;62;63;32;1;0
2020-07-05 10:45:00;46;48;58;28;4;0
2020-07-05 11:00:00;64;68;49;32;33;0
2020-07-05 11:15:00;67;68;54;31;9;0
2020-07-05 11:30:00;65;81;44;29;19;1
2020-07-05 11:45:00;58;49;39;22;0;0
2020-07-05 12:00:00;74;53;56;38;11;0
2020-07-05 12:15:00;72;77;65;44;25;0
2020-07-05 12:30:00;47;47;46;33;1;0
2020-07-05 12:45:00;66;79;58;36;0;0
2020-07-05 13:00:00;54;61;48;45;14;0
2020-07-05 13:15:00;59;54;55;30;2;0
2020-07-05 13:30:00;58;61;69;49;3;0
2020-07-05 13:45:00;77;71;58;48;8;0
2020-07-05 14:00:00;61;90;65;47;1;0
2020-07-05 14:15:00;64;61;64;49;22;17
2020-07-05 14:30:00;50;55;55;37;10;0
2020-07-05 14:45:00;68;66;68;51;16;0
2020-07-05 15:00:00;69;63;71;40;17;0
2020-07-05 15:15:00;57;71;73;42;3;0
2020-07-05 15:30:00;53;42;69;47;33;0
2020-07-05 15:45:00;65;67;71;42;21;0
2020-07-05 16:00:00;46;56;49;46;0;0
2020-07-05 16:15:00;58;56;59;44;5;0
2020-07-05 16:30:00;51;65;53;32;3;0
2020-07-05 16:45:00;63;71;66;49;5;3
2020-07-05 17:00:00;61;68;61;48;0;0
2020-07-05 17:15:00;56;56;78;42;6;4
2020-07-05 17:30:00;43;50;66;50;0;0
2020-07-05 17:45:00;61;47;79;61;16;0
2020-07-05 18:00:00;66;73;75;49;3;0
2020-07-05 18:15:00;58;49;67;37;9;0
2020-07-05 18:30:00;50;48;56;53;24;0
2020-07-05 18:45:00;55;59;75;63;8;0
2020-07-05 19:00:00;41;50;61;40;0;0
2020-07-05 19:15:00;62;40;70;69;0;0
2020-07-05 19:30:00;41;41;57;37;1;0
2020-07-05 19:45:00;59;58;64;42;0;0
2020-07-05 20:00:00;51;41;59;44;1;0
2020-07-05 20:15:00;41;43;69;55;6;0
2020-07-05 20:30:00;51;42;58;43;0;0
2020-07-05 20:45:00;45;41;59;42;5;0
2020-07-05 21:00:00;33;34;54;37;0;0
2020-07-05 21:15:00;41;45;44;35;0;0
2020-07-05 21:30:00;39;37;51;46;0;0
2020-07-05 21:45:00;39;40;52;39;0;0
2020-07-05 22:00:00;51;45;37;35;0;0
2020-07-05 22:15:00;34;25;36;24;0;0
2020-07-05 22:30:00;29;21;45;28;0;0
2020-07-05 22:45:00;25;21;21;13;2;0
2020-07-05 23:00:00;26;22;24;18;0;0
2020-07-05 23:15:00;23;18;26;18;0;0
2020-07-05 23:30:00;16;7;14;16;0;0
2020-07-05 23:45:00;17;14;15;8;0;0
