DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(TAC);6(DEG12);7(DEG13);8(DEG14);9(DEG15)
2019-10-02 00:00:00;6;1;0;2;0;9;0;0;0
2019-10-02 00:15:00;12;2;0;8;0;14;1;0;0
2019-10-02 00:30:00;11;3;0;2;0;12;1;0;0
2019-10-02 00:45:00;14;1;0;3;0;13;1;0;0
2019-10-02 01:00:00;2;1;0;3;0;12;0;0;0
2019-10-02 01:15:00;3;3;0;5;0;14;1;0;0
2019-10-02 01:30:00;2;2;0;3;0;12;1;0;0
2019-10-02 01:45:00;7;5;0;4;0;14;1;0;0
2019-10-02 02:00:00;1;0;0;1;0;12;1;0;0
2019-10-02 02:15:00;1;1;0;2;0;14;1;0;0
2019-10-02 02:30:00;2;1;0;2;0;12;0;0;0
2019-10-02 02:45:00;2;0;0;3;0;13;1;0;0
2019-10-02 03:00:00;3;2;0;1;0;12;1;0;0
2019-10-02 03:15:00;3;3;0;1;0;14;1;0;0
2019-10-02 03:30:00;2;2;0;4;0;12;1;0;0
2019-10-02 03:45:00;3;0;0;3;0;14;0;0;0
2019-10-02 04:00:00;5;1;0;4;0;12;1;0;0
2019-10-02 04:15:00;9;2;0;6;0;13;1;0;0
2019-10-02 04:30:00;12;4;0;10;0;12;1;0;0
2019-10-02 04:45:00;29;5;1;19;0;14;1;0;0
2019-10-02 05:00:00;72;3;0;26;0;10;0;0;0
2019-10-02 05:15:00;123;8;1;54;0;10;1;0;0
2019-10-02 05:30:00;108;22;4;97;0;10;0;0;0
2019-10-02 05:45:00;130;34;2;199;1;10;1;0;0
2019-10-02 06:00:00;130;31;0;148;0;10;1;0;0
2019-10-02 06:15:00;141;17;4;116;0;10;0;0;0
2019-10-02 06:30:00;98;21;4;176;13;10;1;0;0
2019-10-02 06:45:00;80;21;4;148;0;10;1;0;0
2019-10-02 07:00:00;87;17;6;179;0;10;0;0;0
2019-10-02 07:15:00;107;20;7;224;0;10;1;0;0
2019-10-02 07:30:00;88;13;10;239;16;10;0;0;0
2019-10-02 07:45:00;85;15;12;194;7;10;1;0;0
2019-10-02 08:00:00;112;16;7;166;22;10;1;0;0
2019-10-02 08:15:00;144;16;11;191;2;10;0;0;0
2019-10-02 08:30:00;107;18;15;157;25;10;1;0;0
2019-10-02 08:45:00;81;28;12;133;2;10;1;0;0
2019-10-02 09:00:00;105;15;11;128;6;13;0;0;0
2019-10-02 09:15:00;108;12;11;118;0;13;1;0;0
2019-10-02 09:30:00;84;20;14;108;5;12;1;0;0
2019-10-02 09:45:00;104;12;11;121;0;13;0;0;0
2019-10-02 10:00:00;88;20;11;139;7;12;1;0;0
2019-10-02 10:15:00;91;9;22;115;0;13;1;0;0
2019-10-02 10:30:00;102;11;12;93;1;12;0;0;0
2019-10-02 10:45:00;90;23;11;140;3;13;1;0;0
2019-10-02 11:00:00;122;17;22;124;15;13;1;0;0
2019-10-02 11:15:00;95;15;19;134;2;12;0;0;0
