DATUM;1(DA1);2(DA2);3(DA3);4(DA4);5(DB1);6(DB2);7(DB3);8(DC1);9(DC2);10(DC3);11(DC4);12(DD1);13(DD2);14(DD3);15(DD4);16(TAFBA);53(TAFBA2);54(TAFBB2);55(TAFBC);56(TAFBD);57(TAFBE)
2020-08-07 00:00:00;1;7;3;3;1;2;0;0;6;6;4;1;2;3;1;0;0;0;0;0;1
2020-08-07 00:15:00;3;15;8;2;3;7;1;0;7;6;0;0;1;2;1;0;0;0;0;0;0
2020-08-07 00:30:00;2;15;6;1;3;3;0;1;3;3;0;1;1;5;1;0;0;0;0;0;0
2020-08-07 00:45:00;2;6;8;1;0;4;1;0;4;6;2;0;4;3;0;0;0;0;0;0;0
2020-08-07 01:00:00;2;4;4;1;2;3;3;0;5;4;3;1;3;4;0;0;0;0;0;0;0
2020-08-07 01:15:00;1;5;3;2;0;4;2;1;5;1;3;3;4;2;2;0;0;0;0;0;0
2020-08-07 01:30:00;7;7;1;2;1;2;0;1;7;3;0;5;6;5;1;0;0;3;0;0;0
2020-08-07 01:45:00;3;5;3;2;1;3;0;1;9;6;0;1;0;2;0;0;0;0;0;0;0
2020-08-07 02:00:00;2;2;0;0;1;2;1;0;0;4;3;1;2;5;3;0;0;0;0;0;0
2020-08-07 02:15:00;3;2;0;2;0;0;0;0;5;2;1;0;5;2;0;0;0;0;0;0;11
2020-08-07 02:30:00;2;6;0;0;1;1;0;0;3;2;1;0;1;3;3;0;0;0;0;0;0
2020-08-07 02:45:00;2;5;1;1;0;1;0;0;5;5;1;0;0;2;1;0;0;0;0;0;0
2020-08-07 03:00:00;5;3;0;0;1;1;0;0;4;1;0;0;4;1;1;0;0;0;0;0;0
2020-08-07 03:15:00;2;9;1;1;0;0;0;0;0;2;2;1;0;0;0;0;0;0;0;0;0
2020-08-07 03:30:00;2;3;0;0;0;0;0;0;4;0;1;0;3;0;0;0;0;0;0;0;0
2020-08-07 03:45:00;2;5;0;0;0;0;0;0;5;2;2;0;1;2;0;0;0;0;0;0;0
2020-08-07 04:00:00;1;6;3;0;0;1;0;0;0;2;2;1;3;6;0;0;0;0;0;0;0
2020-08-07 04:15:00;1;4;0;0;2;1;1;1;3;2;1;0;3;1;0;0;0;0;0;0;0
2020-08-07 04:30:00;5;4;1;2;3;5;1;1;7;6;1;0;4;3;3;0;0;0;0;0;0
2020-08-07 04:45:00;4;12;3;0;1;0;1;0;7;5;3;2;3;7;1;0;0;0;0;0;0
2020-08-07 05:00:00;3;11;2;3;1;0;0;0;8;4;0;1;4;7;7;0;0;0;0;0;0
2020-08-07 05:15:00;11;21;1;2;3;10;2;1;12;7;11;3;4;2;3;0;0;0;0;0;0
2020-08-07 05:30:00;23;35;13;6;7;17;2;2;21;14;5;1;9;16;10;0;0;0;0;0;0
2020-08-07 05:45:00;45;30;18;4;9;32;1;2;31;53;16;3;11;14;17;0;0;0;0;0;0
2020-08-07 06:00:00;21;30;11;4;5;13;3;0;18;21;8;3;17;11;13;0;0;0;0;0;0
2020-08-07 06:15:00;24;36;19;4;9;24;6;2;30;23;8;5;14;14;14;0;0;0;0;0;0
2020-08-07 06:30:00;43;48;36;11;15;33;4;4;42;38;24;9;25;20;18;0;0;0;0;0;0
2020-08-07 06:45:00;56;40;26;2;11;27;3;2;34;48;12;9;33;15;16;0;0;0;0;0;0
2020-08-07 07:00:00;38;58;28;14;16;25;7;0;21;27;11;9;30;20;11;0;0;0;0;0;0
2020-08-07 07:15:00;44;51;33;13;16;30;3;0;36;30;22;16;33;16;14;0;0;3;0;0;0
2020-08-07 07:30:00;52;60;47;8;24;37;15;1;43;53;23;28;38;19;20;0;0;0;0;0;0
2020-08-07 07:45:00;46;54;39;20;31;44;7;7;34;40;26;22;44;20;17;0;0;0;0;0;0
2020-08-07 08:00:00;60;50;31;13;28;32;7;6;40;29;20;35;42;18;17;0;0;0;0;0;0
2020-08-07 08:15:00;31;62;33;20;20;21;5;4;34;35;23;24;30;24;14;0;0;0;0;0;0
2020-08-07 08:30:00;37;59;37;19;30;44;12;4;54;34;22;36;37;31;23;0;0;0;0;0;0
2020-08-07 08:45:00;41;70;54;22;31;33;14;5;51;58;15;28;45;28;20;0;0;0;0;5;0
2020-08-07 09:00:00;39;73;44;23;32;32;18;1;45;41;24;25;33;20;21;0;0;0;0;0;0
2020-08-07 09:15:00;39;79;62;15;28;38;14;3;42;41;19;48;52;19;16;0;0;0;0;0;0
2020-08-07 09:30:00;38;77;50;14;35;33;5;5;55;51;20;41;73;39;35;0;0;3;0;0;0
2020-08-07 09:45:00;42;84;63;15;41;36;18;10;47;48;20;51;63;32;32;0;0;0;0;0;0
2020-08-07 10:00:00;30;74;52;17;43;37;16;3;54;43;24;41;61;30;27;0;0;0;0;0;1
2020-08-07 10:15:00;41;69;51;23;42;42;9;9;53;54;24;55;68;42;33;1;0;1;0;0;0
2020-08-07 10:30:00;26;79;45;18;22;36;10;6;60;61;26;36;62;25;19;2;0;0;1;0;0
2020-08-07 10:45:00;36;95;58;25;45;48;16;9;62;60;24;60;75;23;28;1;0;0;0;0;0
2020-08-07 11:00:00;39;63;48;14;49;53;16;10;57;75;15;43;76;36;31;1;0;0;0;0;0
2020-08-07 11:15:00;31;73;56;26;45;52;16;10;58;61;26;49;65;35;37;1;0;0;0;2;0
2020-08-07 11:30:00;40;81;52;29;47;35;24;11;60;67;27;47;60;90;30;0;0;2;0;2;0
2020-08-07 11:45:00;29;68;41;21;44;44;13;9;63;45;26;49;63;44;45;0;0;0;0;0;0
2020-08-07 12:00:00;33;84;52;28;48;51;15;12;66;65;35;47;47;38;40;0;0;0;0;0;2
2020-08-07 12:15:00;42;80;63;25;50;46;24;12;65;93;20;61;56;43;44;0;0;0;0;3;0
2020-08-07 12:30:00;42;82;57;25;38;41;9;13;52;71;25;45;60;32;36;0;0;0;0;0;0
2020-08-07 12:45:00;37;70;62;22;46;39;13;12;68;69;28;61;73;31;34;0;0;1;0;0;0
2020-08-07 13:00:00;33;73;54;22;43;52;14;7;63;56;26;52;55;29;29;0;2;0;0;0;0
2020-08-07 13:15:00;31;99;58;31;36;50;17;14;79;68;29;45;97;40;38;0;0;1;0;0;0
2020-08-07 13:30:00;30;71;46;15;41;34;17;10;65;63;20;38;68;33;36;0;0;0;0;0;0
2020-08-07 13:45:00;37;73;55;28;48;51;20;13;60;63;20;55;70;32;30;2;0;0;0;0;0
2020-08-07 14:00:00;35;96;62;33;53;41;10;7;70;69;18;61;65;33;45;2;0;0;0;0;0
2020-08-07 14:15:00;48;113;82;27;48;52;14;10;69;63;17;58;52;34;35;0;0;10;0;0;0
2020-08-07 14:30:00;43;79;53;15;36;33;15;8;68;66;18;53;85;49;35;0;0;0;0;0;0
2020-08-07 14:45:00;34;100;59;19;57;42;14;5;64;61;25;45;57;39;42;0;0;2;0;0;0
2020-08-07 15:00:00;31;77;54;24;31;40;10;4;61;72;27;43;61;35;31;0;0;0;0;0;0
2020-08-07 15:15:00;27;97;58;19;51;38;14;4;63;65;21;43;71;29;32;1;1;9;0;0;0
2020-08-07 15:30:00;28;91;55;22;38;32;6;9;82;69;14;40;61;34;32;0;0;0;0;0;0
2020-08-07 15:45:00;5;14;12;6;6;9;8;3;17;15;3;10;11;5;5;0;1;0;0;0;0
2020-08-07 16:00:00;25;87;54;12;31;34;24;13;58;54;29;41;47;41;32;0;0;2;0;0;0
2020-08-07 16:15:00;26;84;53;36;38;47;17;10;57;71;20;49;60;27;28;2;0;0;0;1;1
2020-08-07 16:30:00;38;77;54;28;39;43;16;9;70;65;32;36;42;30;24;1;0;3;0;0;0
2020-08-07 16:45:00;31;79;55;25;45;34;19;8;55;64;17;41;58;28;27;1;1;0;0;0;0
2020-08-07 17:00:00;32;78;54;28;47;51;8;11;67;83;25;30;50;29;26;0;1;0;0;0;0
2020-08-07 17:15:00;8;40;28;12;26;29;9;9;44;39;15;24;42;35;22;0;6;3;0;0;0
2020-08-07 17:30:00;
2020-08-07 17:45:00;
2020-08-07 18:00:00;10;30;24;9;19;16;9;4;31;30;5;15;37;17;14;0;0;0;0;0;0
2020-08-07 18:15:00;28;84;49;44;39;34;12;14;61;57;15;41;50;26;16;5;0;3;0;0;0
2020-08-07 18:30:00;32;60;41;24;44;40;8;8;66;59;13;41;41;23;26;2;0;3;10;0;1
2020-08-07 18:45:00;13;71;49;8;32;27;7;10;42;54;14;35;52;24;24;0;0;1;0;1;1
2020-08-07 19:00:00;29;58;32;17;31;35;16;9;49;43;10;25;42;22;24;1;0;10;0;0;0
2020-08-07 19:15:00;19;89;54;17;30;42;16;8;61;44;15;28;74;28;16;3;0;2;0;0;0
2020-08-07 19:30:00;14;50;24;17;28;31;9;9;48;50;20;14;43;25;18;0;2;0;0;0;1
2020-08-07 19:45:00;13;52;32;18;25;26;8;8;55;53;13;26;36;21;9;1;0;0;5;0;2
2020-08-07 20:00:00;14;50;36;12;37;19;5;14;70;56;18;16;43;28;19;0;0;0;0;0;0
2020-08-07 20:15:00;13;41;27;19;17;13;10;15;42;54;10;16;19;16;10;0;0;0;0;0;0
2020-08-07 20:30:00;12;44;30;20;23;26;8;10;42;39;6;14;15;12;9;0;0;0;0;0;0
2020-08-07 20:45:00;11;37;30;12;24;16;5;2;38;40;7;5;20;12;8;0;0;0;0;6;2
2020-08-07 21:00:00;10;38;23;16;16;22;5;3;30;26;15;12;19;13;7;0;0;1;0;0;0
2020-08-07 21:15:00;9;44;28;9;19;11;6;4;26;30;6;8;19;11;6;4;1;0;0;0;0
