DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC2);7(TAFGC)
2020-04-27 00:00:00;2;1;0;0;4;3;0
2020-04-27 00:15:00;3;2;1;3;6;2;0
2020-04-27 00:30:00;4;4;0;3;5;1;0
2020-04-27 00:45:00;3;3;3;0;7;1;0
2020-04-27 01:00:00;2;1;1;3;2;3;0
2020-04-27 01:15:00;2;2;2;0;2;2;0
2020-04-27 01:30:00;5;4;1;0;4;2;0
2020-04-27 01:45:00;2;2;1;4;11;4;0
2020-04-27 02:00:00;2;3;3;0;6;3;0
2020-04-27 02:15:00;2;3;3;0;6;5;0
2020-04-27 02:30:00;2;2;1;1;5;3;0
2020-04-27 02:45:00;2;4;3;4;1;0;0
2020-04-27 03:00:00;3;2;1;2;3;1;0
2020-04-27 03:15:00;4;6;5;4;2;1;0
2020-04-27 03:30:00;4;5;6;2;2;2;0
2020-04-27 03:45:00;4;5;3;3;5;5;0
2020-04-27 04:00:00;1;1;1;6;3;2;0
2020-04-27 04:15:00;7;2;2;2;11;5;0
2020-04-27 04:30:00;9;10;7;4;8;5;0
2020-04-27 04:45:00;8;7;6;3;10;5;0
2020-04-27 05:00:00;9;7;3;3;15;8;0
2020-04-27 05:15:00;27;16;10;8;33;11;0
2020-04-27 05:30:00;11;7;6;2;13;3;0
2020-04-27 05:45:00;
2020-04-27 06:00:00;27;21;21;12;63;22;0
2020-04-27 06:15:00;58;36;29;16;41;20;0
2020-04-27 06:30:00;75;45;42;31;73;41;0
2020-04-27 06:45:00;69;45;46;34;102;46;2
2020-04-27 07:00:00;91;51;47;50;48;16;0
2020-04-27 07:15:00;83;47;44;40;83;38;0
2020-04-27 07:30:00;82;49;47;37;78;19;0
2020-04-27 07:45:00;77;53;48;39;79;36;0
2020-04-27 08:00:00;84;43;37;27;82;25;1
2020-04-27 08:15:00;78;54;42;22;73;38;2
2020-04-27 08:30:00;68;40;38;43;72;26;0
2020-04-27 08:45:00;71;36;31;44;80;42;0
2020-04-27 09:00:00;84;46;39;44;96;65;0
2020-04-27 09:15:00;105;63;55;28;68;65;0
2020-04-27 09:30:00;98;60;57;53;79;45;0
2020-04-27 09:45:00;89;45;43;39;106;62;1
2020-04-27 10:00:00;95;51;49;51;94;69;2
2020-04-27 10:15:00;105;62;52;43;95;62;1
2020-04-27 10:30:00;94;56;46;46;112;78;0
2020-04-27 10:45:00;84;58;53;42;100;64;3
2020-04-27 11:00:00;96;65;60;34;79;53;3
2020-04-27 11:15:00;70;53;45;38;107;64;3
2020-04-27 11:30:00;81;44;36;45;89;60;1
2020-04-27 11:45:00;72;53;46;47;88;54;2
2020-04-27 12:00:00;104;54;55;60;82;56;4
2020-04-27 12:15:00;83;61;56;43;85;74;3
2020-04-27 12:30:00;68;46;39;26;73;56;0
2020-04-27 12:45:00;84;49;46;44;92;63;1
2020-04-27 13:00:00;71;61;52;41;106;67;1
2020-04-27 13:15:00;79;64;51;48;93;57;1
2020-04-27 13:30:00;72;51;42;49;90;59;1
2020-04-27 13:45:00;89;56;57;36;89;56;1
2020-04-27 14:00:00;73;57;56;89;77;56;4
2020-04-27 14:15:00;98;61;56;47;102;60;3
2020-04-27 14:30:00;78;60;54;38;91;50;6
2020-04-27 14:45:00;79;61;56;40;89;67;1
2020-04-27 15:00:00;75;52;46;63;98;67;4
2020-04-27 15:15:00;85;71;61;47;97;60;2
2020-04-27 15:30:00;85;52;48;55;100;59;1
2020-04-27 15:45:00;77;55;54;41;100;55;4
2020-04-27 16:00:00;65;59;60;48;98;65;2
2020-04-27 16:15:00;95;62;50;57;100;54;0
2020-04-27 16:30:00;72;47;45;68;99;68;1
2020-04-27 16:45:00;81;57;49;47;102;45;4
2020-04-27 17:00:00;82;49;43;73;87;65;2
2020-04-27 17:15:00;66;41;37;48;106;65;2
2020-04-27 17:30:00;56;45;38;36;90;53;2
2020-04-27 17:45:00;59;43;35;21;58;31;1
2020-04-27 18:00:00;49;34;31;19;70;41;4
2020-04-27 18:15:00;55;18;17;13;57;22;2
2020-04-27 18:30:00;53;40;38;17;63;34;2
2020-04-27 18:45:00;41;27;19;11;53;15;0
2020-04-27 19:00:00;41;27;20;5;40;22;0
2020-04-27 19:15:00;19;14;8;9;27;21;0
2020-04-27 19:30:00;28;20;14;15;32;9;2
2020-04-27 19:45:00;17;9;9;8;29;15;0
2020-04-27 20:00:00;24;8;7;4;27;7;0
2020-04-27 20:15:00;23;16;13;5;23;10;0
2020-04-27 20:30:00;25;11;7;13;19;15;0
2020-04-27 20:45:00;20;12;5;10;13;4;0
2020-04-27 21:00:00;17;11;6;5;12;5;0
2020-04-27 21:15:00;17;8;4;3;12;7;0
2020-04-27 21:30:00;13;15;11;2;7;5;0
2020-04-27 21:45:00;9;6;3;2;5;6;0
2020-04-27 22:00:00;19;12;8;0;12;5;0
2020-04-27 22:15:00;16;10;6;4;12;5;0
2020-04-27 22:30:00;9;7;5;1;7;4;0
2020-04-27 22:45:00;4;2;2;2;8;5;0
2020-04-27 23:00:00;5;5;4;1;8;3;0
2020-04-27 23:15:00;6;3;2;1;10;5;0
2020-04-27 23:30:00;5;12;5;0;10;1;0
2020-04-27 23:45:00;4;5;7;2;4;1;0
