DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DC2);6(TAFGB);7(TAFBB);8(TAFBC);9(SKC)
2020-10-08 00:00:00;8;6;12;0;0;0;0;0;0
2020-10-08 00:15:00;5;7;15;0;0;0;0;0;0
2020-10-08 00:30:00;5;7;13;1;1;0;0;0;0
2020-10-08 00:45:00;7;4;12;0;0;0;0;0;0
2020-10-08 01:00:00;4;3;6;0;0;0;0;0;0
2020-10-08 01:15:00;6;5;6;0;0;0;0;0;0
2020-10-08 01:30:00;3;4;8;0;0;0;0;0;0
2020-10-08 01:45:00;9;6;6;0;0;0;0;0;0
2020-10-08 02:00:00;4;2;6;0;0;0;0;0;0
2020-10-08 02:15:00;5;5;10;1;1;0;0;0;0
2020-10-08 02:30:00;7;4;8;0;0;0;0;0;0
2020-10-08 02:45:00;2;2;8;0;0;0;0;0;0
2020-10-08 03:00:00;3;2;5;0;0;0;0;0;0
2020-10-08 03:15:00;4;4;7;0;0;0;0;0;0
2020-10-08 03:30:00;5;5;8;0;0;0;0;0;0
2020-10-08 03:45:00;4;8;9;0;0;0;0;0;0
2020-10-08 04:00:00;4;4;9;0;0;0;0;0;0
2020-10-08 04:15:00;9;3;9;0;0;0;0;0;0
2020-10-08 04:30:00;19;6;19;0;0;0;0;0;0
2020-10-08 04:45:00;19;6;50;0;0;0;0;0;0
2020-10-08 05:00:00;33;6;88;0;0;0;0;0;0
2020-10-08 05:15:00;51;20;146;0;0;0;0;0;0
2020-10-08 05:30:00;53;12;106;3;3;0;0;0;0
2020-10-08 05:45:00;57;24;132;0;1;0;0;0;0
2020-10-08 06:00:00;105;34;145;1;1;2;0;0;0
2020-10-08 06:15:00;82;39;167;1;1;0;0;0;0
2020-10-08 06:30:00;98;43;151;1;1;0;0;0;0
2020-10-08 06:45:00;70;47;177;1;1;0;0;0;0
2020-10-08 07:00:00;82;47;216;1;1;1;0;0;0
2020-10-08 07:15:00;80;51;199;6;6;1;0;0;0
2020-10-08 07:30:00;98;73;253;1;1;0;0;0;0
2020-10-08 07:45:00;109;103;215;1;1;3;0;0;0
2020-10-08 08:00:00;81;71;192;2;2;1;0;0;0
2020-10-08 08:15:00;95;59;208;2;2;0;0;0;0
2020-10-08 08:30:00;96;66;200;1;1;2;0;0;0
2020-10-08 08:45:00;108;52;191;1;1;1;0;0;0
2020-10-08 09:00:00;99;56;189;2;2;0;0;0;0
2020-10-08 09:15:00;104;54;185;1;1;2;0;0;0
2020-10-08 09:30:00;105;48;189;1;2;0;0;0;0
2020-10-08 09:45:00;98;64;199;1;1;3;0;0;0
2020-10-08 10:00:00;126;74;176;2;3;0;0;0;0
2020-10-08 10:15:00;116;61;202;2;2;3;0;0;0
2020-10-08 10:30:00;102;72;195;2;2;0;0;0;0
2020-10-08 10:45:00;110;66;171;2;2;0;0;0;0
2020-10-08 11:00:00;128;62;183;2;2;5;0;0;0
2020-10-08 11:15:00;124;64;193;1;1;0;0;0;0
2020-10-08 11:30:00;132;61;180;1;1;0;0;0;0
2020-10-08 11:45:00;110;74;186;1;1;1;0;0;0
2020-10-08 12:00:00;123;55;167;2;2;1;0;0;0
2020-10-08 12:15:00;120;54;173;0;0;2;0;0;0
2020-10-08 12:30:00;123;58;200;0;0;1;0;0;0
2020-10-08 12:45:00;124;63;209;4;4;1;0;0;0
2020-10-08 13:00:00;155;76;180;2;2;0;0;0;0
2020-10-08 13:15:00;118;77;219;3;3;0;0;0;0
2020-10-08 13:30:00;136;79;233;3;3;3;0;0;0
2020-10-08 13:45:00;124;62;221;1;1;1;0;0;0
2020-10-08 14:00:00;131;76;217;1;1;1;0;0;0
2020-10-08 14:15:00;128;72;199;2;2;0;0;0;0
2020-10-08 14:30:00;151;67;217;1;1;0;0;0;0
2020-10-08 14:45:00;147;59;235;2;2;0;0;0;0
2020-10-08 15:00:00;157;72;225;2;2;0;0;0;0
2020-10-08 15:15:00;139;64;198;1;1;1;0;0;0
2020-10-08 15:30:00;154;75;216;3;3;1;0;0;0
2020-10-08 15:45:00;160;79;228;2;2;2;0;0;0
2020-10-08 16:00:00;147;69;206;1;1;0;0;0;0
2020-10-08 16:15:00;149;73;224;1;1;2;0;0;0
2020-10-08 16:30:00;156;74;231;2;2;2;0;0;0
2020-10-08 16:45:00;150;84;227;1;1;0;0;0;0
2020-10-08 17:00:00;170;89;238;2;2;0;0;0;0
2020-10-08 17:15:00;160;77;244;4;4;0;0;0;0
2020-10-08 17:30:00;162;79;226;3;3;4;0;0;0
2020-10-08 17:45:00;152;64;240;1;1;1;0;0;0
2020-10-08 18:00:00;156;72;211;5;4;0;0;0;0
2020-10-08 18:15:00;155;83;272;3;4;2;0;0;0
2020-10-08 18:30:00;129;43;189;3;3;0;0;0;0
2020-10-08 18:45:00;133;48;195;2;2;0;0;0;0
2020-10-08 19:00:00;124;49;129;1;1;0;0;0;0
2020-10-08 19:15:00;125;53;164;1;2;0;0;0;0
2020-10-08 19:30:00;118;49;135;3;3;1;0;0;0
2020-10-08 19:45:00;101;36;120;0;0;1;0;0;0
2020-10-08 20:00:00;89;27;95;2;2;0;0;0;0
2020-10-08 20:15:00;56;29;113;2;2;0;0;0;0
2020-10-08 20:30:00;116;42;91;1;1;0;0;0;0
2020-10-08 20:45:00;69;26;115;1;1;0;0;0;0
2020-10-08 21:00:00;66;27;106;0;0;0;0;0;0
2020-10-08 21:15:00;57;20;93;2;2;0;0;0;0
2020-10-08 21:30:00;57;27;51;1;1;0;0;0;0
2020-10-08 21:45:00;86;28;74;0;0;0;0;0;0
2020-10-08 22:00:00;103;33;49;1;1;0;0;0;0
2020-10-08 22:15:00;81;28;56;1;1;0;0;0;0
2020-10-08 22:30:00;47;15;52;2;2;0;0;0;0
2020-10-08 22:45:00;39;18;40;0;0;0;0;0;0
2020-10-08 23:00:00;20;8;29;0;0;0;0;0;0
2020-10-08 23:15:00;25;8;45;2;2;0;0;0;0
2020-10-08 23:30:00;16;13;27;0;0;0;0;0;0
2020-10-08 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
