DATUM;1(DA1);2(DA2);3(DA3);4(DA4);5(DB1);6(DB2);7(DB3);8(DC1);9(DC2);10(DC3);11(DD1);12(DD2);13(DFR)
2020-08-28 19:45:00;0;17;4;5;27;6;24;0;0;0;0;0;0
2020-08-28 20:00:00;0;18;6;6;26;11;27;0;0;0;0;0;0
2020-08-28 20:15:00;0;18;12;12;25;12;24;0;0;0;0;0;0
2020-08-28 20:30:00;1;21;8;8;15;11;16;0;0;0;0;0;0
2020-08-28 20:45:00;0;34;21;21;11;8;13;0;0;0;0;0;0
2020-08-28 21:00:00;1;25;31;31;32;30;32;0;0;0;0;0;0
2020-08-28 21:15:00;2;32;53;54;37;20;35;0;0;0;0;0;0
2020-08-28 21:30:00;0;13;43;41;26;35;27;0;0;0;0;0;0
2020-08-28 21:45:00;1;21;18;18;41;65;41;0;0;0;0;0;0
2020-08-28 22:00:00;1;49;15;16;39;70;42;0;0;0;0;0;0
2020-08-28 22:15:00;0;20;13;13;17;24;16;0;0;0;0;0;0
2020-08-28 22:30:00;0;12;5;5;11;7;9;0;0;0;0;0;0
2020-08-28 22:45:00;0;10;1;2;5;7;6;0;0;0;0;0;0
2020-08-28 23:00:00;0;9;2;2;6;3;4;0;0;0;0;0;0
2020-08-28 23:15:00;1;12;1;2;8;6;7;0;0;0;0;0;0
2020-08-28 23:30:00;0;7;5;5;3;1;2;0;0;0;0;0;0
2020-08-28 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
