DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DC2);7(DD1);8(TAA);9(TAC);10(TAFBA);11(TAFBB);12(TAFBC);13(TAFBD)
2019-11-22 00:00:00;13;1;2;6;21;0;0;0;0;0;0;0;0
2019-11-22 00:15:00;12;1;0;1;26;1;0;0;0;0;0;0;0
2019-11-22 00:30:00;11;1;0;0;22;0;0;0;0;0;0;0;0
2019-11-22 00:45:00;10;0;0;0;11;0;0;0;0;0;0;0;0
2019-11-22 01:00:00;6;0;0;0;12;0;0;0;0;0;0;0;0
2019-11-22 01:15:00;6;0;0;0;9;0;0;0;0;0;0;0;0
2019-11-22 01:30:00;6;0;0;0;5;0;0;0;0;0;0;0;0
2019-11-22 01:45:00;12;0;0;1;8;0;0;0;0;0;0;0;0
2019-11-22 02:00:00;6;0;0;0;2;0;0;0;0;0;0;0;0
2019-11-22 02:15:00;8;0;0;0;6;0;0;0;0;0;0;0;0
2019-11-22 02:30:00;6;1;0;0;8;0;0;0;0;0;0;0;0
2019-11-22 02:45:00;6;0;0;0;7;0;0;0;0;0;0;0;0
2019-11-22 03:00:00;6;0;0;0;8;0;0;0;0;0;0;0;0
2019-11-22 03:15:00;5;1;1;0;6;1;0;0;0;0;0;0;0
2019-11-22 03:30:00;6;0;1;0;10;0;0;0;0;0;0;0;0
2019-11-22 03:45:00;8;0;0;0;9;0;0;0;0;0;0;0;0
2019-11-22 04:00:00;12;0;0;0;9;0;0;0;0;0;0;0;0
2019-11-22 04:15:00;14;0;0;0;13;0;0;0;0;0;0;0;0
2019-11-22 04:30:00;14;0;0;0;8;0;0;0;0;0;0;0;0
2019-11-22 04:45:00;15;1;0;0;18;1;0;0;0;0;0;0;0
2019-11-22 05:00:00;31;0;1;3;20;0;0;0;0;0;0;0;0
2019-11-22 05:15:00;54;0;0;3;30;0;0;0;0;0;0;0;0
2019-11-22 05:30:00;88;0;2;5;42;1;0;0;0;0;0;0;0
2019-11-22 05:45:00;100;2;1;3;77;0;0;0;0;0;0;0;0
2019-11-22 06:00:00;107;1;3;3;76;0;0;0;0;0;0;0;0
2019-11-22 06:15:00;132;3;5;8;107;1;0;0;0;0;0;0;0
2019-11-22 06:30:00;98;6;8;6;100;0;0;31;26;1;0;0;0
2019-11-22 06:45:00;123;2;8;12;153;0;0;1;15;0;0;0;0
2019-11-22 07:00:00;145;8;2;12;126;0;0;0;3;0;0;0;0
2019-11-22 07:15:00;193;7;7;11;125;0;0;33;31;0;0;0;0
2019-11-22 07:30:00;170;6;10;15;103;0;0;0;15;0;0;8;0
2019-11-22 07:45:00;165;12;4;8;122;1;0;0;11;0;0;1;0
2019-11-22 08:00:00;161;9;4;10;119;0;0;16;17;0;0;0;0
2019-11-22 08:15:00;144;8;8;12;121;1;2;1;7;0;0;0;0
2019-11-22 08:30:00;159;7;3;11;117;0;0;6;2;0;0;0;0
2019-11-22 08:45:00;144;11;7;10;104;1;1;3;6;0;0;0;0
2019-11-22 09:00:00;137;8;9;7;111;1;2;6;16;0;0;3;0
2019-11-22 09:15:00;155;5;18;10;106;0;3;12;5;0;0;0;0
2019-11-22 09:30:00;140;11;7;8;130;3;6;0;3;0;0;0;0
2019-11-22 09:45:00;151;9;12;13;128;3;2;0;14;0;0;0;0
2019-11-22 10:00:00;144;11;12;10;122;5;4;0;8;0;0;0;0
2019-11-22 10:15:00;137;8;14;10;128;5;9;3;6;0;0;0;0
2019-11-22 10:30:00;131;7;11;16;136;3;4;0;68;0;0;0;0
2019-11-22 10:45:00;125;4;10;13;120;6;4;0;4;0;0;0;0
2019-11-22 11:00:00;157;5;10;9;135;4;4;0;26;0;0;0;0
2019-11-22 11:15:00;133;9;13;14;137;2;4;8;14;0;0;0;0
2019-11-22 11:30:00;151;8;8;11;159;6;4;0;36;0;0;0;0
2019-11-22 11:45:00;154;10;19;17;144;2;5;2;38;0;0;0;0
2019-11-22 12:00:00;165;12;15;15;174;4;5;4;17;0;0;0;0
2019-11-22 12:15:00;144;16;16;20;178;3;5;3;16;0;0;0;0
2019-11-22 12:30:00;160;5;14;13;198;3;3;0;41;0;0;0;0
2019-11-22 12:45:00;163;7;12;29;170;4;4;1;30;0;0;11;0
2019-11-22 13:00:00;142;4;15;15;189;7;2;4;15;0;0;15;0
2019-11-22 13:15:00;149;4;16;14;201;2;5;1;17;0;0;0;0
2019-11-22 13:30:00;150;6;12;11;176;2;3;0;44;0;1;1;0
2019-11-22 13:45:00;147;7;17;16;185;7;4;0;7;0;0;0;0
2019-11-22 14:00:00;134;5;14;11;185;10;2;26;19;0;0;0;0
2019-11-22 14:15:00;137;14;13;11;192;5;7;4;73;0;0;3;0
2019-11-22 14:30:00;158;10;11;27;208;2;7;14;25;0;0;0;0
2019-11-22 14:45:00;155;4;14;17;208;5;4;0;6;0;0;0;0
2019-11-22 15:00:00;163;4;18;16;192;3;6;0;5;0;0;0;0
2019-11-22 15:15:00;151;6;9;10;192;6;4;0;19;0;0;0;0
2019-11-22 15:30:00;159;8;7;12;177;8;3;0;12;0;0;0;0
2019-11-22 15:45:00;148;10;10;22;190;7;8;6;21;0;0;2;0
2019-11-22 16:00:00;132;7;8;14;174;4;5;4;9;1;0;0;0
2019-11-22 16:15:00;138;6;18;14;174;3;8;1;50;0;0;0;0
2019-11-22 16:30:00;143;5;13;12;191;5;5;1;26;0;0;0;0
2019-11-22 16:45:00;186;7;13;12;182;5;6;1;16;0;0;0;0
2019-11-22 17:00:00;165;5;16;14;180;4;4;6;31;0;0;0;0
2019-11-22 17:15:00;143;9;6;12;193;1;6;0;19;0;0;0;0
2019-11-22 17:30:00;155;6;9;11;160;7;3;1;1;0;0;0;0
2019-11-22 17:45:00;147;4;17;14;165;5;10;5;4;0;0;0;0
2019-11-22 18:00:00;140;5;3;7;167;5;6;3;5;0;0;0;0
2019-11-22 18:15:00;115;4;8;11;163;3;5;0;4;0;0;0;0
2019-11-22 18:30:00;147;2;14;16;181;0;3;0;9;0;0;10;0
2019-11-22 18:45:00;143;3;5;9;145;4;2;49;10;25;0;30;0
2019-11-22 19:00:00;120;5;8;11;135;0;4;1;18;0;0;0;0
2019-11-22 19:15:00;94;2;5;5;108;1;1;4;6;0;0;0;0
2019-11-22 19:30:00;73;4;8;5;104;0;0;0;3;0;0;0;0
2019-11-22 19:45:00;81;3;11;3;102;0;0;0;0;0;0;0;0
2019-11-22 20:00:00;61;1;4;10;137;1;0;0;0;0;0;0;0
2019-11-22 20:15:00;46;1;4;7;107;0;0;0;0;0;0;0;0
2019-11-22 20:30:00;55;0;0;4;69;0;0;0;1;0;0;0;0
2019-11-22 20:45:00;67;0;1;4;65;0;0;0;0;0;0;0;0
2019-11-22 21:00:00;59;0;3;4;72;1;0;0;0;0;0;0;0
2019-11-22 21:15:00;44;0;2;8;78;0;1;0;0;0;0;0;0
2019-11-22 21:30:00;57;0;6;6;68;0;0;0;0;0;0;0;0
2019-11-22 21:45:00;49;0;1;4;78;0;0;0;3;0;0;0;0
2019-11-22 22:00:00;43;0;2;0;73;0;0;0;0;0;0;0;0
2019-11-22 22:15:00;50;0;1;5;89;0;0;0;0;0;0;0;0
2019-11-22 22:30:00;25;0;1;4;67;1;0;0;0;0;0;0;0
2019-11-22 22:45:00;32;1;3;1;65;1;1;0;0;0;0;0;0
2019-11-22 23:00:00;38;1;1;4;55;0;0;0;0;0;0;0;0
2019-11-22 23:15:00;33;0;1;4;41;1;0;0;0;0;0;0;0
2019-11-22 23:30:00;37;0;1;2;57;0;0;0;0;0;0;0;0
2019-11-22 23:45:00;23;1;1;0;50;0;0;0;0;0;0;0;0
