DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DB3);7(DC1);8(DC2);9(TAFGA);10(TAFBA);11(TAFGB);12(TAFBB);13(TAFBC)
2020-01-07 00:00:00;1;11;4;9;7;0;0;0;0;0;0;0;0
2020-01-07 00:15:00;0;7;6;13;5;0;0;1;0;0;0;0;0
2020-01-07 00:30:00;0;10;3;7;3;0;0;0;0;0;0;0;0
2020-01-07 00:45:00;0;7;3;6;6;0;0;0;0;0;0;0;0
2020-01-07 01:00:00;0;4;0;7;3;1;0;0;0;0;0;0;0
2020-01-07 01:15:00;0;1;0;7;2;0;0;0;0;0;0;0;0
2020-01-07 01:30:00;0;7;1;2;3;0;0;0;0;0;0;0;0
2020-01-07 01:45:00;1;2;4;1;0;0;0;0;0;0;0;0;0
2020-01-07 02:00:00;0;5;3;1;3;0;0;1;0;0;0;0;0
2020-01-07 02:15:00;0;5;1;1;5;0;0;0;0;0;0;0;0
2020-01-07 02:30:00;0;6;2;7;2;1;0;0;0;0;0;0;0
2020-01-07 02:45:00;0;5;1;3;1;0;0;1;0;0;0;0;0
2020-01-07 03:00:00;1;4;1;3;1;0;1;1;0;0;0;0;0
2020-01-07 03:15:00;1;4;0;6;1;0;0;1;0;0;0;0;0
2020-01-07 03:30:00;0;3;0;9;2;0;0;0;0;0;0;0;0
2020-01-07 03:45:00;0;6;0;8;2;1;0;0;0;0;0;0;0
2020-01-07 04:00:00;0;13;1;6;4;0;0;0;0;0;0;0;0
2020-01-07 04:15:00;2;4;4;15;5;2;0;0;0;0;0;0;0
2020-01-07 04:30:00;3;19;6;16;2;1;2;2;0;0;0;0;0
2020-01-07 04:45:00;0;21;8;22;9;0;0;1;0;0;0;0;0
2020-01-07 05:00:00;2;39;13;42;12;2;0;1;0;0;0;0;0
2020-01-07 05:15:00;0;37;30;69;47;0;0;1;0;0;0;0;0
2020-01-07 05:30:00;6;47;40;102;89;2;2;2;0;0;0;0;0
2020-01-07 05:45:00;10;49;38;116;120;6;1;6;0;0;0;0;0
2020-01-07 06:00:00;5;71;54;121;122;2;2;6;0;0;0;0;0
2020-01-07 06:15:00;6;62;42;147;154;7;7;10;0;0;0;0;0
2020-01-07 06:30:00;10;68;75;146;142;12;8;12;0;0;0;0;0
2020-01-07 06:45:00;13;60;73;135;151;16;6;11;2;0;0;0;0
2020-01-07 07:00:00;8;58;63;134;165;26;5;13;0;0;0;0;0
2020-01-07 07:15:00;16;50;52;122;167;12;7;14;5;0;0;0;0
2020-01-07 07:30:00;28;65;57;132;142;25;11;12;0;0;3;0;0
2020-01-07 07:45:00;23;74;66;134;153;31;11;10;3;0;9;0;0
2020-01-07 08:00:00;38;57;53;136;151;31;15;20;5;0;12;0;0
2020-01-07 08:15:00;30;54;53;130;136;26;14;20;3;0;0;0;0
2020-01-07 08:30:00;30;68;58;109;114;26;14;24;5;0;4;3;0
2020-01-07 08:45:00;29;73;51;114;103;18;9;15;5;0;1;0;0
2020-01-07 09:00:00;34;67;49;80;98;24;23;21;0;0;3;0;0
2020-01-07 09:15:00;27;54;43;99;80;24;13;27;1;0;0;12;0
2020-01-07 09:30:00;32;61;56;78;64;21;22;32;7;0;10;0;0
2020-01-07 09:45:00;43;60;57;82;84;21;15;30;4;0;2;0;0
2020-01-07 10:00:00;44;64;52;69;61;19;28;35;3;3;0;0;0
2020-01-07 10:15:00;33;72;65;73;68;19;25;28;5;0;12;0;0
2020-01-07 10:30:00;44;69;56;88;64;27;32;35;3;0;0;0;0
2020-01-07 10:45:00;39;77;53;72;67;15;27;33;2;2;4;0;0
2020-01-07 11:00:00;31;73;73;83;55;20;17;34;8;0;7;0;0
2020-01-07 11:15:00;36;71;61;70;58;27;26;37;11;3;2;0;0
2020-01-07 11:30:00;36;86;70;73;59;14;19;36;9;0;8;0;0
2020-01-07 11:45:00;35;60;71;60;42;20;34;42;8;0;2;0;0
2020-01-07 12:00:00;46;93;81;62;61;22;30;60;9;2;3;0;0
2020-01-07 12:15:00;34;81;74;77;51;25;28;36;7;0;5;10;0
2020-01-07 12:30:00;39;84;80;56;52;21;32;49;7;0;18;0;0
2020-01-07 12:45:00;52;68;74;76;40;24;26;37;13;0;2;0;0
2020-01-07 13:00:00;39;84;84;76;64;29;39;44;14;0;0;0;0
2020-01-07 13:15:00;41;94;97;79;65;22;24;35;23;0;6;0;1
2020-01-07 13:30:00;31;85;89;87;55;27;41;45;10;0;12;0;0
2020-01-07 13:45:00;45;96;87;90;81;15;28;37;4;0;12;0;0
2020-01-07 14:00:00;32;108;117;84;79;19;42;30;4;2;3;0;0
2020-01-07 14:15:00;38;124;132;97;64;16;26;31;1;0;1;1;0
2020-01-07 14:30:00;28;115;121;79;70;20;32;40;3;0;6;0;0
2020-01-07 14:45:00;35;109;124;79;66;15;28;30;1;0;7;5;0
2020-01-07 15:00:00;41;133;153;82;62;20;29;22;14;3;2;0;0
2020-01-07 15:15:00;40;165;168;75;57;14;28;38;3;1;5;0;0
2020-01-07 15:30:00;54;146;175;90;72;23;54;40;14;0;2;0;0
2020-01-07 15:45:00;55;157;182;106;79;24;37;35;11;2;9;0;0
2020-01-07 16:00:00;34;165;182;74;76;29;46;50;10;1;0;0;0
2020-01-07 16:15:00;30;84;104;40;38;15;28;24;0;0;0;0;0
2020-01-07 16:30:00;
2020-01-07 16:45:00;
2020-01-07 17:00:00;
2020-01-07 17:15:00;
2020-01-07 17:30:00;
2020-01-07 17:45:00;
2020-01-07 18:00:00;
2020-01-07 18:15:00;
2020-01-07 18:30:00;
2020-01-07 18:45:00;
2020-01-07 19:00:00;
2020-01-07 19:15:00;
2020-01-07 19:30:00;
2020-01-07 19:45:00;
2020-01-07 20:00:00;
2020-01-07 20:15:00;
2020-01-07 20:30:00;
2020-01-07 20:45:00;
2020-01-07 21:00:00;
2020-01-07 21:15:00;
2020-01-07 21:30:00;
2020-01-07 21:45:00;
2020-01-07 22:00:00;
2020-01-07 22:15:00;
2020-01-07 22:30:00;
2020-01-07 22:45:00;
2020-01-07 23:00:00;
2020-01-07 23:15:00;
2020-01-07 23:30:00;
