DATUM;1(DA1);2(DA2);3(DAL1);4(DB1);5(DB2);6(DC1);7(DC2);8(DCL1);9(DD1);10(DD2);11(DD3)
2020-03-02 00:00:00;6;4;2;7;3;4;2;0;0;3;1
2020-03-02 00:15:00;9;7;4;4;3;5;6;4;1;3;1
2020-03-02 00:30:00;3;1;0;3;2;5;4;1;1;3;1
2020-03-02 00:45:00;4;2;0;2;1;8;5;0;3;3;1
2020-03-02 01:00:00;4;5;1;1;1;7;5;4;3;4;0
2020-03-02 01:15:00;4;2;2;0;0;1;2;0;0;1;1
2020-03-02 01:30:00;3;0;0;2;2;8;2;0;0;2;1
2020-03-02 01:45:00;9;8;0;0;0;8;5;2;1;2;0
2020-03-02 02:00:00;3;3;1;1;1;4;2;0;2;3;0
2020-03-02 02:15:00;5;8;1;0;1;2;1;0;2;3;1
2020-03-02 02:30:00;3;2;1;0;0;5;4;1;0;1;0
2020-03-02 02:45:00;5;8;0;1;1;1;1;0;0;3;2
2020-03-02 03:00:00;2;2;0;0;0;5;8;3;1;3;1
2020-03-02 03:15:00;5;2;0;2;2;6;2;1;2;3;1
2020-03-02 03:30:00;2;5;2;0;1;4;5;2;0;2;1
2020-03-02 03:45:00;9;2;0;4;3;8;7;2;1;0;0
2020-03-02 04:00:00;6;3;1;0;1;8;7;1;0;1;1
2020-03-02 04:15:00;18;14;2;4;1;17;8;0;1;1;0
2020-03-02 04:30:00;15;12;3;1;3;31;12;0;2;1;0
2020-03-02 04:45:00;17;15;0;6;3;44;30;2;2;8;5
2020-03-02 05:00:00;24;24;4;11;4;91;72;1;3;8;6
2020-03-02 05:15:00;36;31;10;16;7;141;124;4;8;18;7
2020-03-02 05:30:00;42;52;22;25;19;123;127;3;4;19;11
2020-03-02 05:45:00;57;63;17;44;24;111;132;9;13;26;12
2020-03-02 06:00:00;75;70;10;45;23;108;125;7;11;18;8
2020-03-02 06:15:00;61;61;17;34;15;129;163;17;13;35;14
2020-03-02 06:30:00;66;71;21;52;29;130;169;11;20;34;12
2020-03-02 06:45:00;70;79;27;65;23;125;171;12;23;49;14
2020-03-02 07:00:00;72;68;17;73;29;135;173;22;17;35;6
2020-03-02 07:15:00;75;91;16;93;25;124;142;35;20;40;9
2020-03-02 07:30:00;80;86;27;110;18;123;141;44;25;37;7
2020-03-02 07:45:00;85;100;23;102;33;121;139;49;41;54;18
2020-03-02 08:00:00;81;86;24;76;36;104;126;27;33;49;24
2020-03-02 08:15:00;81;74;22;85;17;124;147;32;32;42;16
2020-03-02 08:30:00;87;86;20;71;29;104;127;25;31;34;17
2020-03-02 08:45:00;90;79;24;63;22;101;134;24;28;54;24
2020-03-02 09:00:00;73;77;23;59;19;82;110;26;23;40;19
2020-03-02 09:15:00;69;92;21;67;22;70;105;24;25;51;20
2020-03-02 09:30:00;72;89;28;75;12;78;98;27;33;45;21
2020-03-02 09:45:00;67;71;22;61;20;87;96;30;17;55;17
2020-03-02 10:00:00;81;74;22;46;15;80;86;26;34;50;19
2020-03-02 10:15:00;86;81;19;56;15;80;91;23;30;54;26
2020-03-02 10:30:00;85;93;25;57;21;75;68;27;30;64;32
2020-03-02 10:45:00;86;80;23;52;14;68;72;20;31;60;27
2020-03-02 11:00:00;89;90;23;54;10;62;56;24;27;56;20
2020-03-02 11:15:00;76;76;39;47;21;79;71;26;26;59;27
2020-03-02 11:30:00;89;90;22;60;15;76;72;20;27;54;19
2020-03-02 11:45:00;83;86;15;45;13;76;63;20;30;51;15
2020-03-02 12:00:00;83;91;27;30;27;59;70;26;36;75;38
2020-03-02 12:15:00;89;109;29;33;10;67;84;19;25;65;26
2020-03-02 12:30:00;86;100;26;38;16;65;93;20;27;57;27
2020-03-02 12:45:00;80;108;26;39;21;74;75;26;30;65;30
2020-03-02 13:00:00;98;110;29;44;20;101;116;27;34;58;24
2020-03-02 13:15:00;91;100;29;38;21;117;131;23;23;50;21
2020-03-02 13:30:00;97;117;32;58;16;118;133;29;24;55;20
2020-03-02 13:45:00;112;124;31;52;20;119;122;24;29;39;14
2020-03-02 14:00:00;117;130;23;56;22;85;96;30;36;61;20
2020-03-02 14:15:00;152;162;26;59;26;77;74;25;35;53;17
2020-03-02 14:30:00;182;213;25;68;26;82;81;34;24;71;24
2020-03-02 14:45:00;154;188;30;66;29;72;74;20;31;62;15
2020-03-02 15:00:00;164;165;30;59;21;75;65;23;46;65;23
2020-03-02 15:15:00;152;174;32;55;22;69;66;25;26;65;23
2020-03-02 15:30:00;170;201;31;72;24;90;93;26;33;59;26
2020-03-02 15:45:00;164;188;35;78;25;69;86;29;48;59;24
2020-03-02 16:00:00;162;195;46;63;30;73;73;30;38;91;33
2020-03-02 16:15:00;170;187;41;75;30;92;91;27;46;73;23
2020-03-02 16:30:00;166;179;26;76;37;91;87;41;46;88;46
2020-03-02 16:45:00;161;190;43;68;23;93;86;37;37;99;26
2020-03-02 17:00:00;185;197;30;73;30;75;91;34;48;86;27
2020-03-02 17:15:00;155;176;30;68;28;93;97;36;49;65;27
2020-03-02 17:30:00;178;193;39;77;26;76;81;31;39;73;20
2020-03-02 17:45:00;149;180;42;56;20;83;81;28;33;69;19
2020-03-02 18:00:00;123;109;32;64;15;81;69;28;32;57;17
2020-03-02 18:15:00;126;152;38;53;27;69;60;28;38;67;19
2020-03-02 18:30:00;107;132;28;61;28;80;60;31;32;60;18
2020-03-02 18:45:00;82;95;29;39;24;71;64;24;20;34;11
2020-03-02 19:00:00;87;89;31;33;12;55;55;18;15;54;11
2020-03-02 19:15:00;75;59;19;44;14;56;61;16;14;47;10
2020-03-02 19:30:00;66;66;22;28;11;51;41;11;20;39;16
2020-03-02 19:45:00;54;44;18;34;14;41;36;15;14;44;12
2020-03-02 20:00:00;56;64;16;19;6;38;52;8;15;32;15
2020-03-02 20:15:00;62;43;22;19;6;38;39;10;11;28;9
2020-03-02 20:30:00;33;31;15;18;8;43;35;8;14;22;4
2020-03-02 20:45:00;37;35;19;23;8;64;55;7;8;20;4
2020-03-02 21:00:00;35;28;11;15;4;94;94;5;5;41;25
2020-03-02 21:15:00;42;30;11;36;6;83;83;9;4;20;6
2020-03-02 21:30:00;34;39;12;6;3;46;42;1;2;12;2
2020-03-02 21:45:00;96;92;16;5;4;32;23;2;1;16;3
2020-03-02 22:00:00;137;146;10;21;10;38;27;1;6;23;7
2020-03-02 22:15:00;88;79;17;15;4;30;15;2;5;27;6
2020-03-02 22:30:00;36;32;10;15;3;16;22;6;7;22;5
2020-03-02 22:45:00;24;16;5;7;3;15;13;3;7;13;3
2020-03-02 23:00:00;17;8;4;6;4;16;8;1;8;12;3
2020-03-02 23:15:00;16;11;3;8;3;9;6;2;4;7;0
2020-03-02 23:30:00;10;11;4;5;3;23;6;2;1;8;1
2020-03-02 23:45:00;8;8;7;3;1;13;5;1;2;3;1
