DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DB3);7(DC1);8(DC2);9(TAFGA);10(TAFBA);11(TAFGB);12(TAFBB);13(TAFBC)
2020-11-27 19:45:00;0;0;0;0;32;10;17;24;5;0;0;0;0
2020-11-27 20:00:00;0;0;0;0;28;2;27;27;0;0;0;0;0
2020-11-27 20:15:00;0;0;0;0;34;4;9;12;0;0;5;2;0
2020-11-27 20:30:00;0;0;0;0;38;3;3;3;3;0;0;0;0
2020-11-27 20:45:00;0;0;0;0;46;1;5;3;0;0;0;0;0
2020-11-27 21:00:00;0;0;0;0;86;1;9;17;0;0;0;0;0
2020-11-27 21:15:00;0;0;0;0;87;2;9;14;0;0;0;0;0
2020-11-27 21:30:00;0;0;0;0;45;3;1;3;0;0;0;0;0
2020-11-27 21:45:00;0;0;0;0;18;0;1;2;0;0;0;0;0
2020-11-27 22:00:00;0;0;0;0;17;1;1;3;0;0;0;0;0
2020-11-27 22:15:00;0;0;0;0;14;2;0;3;0;0;0;0;0
2020-11-27 22:30:00;0;0;0;0;16;0;2;2;0;0;0;0;0
2020-11-27 22:45:00;0;0;0;0;6;0;3;8;0;0;0;0;0
2020-11-27 23:00:00;0;0;0;0;9;0;1;3;0;0;0;0;0
2020-11-27 23:15:00;0;0;0;0;11;1;0;1;0;0;0;0;0
2020-11-27 23:30:00;0;0;0;0;5;0;1;1;0;0;0;0;0
2020-11-27 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
