DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DC2);6(DD1);7(TAFGA);8(TAFBA);9(TAFBB);10(TAFGC);11(TAFBC);12(TAFBDRES)
2020-07-25 00:00:00;2;3;0;5;73;0;0;0;0;0;0;0
2020-07-25 00:15:00;1;3;0;4;111;0;0;0;0;0;0;0
2020-07-25 00:30:00;1;0;0;6;92;0;0;0;0;0;0;0
2020-07-25 00:45:00;3;2;0;1;70;0;0;0;0;0;0;0
2020-07-25 01:00:00;2;1;0;2;98;1;0;0;0;0;0;0
2020-07-25 01:15:00;1;2;0;1;87;0;0;0;0;0;0;0
2020-07-25 01:30:00;1;2;0;1;29;0;0;0;0;0;0;0
2020-07-25 01:45:00;2;2;0;2;3;0;0;0;0;0;0;0
2020-07-25 02:00:00;5;1;0;1;0;0;0;0;0;0;0;0
2020-07-25 02:15:00;1;0;0;0;3;0;0;0;0;0;0;0
2020-07-25 02:30:00;2;3;0;0;0;0;0;0;0;0;0;0
2020-07-25 02:45:00;1;1;0;0;1;0;0;0;0;0;0;0
2020-07-25 03:00:00;2;1;0;2;1;0;0;0;0;0;0;0
2020-07-25 03:15:00;2;0;0;0;2;0;0;0;0;0;0;0
2020-07-25 03:30:00;0;0;0;1;1;0;0;0;0;0;0;0
2020-07-25 03:45:00;0;0;0;0;1;0;0;0;0;0;0;0
2020-07-25 04:00:00;1;0;0;0;0;0;0;0;0;0;0;0
2020-07-25 04:15:00;0;0;0;0;1;0;0;0;0;0;0;0
2020-07-25 04:30:00;0;0;0;1;2;0;0;0;0;0;0;0
2020-07-25 04:45:00;0;0;0;0;0;0;0;0;0;0;0;0
2020-07-25 05:00:00;0;0;0;5;153;0;0;0;0;0;0;0
2020-07-25 05:15:00;0;1;0;3;2;1;0;0;0;0;0;0
2020-07-25 05:30:00;2;1;0;7;3;0;0;0;0;0;0;0
2020-07-25 05:45:00;1;1;0;1;0;0;0;0;0;0;0;0
2020-07-25 06:00:00;1;2;0;2;0;0;0;0;0;0;0;0
2020-07-25 06:15:00;1;1;0;10;7;2;0;0;0;0;0;0
2020-07-25 06:30:00;3;1;0;11;126;0;0;0;0;0;0;0
2020-07-25 06:45:00;3;2;0;17;6;2;0;0;0;0;0;0
2020-07-25 07:00:00;5;6;0;7;7;0;0;0;0;0;0;0
2020-07-25 07:15:00;4;1;0;6;5;3;0;0;0;0;0;0
2020-07-25 07:30:00;3;5;0;11;6;0;0;0;0;0;0;0
2020-07-25 07:45:00;11;6;0;17;12;2;0;0;0;0;0;0
2020-07-25 08:00:00;5;6;0;11;9;4;0;0;0;0;0;0
2020-07-25 08:15:00;11;14;0;16;9;2;0;0;0;1;3;0
2020-07-25 08:30:00;11;16;0;27;11;5;0;0;0;0;0;0
2020-07-25 08:45:00;13;10;2;33;25;0;0;0;0;0;0;0
2020-07-25 09:00:00;23;23;0;36;13;8;0;0;0;1;0;0
2020-07-25 09:15:00;27;19;3;49;23;6;1;1;0;1;0;0
2020-07-25 09:30:00;25;16;0;52;33;5;0;0;0;1;0;0
2020-07-25 09:45:00;24;31;1;86;43;7;1;0;0;3;0;0
2020-07-25 10:00:00;29;28;1;97;39;4;1;0;0;0;0;0
2020-07-25 10:15:00;54;46;1;108;36;16;4;1;0;3;0;0
2020-07-25 10:30:00;53;47;1;107;46;10;3;0;0;3;0;0
2020-07-25 10:45:00;63;50;1;110;54;12;0;0;0;10;9;0
2020-07-25 11:00:00;65;38;2;101;57;16;2;0;0;5;0;0
2020-07-25 11:15:00;76;74;1;114;34;7;1;0;0;11;0;0
2020-07-25 11:30:00;73;50;7;106;31;23;4;2;0;8;1;0
2020-07-25 11:45:00;79;63;4;99;28;22;7;9;0;1;0;0
2020-07-25 12:00:00;74;62;0;97;33;7;2;5;1;6;3;0
2020-07-25 12:15:00;82;64;3;91;31;18;7;3;0;7;0;0
2020-07-25 12:30:00;75;54;3;99;26;16;6;4;0;7;0;0
2020-07-25 12:45:00;66;60;1;99;49;12;1;1;0;5;0;0
2020-07-25 13:00:00;53;49;1;88;38;14;2;0;1;9;51;0
2020-07-25 13:15:00;56;59;2;89;56;16;4;2;0;6;1;0
2020-07-25 13:30:00;51;76;3;96;49;15;1;52;0;0;0;0
2020-07-25 13:45:00;54;58;1;80;47;20;0;0;0;17;0;0
2020-07-25 14:00:00;72;65;1;97;43;10;1;0;0;5;0;0
2020-07-25 14:15:00;64;59;2;90;52;10;5;0;0;5;0;0
2020-07-25 14:30:00;65;64;1;100;29;13;1;0;0;8;0;0
2020-07-25 14:45:00;64;76;1;102;37;12;0;0;1;10;0;0
2020-07-25 15:00:00;73;65;1;114;51;8;1;0;2;4;0;0
2020-07-25 15:15:00;67;58;2;102;56;15;0;0;0;7;0;0
2020-07-25 15:30:00;76;68;3;103;51;14;2;0;2;3;0;0
2020-07-25 15:45:00;67;72;3;92;49;11;3;0;5;4;1;0
2020-07-25 16:00:00;76;66;4;81;39;39;4;0;0;6;0;0
2020-07-25 16:15:00;67;68;4;89;31;12;3;0;0;2;0;0
2020-07-25 16:30:00;61;53;3;90;49;16;2;0;0;5;0;0
2020-07-25 16:45:00;65;54;3;78;54;18;2;0;0;4;1;0
2020-07-25 17:00:00;63;62;3;70;46;10;3;8;0;4;0;0
2020-07-25 17:15:00;56;55;1;77;49;19;1;14;0;10;6;0
2020-07-25 17:30:00;60;56;2;67;31;9;8;0;0;9;8;0
2020-07-25 17:45:00;60;58;1;79;32;15;4;0;0;4;0;0
2020-07-25 18:00:00;61;46;1;56;25;16;2;0;11;4;8;0
2020-07-25 18:15:00;47;45;3;64;36;15;3;3;1;2;0;0
2020-07-25 18:30:00;60;39;0;51;22;9;1;0;0;1;0;0
2020-07-25 18:45:00;37;39;2;45;22;8;0;0;0;2;0;0
2020-07-25 19:00:00;36;39;2;39;13;3;3;0;0;0;0;0
2020-07-25 19:15:00;39;36;2;47;9;1;2;0;0;4;9;0
2020-07-25 19:30:00;34;41;3;25;15;1;1;1;0;1;0;0
2020-07-25 19:45:00;42;32;0;20;10;1;1;0;0;2;5;0
2020-07-25 20:00:00;23;19;0;7;6;4;0;0;0;0;0;0
2020-07-25 20:15:00;8;16;1;10;10;2;0;0;0;0;0;0
2020-07-25 20:30:00;4;5;0;6;10;1;0;0;0;0;0;0
2020-07-25 20:45:00;6;2;4;6;4;0;0;0;0;0;0;0
2020-07-25 21:00:00;4;5;0;4;9;3;0;0;0;0;0;0
2020-07-25 21:15:00;5;9;1;7;3;1;0;0;0;0;0;0
2020-07-25 21:30:00;5;7;0;8;7;0;0;0;0;0;0;0
2020-07-25 21:45:00;8;6;0;6;2;0;0;0;0;0;0;0
2020-07-25 22:00:00;8;9;1;9;5;0;0;0;0;0;0;0
2020-07-25 22:15:00;10;5;0;15;4;1;0;0;0;0;0;0
2020-07-25 22:30:00;4;2;0;10;5;2;0;0;0;0;0;0
