DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC2);7(DC3);8(TA);28(DD1)
2019-09-12 00:00:00;12;6;0;0;0;9;5;0;0
2019-09-12 00:15:00;14;5;0;0;0;18;8;0;0
2019-09-12 00:30:00;10;6;0;0;0;15;6;1;0
2019-09-12 00:45:00;7;6;0;0;0;16;5;0;0
2019-09-12 01:00:00;14;8;0;0;0;11;5;0;0
2019-09-12 01:15:00;12;6;0;0;0;7;6;0;0
2019-09-12 01:30:00;10;1;0;0;0;10;2;0;1
2019-09-12 01:45:00;6;6;1;0;0;6;3;0;0
2019-09-12 02:00:00;14;4;0;1;0;12;7;0;0
2019-09-12 02:15:00;8;3;0;0;0;3;6;0;0
2019-09-12 02:30:00;14;5;0;0;1;6;4;0;0
2019-09-12 02:45:00;7;5;0;0;0;10;3;0;0
2019-09-12 03:00:00;9;5;0;0;0;13;2;0;0
2019-09-12 03:15:00;7;4;1;0;0;3;4;0;0
2019-09-12 03:30:00;7;4;0;0;1;6;3;0;0
2019-09-12 03:45:00;10;0;0;0;0;10;3;0;0
2019-09-12 04:00:00;10;3;0;1;0;16;1;0;0
2019-09-12 04:15:00;14;9;2;0;0;15;3;0;0
2019-09-12 04:30:00;21;20;1;1;1;28;9;0;0
2019-09-12 04:45:00;30;15;1;0;0;57;24;0;0
2019-09-12 05:00:00;38;32;1;0;1;109;63;1;0
2019-09-12 05:15:00;42;43;1;1;3;185;158;0;0
2019-09-12 05:30:00;58;66;2;1;2;212;198;2;0
2019-09-12 05:45:00;143;128;6;1;5;163;146;0;0
2019-09-12 06:00:00;180;189;3;2;2;177;164;0;0
2019-09-12 06:15:00;119;130;5;1;5;209;168;0;0
2019-09-12 06:30:00;94;120;8;8;6;254;224;41;0
2019-09-12 06:45:00;102;107;9;6;6;237;256;11;2
2019-09-12 07:00:00;89;101;8;9;11;226;232;4;1
2019-09-12 07:15:00;102;104;13;10;17;261;275;11;1
2019-09-12 07:30:00;111;118;5;21;12;265;279;21;7
2019-09-12 07:45:00;130;142;7;12;12;266;271;1;0
2019-09-12 08:00:00;105;121;12;13;11;224;241;19;5
2019-09-12 08:15:00;98;130;12;15;9;189;211;12;3
2019-09-12 08:30:00;123;131;6;23;14;180;213;14;0
2019-09-12 08:45:00;98;109;10;13;15;176;191;9;2
2019-09-12 09:00:00;107;89;11;10;8;131;169;2;0
2019-09-12 09:15:00;105;94;8;17;20;131;167;4;0
2019-09-12 09:30:00;105;105;13;15;11;138;181;6;0
2019-09-12 09:45:00;114;103;16;14;15;115;129;25;0
2019-09-12 10:00:00;118;109;15;21;13;99;130;16;1
2019-09-12 10:15:00;109;132;12;19;15;110;137;15;4
2019-09-12 10:30:00;97;124;11;23;23;105;126;5;2
2019-09-12 10:45:00;118;128;18;33;9;104;125;12;1
2019-09-12 11:00:00;122;140;16;25;19;101;129;4;0
2019-09-12 11:15:00;109;128;14;31;13;117;130;21;0
2019-09-12 11:30:00;104;121;10;25;14;118;123;86;0
2019-09-12 11:45:00;118;128;11;23;19;114;139;19;0
2019-09-12 12:00:00;101;181;22;28;14;101;128;37;4
2019-09-12 12:15:00;141;162;10;23;9;101;122;17;17
2019-09-12 12:30:00;144;165;11;24;14;106;122;8;46
2019-09-12 12:45:00;127;145;13;17;13;103;132;39;0
2019-09-12 13:00:00;129;170;13;16;19;140;163;66;0
2019-09-12 13:15:00;120;157;12;17;12;161;164;21;0
2019-09-12 13:30:00;128;163;15;18;16;198;212;35;0
2019-09-12 13:45:00;138;161;12;21;10;174;192;6;1
2019-09-12 14:00:00;166;190;17;19;20;143;160;23;15
2019-09-12 14:15:00;242;258;27;24;15;95;134;43;3
2019-09-12 14:30:00;247;259;19;23;19;123;157;31;2
2019-09-12 14:45:00;211;248;23;21;13;118;141;19;5
2019-09-12 15:00:00;196;234;18;24;12;135;158;20;4
2019-09-12 15:15:00;245;266;21;18;9;131;171;59;0
2019-09-12 15:30:00;250;271;16;18;19;126;149;17;1
2019-09-12 15:45:00;241;265;22;18;13;124;160;26;1
2019-09-12 16:00:00;220;241;25;21;17;116;156;12;2
2019-09-12 16:15:00;234;268;30;24;18;115;162;17;0
2019-09-12 16:30:00;234;260;20;26;13;117;158;21;2
2019-09-12 16:45:00;245;257;19;18;11;117;149;9;3
2019-09-12 17:00:00;231;252;14;35;12;129;153;29;55
2019-09-12 17:15:00;212;254;18;17;17;149;190;22;1
2019-09-12 17:30:00;209;226;13;17;12;121;141;30;5
2019-09-12 17:45:00;189;222;14;15;10;113;142;19;1
2019-09-12 18:00:00;194;236;12;22;10;135;145;13;12
2019-09-12 18:15:00;168;194;9;21;7;120;154;34;4
2019-09-12 18:30:00;156;174;3;16;5;128;145;13;2
2019-09-12 18:45:00;147;129;1;14;5;109;133;11;0
2019-09-12 19:00:00;139;149;4;11;2;90;100;26;0
2019-09-12 19:15:00;110;120;4;6;4;85;91;22;2
2019-09-12 19:30:00;97;109;3;6;2;97;96;4;0
2019-09-12 19:45:00;111;121;4;4;1;89;78;6;1
2019-09-12 20:00:00;101;97;2;1;1;87;76;26;2
2019-09-12 20:15:00;74;103;3;0;1;86;73;13;1
2019-09-12 20:30:00;88;95;1;2;0;86;73;0;1
2019-09-12 20:45:00;62;82;0;1;2;98;72;0;1
2019-09-12 21:00:00;67;80;0;1;1;167;127;0;1
