DATUM;1(DA1);2(DA2);3(DA3);4(DA4);5(DB1);6(DC1);7(DC2);8(DD1);9(TAFGA)
2020-08-24 00:00:00;14;9;13;1;2;16;10;2;4
2020-08-24 00:15:00;12;10;8;4;3;13;9;1;4
2020-08-24 00:30:00;13;20;12;5;3;14;9;0;4
2020-08-24 00:45:00;13;15;10;4;3;8;8;1;1
2020-08-24 01:00:00;9;11;9;2;2;6;2;0;0
2020-08-24 01:15:00;8;9;6;4;4;8;1;1;1
2020-08-24 01:30:00;2;5;2;2;0;7;0;0;0
2020-08-24 01:45:00;10;10;8;3;1;9;7;1;1
2020-08-24 02:00:00;1;5;4;0;1;9;3;0;0
2020-08-24 02:15:00;5;4;4;0;2;5;3;0;0
2020-08-24 02:30:00;3;1;3;3;1;4;4;0;0
2020-08-24 02:45:00;4;4;8;2;1;11;6;0;0
2020-08-24 03:00:00;3;4;6;0;0;5;4;0;0
2020-08-24 03:15:00;7;2;1;1;1;5;2;0;1
2020-08-24 03:30:00;5;7;5;2;1;0;1;0;1
2020-08-24 03:45:00;3;1;0;0;0;6;2;1;1
2020-08-24 04:00:00;6;3;2;2;3;10;3;0;0
2020-08-24 04:15:00;6;4;4;1;1;10;4;0;0
2020-08-24 04:30:00;11;5;4;0;0;11;3;2;0
2020-08-24 04:45:00;20;10;9;0;0;21;15;0;0
2020-08-24 05:00:00;21;6;10;2;1;21;13;1;3
2020-08-24 05:15:00;31;18;19;3;2;46;25;0;1
2020-08-24 05:30:00;33;25;31;6;2;43;25;1;4
2020-08-24 05:45:00;41;34;42;11;4;69;50;3;6
2020-08-24 06:00:00;39;37;43;10;3;43;37;11;13
2020-08-24 06:15:00;14;12;21;3;2;18;17;3;3
2020-08-24 06:30:00;68;56;48;9;10;69;53;9;13
2020-08-24 06:45:00;79;83;67;13;12;87;59;3;11
2020-08-24 07:00:00;75;73;52;13;9;52;46;7;12
2020-08-24 07:15:00;93;90;71;12;12;68;55;7;14
2020-08-24 07:30:00;81;100;95;20;14;64;71;6;12
2020-08-24 07:45:00;79;84;93;18;13;86;71;8;17
2020-08-24 08:00:00;74;78;57;14;9;76;59;8;13
2020-08-24 08:15:00;90;59;65;7;11;74;67;8;15
2020-08-24 08:30:00;69;68;79;14;12;87;54;17;21
2020-08-24 08:45:00;67;75;60;16;9;89;52;8;9
2020-08-24 09:00:00;64;71;53;16;12;86;55;16;40
2020-08-24 09:15:00;77;76;75;16;6;94;64;11;17
2020-08-24 09:30:00;76;80;77;17;12;88;58;15;12
2020-08-24 09:45:00;87;90;74;24;14;88;68;12;30
2020-08-24 10:00:00;90;83;66;20;11;102;89;9;16
2020-08-24 10:15:00;78;73;78;20;15;81;56;9;20
2020-08-24 10:30:00;82;80;78;20;12;93;82;21;16
2020-08-24 10:45:00;76;79;107;25;8;95;97;9;14
2020-08-24 11:00:00;107;121;90;22;11;88;105;12;14
2020-08-24 11:15:00;89;95;85;18;11;69;97;11;22
2020-08-24 11:30:00;105;87;80;13;9;90;120;14;206
2020-08-24 11:45:00;80;91;86;20;14;78;76;13;20
2020-08-24 12:00:00;103;90;78;26;12;89;94;17;20
