DATUM;1(DA1);2(DRES);3(DC1);4(DD1);5(TARDB);6(TARDD);7(TAFGA);8(TAFGC);9(TAFBA);10(TAFBC);11(TAFBD);12(TARES)
2019-09-21 21:00:00;30;0;46;12;0;0;4;0;0;0;0;0
2019-09-21 21:15:00;32;0;33;10;0;0;0;0;0;0;0;0
2019-09-21 21:30:00;28;0;32;10;0;0;0;0;0;0;0;0
2019-09-21 21:45:00;25;0;37;11;0;0;2;0;0;0;0;0
2019-09-21 22:00:00;25;0;23;13;0;0;0;0;0;0;0;0
2019-09-21 22:15:00;25;0;19;13;0;0;0;0;0;0;0;0
2019-09-21 22:30:00;19;0;31;6;0;0;0;0;0;0;0;0
2019-09-21 22:45:00;28;0;20;10;0;0;0;0;0;0;0;0
2019-09-21 23:00:00;30;0;20;5;0;0;1;0;0;0;0;0
2019-09-21 23:15:00;21;0;15;13;0;0;0;0;0;0;0;0
2019-09-21 23:30:00;16;0;28;9;0;0;0;0;0;0;0;0
2019-09-21 23:45:00;17;0;14;9;0;0;0;0;0;0;0;0
