DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DC3);9(DC4);10(DD1);11(DD2);12(DD3);13(DD4)
2020-12-25 19:45:00;14;4;0;8;15;20;15;6;5;9;9;6;0
2020-12-25 20:00:00;13;5;6;8;12;20;20;15;9;5;8;5;7
2020-12-25 20:15:00;18;13;7;4;14;22;17;10;5;10;3;2;7
2020-12-25 20:30:00;8;6;1;12;13;26;22;3;1;6;7;1;1
2020-12-25 20:45:00;15;4;6;2;9;22;17;6;3;6;6;2;6
2020-12-25 21:00:00;4;4;1;1;3;12;5;1;1;1;0;0;1
2020-12-25 21:15:00;4;0;0;0;1;4;4;1;0;0;0;0;0
2020-12-25 21:30:00;2;2;0;3;1;4;4;0;0;1;1;0;0
2020-12-25 21:45:00;1;0;0;1;0;3;3;1;1;1;0;0;0
2020-12-25 22:00:00;3;0;0;1;0;5;2;0;0;1;1;0;0
2020-12-25 22:15:00;3;2;0;0;0;2;1;0;0;0;0;0;0
2020-12-25 22:30:00;0;1;0;1;1;0;0;0;0;0;0;0;0
2020-12-25 22:45:00;2;0;1;0;0;1;1;3;4;2;1;0;1
2020-12-25 23:00:00;0;0;0;0;1;0;1;0;0;0;0;0;0
2020-12-25 23:15:00;0;0;0;0;0;2;2;0;0;1;1;0;0
2020-12-25 23:30:00;1;0;0;1;0;1;1;0;0;0;0;0;0
2020-12-25 23:45:00;0;0;0;0;2;2;1;0;0;0;0;0;0
