DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(TAFGA);9(TAFGC)
2019-12-31 00:00:00;8;9;12;1;0;0;12;0;0
2019-12-31 00:15:00;2;10;9;2;2;1;12;0;0
2019-12-31 00:30:00;4;4;9;1;1;2;10;0;0
2019-12-31 00:45:00;3;7;11;1;1;0;10;0;0
2019-12-31 01:00:00;3;5;8;1;0;0;4;0;0
2019-12-31 01:15:00;1;3;4;1;0;1;6;0;0
2019-12-31 01:30:00;2;3;7;0;0;1;8;0;0
2019-12-31 01:45:00;0;1;1;1;0;0;4;0;0
2019-12-31 02:00:00;3;3;5;0;0;0;8;0;0
2019-12-31 02:15:00;1;1;3;0;0;0;3;0;0
2019-12-31 02:30:00;0;4;4;0;0;0;2;0;0
2019-12-31 02:45:00;1;1;1;1;0;0;1;0;0
2019-12-31 03:00:00;4;5;7;0;0;0;3;0;0
2019-12-31 03:15:00;1;1;1;0;0;0;1;0;0
2019-12-31 03:30:00;0;2;2;0;0;1;6;0;0
2019-12-31 03:45:00;1;2;2;0;0;0;0;0;0
2019-12-31 04:00:00;1;1;3;0;0;0;1;0;0
2019-12-31 04:15:00;4;3;4;0;0;0;2;0;0
2019-12-31 04:30:00;1;4;4;0;0;0;3;0;0
2019-12-31 04:45:00;2;5;8;1;0;0;5;0;0
2019-12-31 05:00:00;3;3;6;1;0;3;6;0;0
2019-12-31 05:15:00;2;2;5;0;0;0;4;0;0
2019-12-31 05:30:00;6;3;12;4;0;0;15;0;0
2019-12-31 05:45:00;3;6;9;0;0;2;11;0;0
2019-12-31 06:00:00;5;10;14;0;0;0;13;0;0
2019-12-31 06:15:00;5;15;15;7;0;2;10;0;0
2019-12-31 06:30:00;1;5;8;1;0;0;13;0;0
2019-12-31 06:45:00;4;11;14;4;0;0;12;0;0
2019-12-31 07:00:00;4;7;10;4;1;2;8;0;0
2019-12-31 07:15:00;7;9;16;3;1;0;10;0;2
2019-12-31 07:30:00;5;8;14;7;1;0;8;0;1
2019-12-31 07:45:00;11;10;22;4;3;1;19;0;2
2019-12-31 08:00:00;9;12;15;5;2;0;8;0;8
