DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC2);7(DC3);8(TA);28(DD1)
2020-06-08 00:00:00;10;5;0;0;0;9;5;0;0
2020-06-08 00:15:00;14;13;0;0;0;19;11;0;0
2020-06-08 00:30:00;4;9;0;0;0;17;6;0;0
2020-06-08 00:45:00;5;6;0;0;0;17;8;0;1
2020-06-08 01:00:00;11;7;0;1;0;4;4;0;0
2020-06-08 01:15:00;7;5;0;0;0;4;7;0;0
2020-06-08 01:30:00;6;4;0;0;0;5;3;0;0
2020-06-08 01:45:00;11;6;0;0;0;4;4;0;0
2020-06-08 02:00:00;2;1;0;0;0;7;1;0;0
2020-06-08 02:15:00;8;0;0;0;0;11;3;0;0
2020-06-08 02:30:00;8;3;0;0;0;1;2;0;0
2020-06-08 02:45:00;10;4;0;0;0;6;2;0;0
2020-06-08 03:00:00;6;0;0;0;0;8;3;0;0
2020-06-08 03:15:00;5;5;0;0;0;7;3;0;0
2020-06-08 03:30:00;3;3;0;0;0;2;2;0;0
2020-06-08 03:45:00;9;2;0;0;0;12;2;0;0
2020-06-08 04:00:00;7;7;0;0;0;12;3;0;0
2020-06-08 04:15:00;11;5;0;0;0;15;2;0;0
2020-06-08 04:30:00;14;4;0;0;0;15;7;0;0
2020-06-08 04:45:00;21;10;1;0;0;44;19;0;0
2020-06-08 05:00:00;26;26;2;1;1;83;41;0;0
2020-06-08 05:15:00;40;34;0;0;1;193;134;0;1
2020-06-08 05:30:00;49;42;3;2;4;168;133;0;4
2020-06-08 05:45:00;57;70;2;2;1;154;116;0;2
2020-06-08 06:00:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-08 06:15:00;67;64;3;0;2;147;122;0;2
2020-06-08 06:30:00;87;92;7;4;8;187;156;11;4
2020-06-08 06:45:00;74;85;5;2;15;168;166;2;5
2020-06-08 07:00:00;81;96;6;12;19;156;140;0;5
2020-06-08 07:15:00;86;77;8;11;20;167;156;6;3
2020-06-08 07:30:00;90;75;5;10;16;166;163;21;1
2020-06-08 07:45:00;98;84;7;9;15;163;166;10;8
2020-06-08 08:00:00;69;80;4;9;9;148;140;11;3
2020-06-08 08:15:00;76;70;7;11;13;118;103;6;7
