DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC2);7(DC3);8(TA);28(DD1)
2019-10-20 00:00:00;22;18;1;0;0;30;18;0;0
2019-10-20 00:15:00;28;25;0;1;0;33;27;0;2
2019-10-20 00:30:00;24;18;0;1;0;30;17;0;0
2019-10-20 00:45:00;30;21;0;0;1;22;16;0;3
2019-10-20 01:00:00;25;18;0;4;0;27;20;0;0
2019-10-20 01:15:00;29;21;0;1;0;23;16;0;0
2019-10-20 01:30:00;20;16;0;0;0;25;12;0;1
2019-10-20 01:45:00;23;23;0;0;0;26;14;0;0
2019-10-20 02:00:00;21;16;1;0;0;15;6;0;0
2019-10-20 02:15:00;17;4;0;0;0;17;5;0;1
2019-10-20 02:30:00;13;16;0;0;0;11;9;0;0
2019-10-20 02:45:00;13;12;0;0;0;15;11;0;0
2019-10-20 03:00:00;13;11;0;0;0;14;10;0;0
2019-10-20 03:15:00;14;10;0;0;0;10;7;0;0
2019-10-20 03:30:00;9;3;0;0;0;12;8;0;0
2019-10-20 03:45:00;11;11;0;1;0;11;6;0;0
2019-10-20 04:00:00;11;16;1;2;0;8;5;0;0
2019-10-20 04:15:00;14;7;0;0;0;14;6;0;0
2019-10-20 04:30:00;9;12;0;0;0;7;1;0;0
2019-10-20 04:45:00;12;9;0;0;0;13;11;0;0
2019-10-20 05:00:00;11;11;0;0;0;16;6;0;0
2019-10-20 05:15:00;15;8;0;0;0;16;11;0;0
2019-10-20 05:30:00;16;10;0;0;0;28;14;0;0
2019-10-20 05:45:00;18;9;0;0;0;22;14;0;1
2019-10-20 06:00:00;26;18;0;0;0;13;9;0;0
2019-10-20 06:15:00;11;15;1;1;1;17;19;0;0
2019-10-20 06:30:00;12;11;0;0;0;22;7;0;0
2019-10-20 06:45:00;16;12;0;0;0;23;14;0;0
2019-10-20 07:00:00;11;9;0;0;0;10;7;0;0
2019-10-20 07:15:00;16;9;0;0;1;9;9;0;0
2019-10-20 07:30:00;18;12;0;0;0;18;9;0;0
2019-10-20 07:45:00;24;17;0;0;0;20;15;0;1
2019-10-20 08:00:00;20;13;1;0;0;18;14;0;0
2019-10-20 08:15:00;27;17;0;0;1;27;23;0;1
2019-10-20 08:30:00;31;18;1;1;0;23;18;0;1
2019-10-20 08:45:00;34;26;1;3;0;35;29;0;1
2019-10-20 09:00:00;31;23;0;2;1;36;30;0;0
2019-10-20 09:15:00;41;29;0;0;1;53;44;0;0
2019-10-20 09:30:00;42;37;0;1;0;50;54;0;2
2019-10-20 09:45:00;95;46;0;2;0;73;62;0;2
2019-10-20 10:00:00;52;50;2;1;0;52;43;0;0
2019-10-20 10:15:00;69;57;2;1;1;75;50;0;1
2019-10-20 10:30:00;53;45;2;1;0;76;61;4;0
2019-10-20 10:45:00;94;78;1;1;0;83;62;0;0
2019-10-20 11:00:00;68;56;1;1;1;58;50;0;0
2019-10-20 11:15:00;96;74;2;0;0;87;56;0;3
2019-10-20 11:30:00;73;71;1;3;1;76;58;0;5
2019-10-20 11:45:00;77;80;0;2;1;83;96;0;2
2019-10-20 12:00:00;58;59;0;0;2;76;65;0;2
2019-10-20 12:15:00;91;91;1;1;1;87;74;0;0
2019-10-20 12:30:00;60;60;1;0;0;74;62;1;1
2019-10-20 12:45:00;79;93;2;2;1;97;77;0;2
2019-10-20 13:00:00;70;63;0;0;0;90;78;0;0
2019-10-20 13:15:00;89;77;2;1;4;102;92;0;0
2019-10-20 13:30:00;90;82;1;1;2;81;79;0;0
2019-10-20 13:45:00;117;116;1;1;3;96;100;0;3
2019-10-20 14:00:00;88;83;2;0;2;92;76;10;2
2019-10-20 14:15:00;95;102;0;3;2;117;107;0;2
2019-10-20 14:30:00;82;74;0;3;3;102;92;0;2
2019-10-20 14:45:00;116;101;5;0;4;96;96;1;1
2019-10-20 15:00:00;96;90;2;5;1;71;80;8;1
2019-10-20 15:15:00;112;98;2;3;3;93;92;0;3
2019-10-20 15:30:00;85;72;0;2;3;87;72;0;0
2019-10-20 15:45:00;100;83;0;1;1;104;97;3;0
2019-10-20 16:00:00;83;90;1;3;2;83;80;0;1
2019-10-20 16:15:00;102;103;1;1;2;90;89;0;2
2019-10-20 16:30:00;75;78;3;4;0;101;89;0;3
2019-10-20 16:45:00;97;102;2;2;0;99;106;0;3
2019-10-20 17:00:00;96;102;2;5;0;90;100;1;1
2019-10-20 17:15:00;102;114;1;3;1;128;104;0;1
2019-10-20 17:30:00;91;79;1;2;2;91;88;0;0
2019-10-20 17:45:00;79;86;2;0;1;130;118;0;0
2019-10-20 18:00:00;85;71;0;6;5;86;88;0;2
2019-10-20 18:15:00;98;96;3;3;2;110;107;2;1
2019-10-20 18:30:00;81;70;1;2;1;81;81;0;3
2019-10-20 18:45:00;100;93;1;5;3;96;107;0;1
2019-10-20 19:00:00;90;77;1;0;1;87;89;0;0
2019-10-20 19:15:00;72;66;1;1;1;102;95;0;7
2019-10-20 19:30:00;61;57;1;0;0;66;60;0;3
2019-10-20 19:45:00;74;95;1;1;1;80;77;0;1
2019-10-20 20:00:00;56;52;1;1;1;87;75;0;3
2019-10-20 20:15:00;57;59;2;3;0;72;56;0;5
2019-10-20 20:30:00;61;41;0;1;1;55;37;0;4
2019-10-20 20:45:00;75;48;0;2;3;68;52;0;0
2019-10-20 21:00:00;38;41;0;1;2;51;40;0;0
2019-10-20 21:15:00;48;47;0;1;2;62;49;1;0
2019-10-20 21:30:00;28;33;0;0;1;65;39;0;0
2019-10-20 21:45:00;43;48;0;2;1;63;56;0;0
2019-10-20 22:00:00;44;28;0;0;0;35;28;0;1
2019-10-20 22:15:00;34;34;0;0;0;51;33;0;0
2019-10-20 22:30:00;28;23;1;0;0;28;31;0;0
2019-10-20 22:45:00;31;23;1;1;1;26;17;0;0
2019-10-20 23:00:00;27;15;0;0;1;22;13;0;0
2019-10-20 23:15:00;21;8;0;1;0;26;21;0;0
2019-10-20 23:30:00;9;11;0;0;0;9;5;0;0
2019-10-20 23:45:00;18;5;0;0;0;15;10;0;0
