DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DC2);7(DD1);8(DE1);9(DE2);10(DE3);11(DF1);12(DG1)
2020-01-24 00:00:00;16;7;7;10;3;7;16;9;4;1;1;0
2020-01-24 00:15:00;27;12;4;9;13;11;27;10;9;1;0;0
2020-01-24 00:30:00;13;9;8;7;7;9;14;12;6;0;0;0
2020-01-24 00:45:00;11;10;0;2;4;9;12;4;5;0;0;0
2020-01-24 01:00:00;7;3;3;3;3;4;8;3;4;0;0;1
2020-01-24 01:15:00;14;11;1;4;7;4;14;6;4;0;0;0
2020-01-24 01:30:00;11;6;1;1;7;8;11;7;6;0;0;1
2020-01-24 01:45:00;11;4;2;3;3;5;11;4;5;0;0;0
2020-01-24 02:00:00;16;7;2;4;2;5;14;2;4;1;0;0
2020-01-24 02:15:00;12;7;4;5;2;5;13;3;3;0;0;1
2020-01-24 02:30:00;9;4;1;2;3;3;8;1;3;0;0;0
2020-01-24 02:45:00;7;5;0;1;5;7;7;5;3;0;0;0
2020-01-24 03:00:00;12;4;0;0;4;3;13;3;1;0;0;0
2020-01-24 03:15:00;7;4;1;2;1;4;8;2;4;0;0;0
2020-01-24 03:30:00;16;8;0;2;7;8;13;5;2;0;0;0
2020-01-24 03:45:00;11;9;1;0;6;9;12;9;10;3;0;1
2020-01-24 04:00:00;14;8;0;1;5;5;12;3;3;0;0;0
2020-01-24 04:15:00;13;7;1;0;7;10;12;0;0;0;0;0
2020-01-24 04:30:00;23;8;1;0;13;14;20;0;0;0;0;1
2020-01-24 04:45:00;26;13;2;2;21;24;24;0;0;0;0;1
2020-01-24 05:00:00;51;16;3;3;49;49;50;0;0;0;0;1
2020-01-24 05:15:00;69;25;2;2;62;84;62;0;0;0;1;5
2020-01-24 05:30:00;87;17;8;6;72;94;80;0;0;0;0;6
2020-01-24 05:45:00;167;41;6;13;73;76;165;31;20;1;0;3
2020-01-24 06:00:00;183;50;4;8;65;92;179;31;31;3;0;3
2020-01-24 06:15:00;191;53;10;18;69;124;190;92;82;1;0;4
2020-01-24 06:30:00;183;28;14;9;61;146;194;94;109;3;0;12
2020-01-24 06:45:00;190;41;7;10;67;135;201;107;104;4;1;7
2020-01-24 07:00:00;160;38;14;16;74;138;174;108;91;1;0;15
2020-01-24 07:15:00;200;45;12;21;72;192;219;118;106;4;1;19
2020-01-24 07:30:00;182;56;27;21;82;191;230;120;147;2;0;24
2020-01-24 07:45:00;194;60;23;45;118;190;243;106;170;1;0;11
2020-01-24 08:00:00;179;37;15;29;135;174;216;109;151;3;0;6
2020-01-24 08:15:00;179;53;28;25;132;143;210;116;142;1;2;11
2020-01-24 08:30:00;191;42;24;28;120;166;221;112;154;1;1;8
2020-01-24 08:45:00;199;42;24;28;119;147;219;104;140;1;2;5
2020-01-24 09:00:00;161;34;27;31;93;140;173;98;133;3;1;6
2020-01-24 09:15:00;166;34;30;38;108;135;181;97;139;1;1;5
2020-01-24 09:30:00;149;31;27;32;116;142;167;102;131;2;5;3
2020-01-24 09:45:00;182;35;24;38;98;156;214;89;148;5;2;6
2020-01-24 10:00:00;188;29;35;47;88;126;207;94;128;3;1;7
2020-01-24 10:15:00;196;35;31;47;83;127;205;92;126;2;3;5
2020-01-24 10:30:00;203;35;31;51;83;117;221;91;118;1;4;4
2020-01-24 10:45:00;167;37;34;47;100;119;188;95;133;1;1;3
2020-01-24 11:00:00;201;39;36;35;101;131;209;122;130;3;3;3
2020-01-24 11:15:00;209;28;31;55;98;141;220;108;129;1;3;7
2020-01-24 11:30:00;234;35;42;63;73;125;241;102;118;2;1;3
2020-01-24 11:45:00;247;33;36;58;58;101;255;105;128;2;2;2
2020-01-24 12:00:00;251;31;32;66;82;70;269;101;123;0;3;9
2020-01-24 12:15:00;272;29;41;87;63;88;284;101;128;1;4;6
2020-01-24 12:30:00;260;32;34;69;70;88;266;119;152;2;2;10
2020-01-24 12:45:00;268;33;42;82;64;65;286;126;133;0;5;4
2020-01-24 13:00:00;258;32;45;84;71;81;276;128;145;5;3;12
2020-01-24 13:15:00;289;39;32;92;77;104;285;194;165;3;1;6
2020-01-24 13:30:00;258;30;45;94;81;97;241;133;186;2;4;8
2020-01-24 13:45:00;253;30;28;85;59;105;211;128;178;3;1;11
2020-01-24 14:00:00;282;27;34;80;83;97;223;128;156;2;2;6
2020-01-24 14:15:00;300;26;34;78;65;93;223;115;155;2;3;7
2020-01-24 14:30:00;275;19;25;88;92;104;188;120;153;1;4;13
2020-01-24 14:45:00;282;26;30;87;84;67;165;114;156;4;1;11
2020-01-24 15:00:00;278;41;35;79;59;122;187;110;165;3;4;10
2020-01-24 15:15:00;285;31;38;73;77;93;238;106;149;2;4;9
2020-01-24 15:30:00;290;30;27;72;67;93;170;108;162;0;3;13
2020-01-24 15:45:00;232;18;26;83;73;98;183;115;143;2;2;5
2020-01-24 16:00:00;292;22;36;70;74;138;239;120;175;0;1;19
2020-01-24 16:15:00;275;26;41;86;94;90;143;119;143;3;6;15
2020-01-24 16:30:00;268;28;38;82;88;110;258;107;154;0;1;10
2020-01-24 16:45:00;266;29;38;73;98;142;265;124;168;1;3;12
2020-01-24 17:00:00;281;27;46;68;67;95;299;123;150;0;2;10
2020-01-24 17:15:00;253;20;34;72;72;107;234;127;153;3;3;10
2020-01-24 17:30:00;277;21;27;65;62;35;256;97;128;3;2;8
2020-01-24 17:45:00;271;25;27;59;69;102;218;102;123;1;1;10
2020-01-24 18:00:00;249;22;40;73;35;96;227;94;125;0;3;7
2020-01-24 18:15:00;254;31;30;53;61;97;236;100;122;1;2;10
2020-01-24 18:30:00;218;29;30;51;52;90;189;83;98;1;1;7
2020-01-24 18:45:00;201;30;30;64;71;84;175;90;114;3;4;2
2020-01-24 19:00:00;211;27;27;58;48;55;218;86;116;2;1;4
2020-01-24 19:15:00;215;40;25;51;29;73;242;78;90;1;3;6
2020-01-24 19:30:00;180;50;17;42;27;33;202;64;77;1;3;4
2020-01-24 19:45:00;161;29;17;47;44;50;141;53;58;2;1;2
2020-01-24 20:00:00;159;32;14;36;48;49;142;49;75;1;3;5
2020-01-24 20:15:00;161;31;14;36;34;34;164;44;67;1;4;4
2020-01-24 20:30:00;126;32;18;36;37;36;108;54;68;2;2;3
2020-01-24 20:45:00;108;25;16;40;28;54;91;61;60;0;2;5
2020-01-24 21:00:00;120;24;13;39;51;55;97;79;94;0;0;0
2020-01-24 21:15:00;121;31;11;31;39;62;115;65;83;1;3;0
2020-01-24 21:30:00;102;30;15;26;32;35;92;47;47;0;0;1
2020-01-24 21:45:00;138;28;17;46;29;37;125;36;49;0;0;1
2020-01-24 22:00:00;187;34;62;53;33;37;173;71;52;0;0;1
2020-01-24 22:15:00;198;37;36;50;29;46;187;59;54;0;1;2
2020-01-24 22:30:00;124;28;10;45;33;44;105;36;45;0;2;2
2020-01-24 22:45:00;108;26;14;40;18;37;101;40;28;0;0;2
2020-01-24 23:00:00;93;22;5;39;19;24;93;19;28;1;1;0
2020-01-24 23:15:00;71;17;10;31;22;29;66;32;25;0;2;3
2020-01-24 23:30:00;68;22;8;25;15;22;62;17;26;0;2;2
2020-01-24 23:45:00;52;21;11;22;18;23;44;27;28;0;0;0
