DATUM;1(DA1);2(DA2);3(DA3);4(DBR1);5(DBR2);6(DB1);7(DC1);8(DC2)
2020-03-23 00:00:00;0;2;2;1;2;0;1;1
2020-03-23 00:15:00;2;2;3;3;4;0;5;2
2020-03-23 00:30:00;1;2;2;1;2;0;1;2
2020-03-23 00:45:00;2;3;3;0;1;0;1;4
2020-03-23 01:00:00;0;2;2;2;2;0;1;0
2020-03-23 01:15:00;0;1;1;0;0;0;1;1
2020-03-23 01:30:00;1;2;2;0;1;0;0;0
2020-03-23 01:45:00;0;0;0;0;0;0;2;0
2020-03-23 02:00:00;2;0;0;1;0;0;2;2
2020-03-23 02:15:00;1;2;2;1;1;0;0;1
2020-03-23 02:30:00;1;3;3;4;3;0;2;2
2020-03-23 02:45:00;4;2;2;0;1;0;0;2
2020-03-23 03:00:00;2;3;3;2;2;0;1;0
2020-03-23 03:15:00;2;4;4;1;2;0;0;0
2020-03-23 03:30:00;4;4;4;2;2;0;2;0
2020-03-23 03:45:00;2;2;2;1;2;0;0;1
2020-03-23 04:00:00;3;4;5;1;1;0;4;2
2020-03-23 04:15:00;2;4;4;2;3;0;0;2
2020-03-23 04:30:00;4;7;6;4;7;0;3;1
2020-03-23 04:45:00;4;7;7;3;4;0;6;2
2020-03-23 05:00:00;11;2;4;9;14;0;8;7
2020-03-23 05:15:00;23;29;31;11;12;0;6;5
2020-03-23 05:30:00;46;45;49;8;13;0;29;9
2020-03-23 05:45:00;43;33;34;7;6;0;26;10
2020-03-23 06:00:00;31;34;34;6;11;0;20;12
2020-03-23 06:15:00;48;35;36;5;14;0;21;15
2020-03-23 06:30:00;41;36;34;9;14;0;40;19
2020-03-23 06:45:00;
2020-03-23 07:00:00;66;64;64;8;10;6;44;23
2020-03-23 07:15:00;76;74;68;8;12;0;36;22
2020-03-23 07:30:00;68;74;72;17;32;0;53;31
2020-03-23 07:45:00;98;65;61;9;13;0;52;27
2020-03-23 08:00:00;44;51;53;6;7;0;39;26
2020-03-23 08:15:00;41;48;46;9;14;0;49;30
2020-03-23 08:30:00;44;39;39;10;15;0;36;20
2020-03-23 08:45:00;49;49;49;9;13;0;35;28
2020-03-23 09:00:00;32;41;40;12;17;0;35;15
2020-03-23 09:15:00;37;36;36;8;13;0;42;28
2020-03-23 09:30:00;45;35;37;13;23;0;44;24
2020-03-23 09:45:00;34;36;36;16;25;0;39;27
2020-03-23 10:00:00;31;38;37;11;14;0;40;27
2020-03-23 10:15:00;43;49;51;12;23;0;38;27
2020-03-23 10:30:00;35;47;48;14;18;0;38;25
2020-03-23 10:45:00;43;61;57;14;19;0;55;36
2020-03-23 11:00:00;33;44;44;10;19;0;42;21
2020-03-23 11:15:00;34;45;46;14;20;0;38;35
2020-03-23 11:30:00;43;38;36;10;10;0;48;32
