DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DD1);6(DF1);7(DF2);8(DF3)
2020-11-17 00:00:00;2;3;1;1;1;0;0;1
2020-11-17 00:15:00;0;4;5;2;1;3;0;3
2020-11-17 00:30:00;0;3;5;2;2;2;0;2
2020-11-17 00:45:00;0;2;3;3;2;2;0;0
2020-11-17 01:00:00;0;0;1;4;5;1;0;0
2020-11-17 01:15:00;2;1;0;2;2;2;0;0
2020-11-17 01:30:00;1;2;1;0;1;1;0;1
2020-11-17 01:45:00;2;2;1;1;1;0;0;1
2020-11-17 02:00:00;1;0;0;2;0;2;0;0
2020-11-17 02:15:00;0;2;1;1;1;1;0;1
2020-11-17 02:30:00;2;1;0;3;1;0;0;0
2020-11-17 02:45:00;2;1;1;0;2;1;0;0
2020-11-17 03:00:00;0;0;1;2;1;0;0;0
2020-11-17 03:15:00;0;1;1;0;3;0;0;1
2020-11-17 03:30:00;0;1;0;2;1;0;0;0
2020-11-17 03:45:00;1;1;1;0;1;0;0;0
2020-11-17 04:00:00;2;1;0;2;0;1;0;0
2020-11-17 04:15:00;1;3;2;1;0;2;0;3
2020-11-17 04:30:00;4;5;1;2;1;2;0;2
2020-11-17 04:45:00;10;12;10;2;1;6;0;6
2020-11-17 05:00:00;10;26;32;12;7;14;0;1
2020-11-17 05:15:00;22;29;79;8;8;38;0;19
2020-11-17 05:30:00;26;33;60;10;7;32;0;13
2020-11-17 05:45:00;48;31;53;55;19;22;0;19
2020-11-17 06:00:00;34;25;44;43;32;15;0;25
2020-11-17 06:15:00;38;39;60;20;25;23;0;13
2020-11-17 06:30:00;51;44;68;18;23;33;0;32
2020-11-17 06:45:00;43;59;69;16;29;24;0;32
2020-11-17 07:00:00;65;46;57;21;34;18;0;31
2020-11-17 07:15:00;76;72;58;33;76;44;0;37
2020-11-17 07:30:00;103;97;66;38;79;63;0;62
2020-11-17 07:45:00;107;100;77;27;56;70;0;88
2020-11-17 08:00:00;80;68;71;36;70;38;0;63
2020-11-17 08:15:00;61;44;57;24;34;37;0;47
2020-11-17 08:30:00;87;42;50;35;43;25;0;38
2020-11-17 08:45:00;65;33;22;22;32;34;0;54
2020-11-17 09:00:00;43;34;29;18;29;19;0;39
2020-11-17 09:15:00;49;36;16;37;39;25;0;34
2020-11-17 09:30:00;56;34;17;29;49;28;0;46
2020-11-17 09:45:00;47;46;16;31;46;34;0;38
2020-11-17 10:00:00;47;33;26;28;33;30;0;28
2020-11-17 10:15:00;54;46;26;24;34;28;0;33
2020-11-17 10:30:00;53;47;16;30;45;31;0;40
2020-11-17 10:45:00;52;45;28;33;34;34;0;41
2020-11-17 11:00:00;56;37;17;33;22;29;0;38
2020-11-17 11:15:00;53;46;27;24;34;43;0;36
2020-11-17 11:30:00;59;44;23;30;47;32;0;45
2020-11-17 11:45:00;54;52;34;25;37;27;0;39
2020-11-17 12:00:00;59;45;34;31;34;37;0;62
2020-11-17 12:15:00;53;44;25;37;35;36;0;45
2020-11-17 12:30:00;56;44;22;27;45;21;0;45
2020-11-17 12:45:00;63;38;24;40;39;35;0;49
2020-11-17 13:00:00;71;53;43;32;37;36;0;50
2020-11-17 13:15:00;53;48;40;36;40;43;0;56
2020-11-17 13:30:00;57;48;70;38;59;46;0;40
2020-11-17 13:45:00;53;57;61;29;26;39;0;47
2020-11-17 14:00:00;48;58;46;56;50;37;0;60
2020-11-17 14:15:00;64;60;32;75;75;38;0;48
2020-11-17 14:30:00;66;54;22;76;69;28;0;50
2020-11-17 14:45:00;70;60;34;66;70;41;0;60
2020-11-17 15:00:00;61;52;33;55;39;31;0;68
2020-11-17 15:15:00;76;71;36;53;54;41;0;47
2020-11-17 15:30:00;81;72;32;53;51;41;0;40
2020-11-17 15:45:00;85;61;30;50;52;45;0;62
2020-11-17 16:00:00;68;79;31;45;46;48;0;73
2020-11-17 16:15:00;86;82;38;50;44;48;0;70
2020-11-17 16:30:00;63;70;29;50;39;57;0;68
2020-11-17 16:45:00;73;54;30;46;44;42;0;57
2020-11-17 17:00:00;68;43;24;34;42;39;0;71
2020-11-17 17:15:00;62;66;29;52;42;36;0;59
2020-11-17 17:30:00;60;49;35;39;30;42;0;65
2020-11-17 17:45:00;44;37;25;45;33;38;0;43
2020-11-17 18:00:00;45;40;36;37;40;27;0;39
2020-11-17 18:15:00;38;46;17;39;22;44;0;45
2020-11-17 18:30:00;28;23;20;37;22;35;0;34
2020-11-17 18:45:00;33;33;16;29;23;22;0;20
2020-11-17 19:00:00;27;25;17;25;23;17;0;25
2020-11-17 19:15:00;34;17;24;29;23;28;0;24
