DATUM;1(DA1);2(DA2);3(DAL1);4(DB1);5(DB2);6(DC1);7(DC2);8(DCL1);9(DD1);10(DD2);11(DD3)
2020-09-14 00:00:00;3;4;1;2;1;9;8;2;3;7;3
2020-09-14 00:15:00;8;8;3;3;1;10;5;1;0;2;1
2020-09-14 00:30:00;9;5;2;6;4;5;5;2;1;0;0
2020-09-14 00:45:00;10;6;1;2;1;9;3;1;1;3;1
2020-09-14 01:00:00;6;4;1;1;0;11;8;2;1;2;0
2020-09-14 01:15:00;3;1;0;5;3;6;3;0;1;1;0
2020-09-14 01:30:00;3;2;0;1;1;5;4;2;1;0;0
2020-09-14 01:45:00;8;6;0;2;1;4;3;1;0;0;0
2020-09-14 02:00:00;11;10;1;1;1;7;3;1;1;1;0
2020-09-14 02:15:00;7;7;0;2;0;3;3;0;0;1;0
2020-09-14 02:30:00;4;2;0;1;0;3;4;0;2;2;0
2020-09-14 02:45:00;4;2;1;1;1;6;4;1;1;6;3
2020-09-14 03:00:00;3;6;1;0;0;2;5;1;1;2;0
2020-09-14 03:15:00;6;6;2;1;1;3;2;0;1;1;0
2020-09-14 03:30:00;8;4;0;2;3;5;2;0;1;2;1
2020-09-14 03:45:00;1;2;0;2;0;5;2;0;0;0;0
2020-09-14 04:00:00;10;7;0;0;1;7;7;1;2;2;1
2020-09-14 04:15:00;13;9;0;0;0;11;6;0;2;1;0
2020-09-14 04:30:00;15;11;3;4;2;21;13;1;0;0;0
2020-09-14 04:45:00;15;11;0;8;5;46;19;2;4;9;5
2020-09-14 05:00:00;29;19;3;9;0;74;63;0;4;6;2
2020-09-14 05:15:00;39;24;7;19;6;103;94;1;4;13;10
2020-09-14 05:30:00;38;30;14;21;12;106;111;3;7;19;13
2020-09-14 05:45:00;49;44;13;31;15;95;129;9;11;16;10
2020-09-14 06:00:00;55;65;13;28;20;86;91;4;6;16;6
2020-09-14 06:15:00;50;62;15;118;10;99;96;5;8;28;12
