DATUM;1(DA1);2(DA2);3(DAL1);4(DB1);5(DB2);6(DC1);7(DC2);8(DCL1);9(DD1);10(DD2);11(DD3)
2019-09-17 00:00:00;10;8;2;0;1;12;7;1;2;7;2
2019-09-17 00:15:00;8;4;2;5;2;20;4;1;3;3;1
2019-09-17 00:30:00;9;5;0;3;1;7;1;0;1;3;1
2019-09-17 00:45:00;5;3;2;2;1;8;5;1;5;3;0
2019-09-17 01:00:00;5;5;3;4;3;5;2;0;0;3;2
2019-09-17 01:15:00;9;7;0;4;2;10;8;1;1;4;1
2019-09-17 01:30:00;6;4;0;0;0;9;5;1;2;3;0
2019-09-17 01:45:00;5;3;0;3;3;7;3;0;0;1;1
2019-09-17 02:00:00;4;2;0;1;1;4;1;0;1;2;1
2019-09-17 02:15:00;10;8;1;3;1;9;4;1;1;1;2
2019-09-17 02:30:00;1;1;0;1;1;2;2;1;0;1;1
2019-09-17 02:45:00;7;5;0;2;0;7;7;0;1;3;2
2019-09-17 03:00:00;3;2;2;0;0;4;4;2;1;2;0
2019-09-17 03:15:00;5;5;1;3;1;5;3;1;1;2;1
2019-09-17 03:30:00;12;12;1;0;0;7;5;0;0;3;1
2019-09-17 03:45:00;9;3;0;4;3;15;4;0;0;0;0
2019-09-17 04:00:00;8;9;1;2;1;8;6;1;3;4;1
2019-09-17 04:15:00;10;7;2;2;2;17;6;0;1;5;1
2019-09-17 04:30:00;13;16;1;7;1;19;5;0;2;1;1
2019-09-17 04:45:00;24;18;3;9;7;45;24;4;5;11;7
2019-09-17 05:00:00;28;22;3;11;9;83;71;3;4;4;1
2019-09-17 05:15:00;34;29;9;13;10;135;129;3;5;21;14
2019-09-17 05:30:00;55;56;17;29;11;124;139;7;7;24;12
2019-09-17 05:45:00;101;104;21;31;20;110;139;7;10;22;10
2019-09-17 06:00:00;113;141;27;35;21;119;140;4;9;33;11
2019-09-17 06:15:00;82;90;22;44;23;132;161;4;13;25;13
2019-09-17 06:30:00;73;76;24;55;23;131;159;17;14;45;14
2019-09-17 06:45:00;68;90;22;48;17;144;194;15;21;31;13
2019-09-17 07:00:00;62;68;20;71;31;162;171;26;26;55;22
2019-09-17 07:15:00;64;78;21;105;23;118;139;34;25;42;14
2019-09-17 07:30:00;74;100;23;85;26;125;146;34;29;44;16
2019-09-17 07:45:00;87;103;24;89;29;119;140;30;42;58;9
2019-09-17 08:00:00;77;92;25;80;24;95;124;30;33;42;15
2019-09-17 08:15:00;73;76;16;78;15;124;159;25;33;65;24
2019-09-17 08:30:00;80;88;16;51;17;111;148;23;33;37;17
2019-09-17 08:45:00;76;91;21;74;16;98;127;25;33;47;25
2019-09-17 09:00:00;60;71;15;50;18;83;118;12;22;36;12
2019-09-17 09:15:00;77;76;14;73;21;94;114;24;26;49;22
2019-09-17 09:30:00;67;92;25;67;20;81;111;27;25;39;13
2019-09-17 09:45:00;80;92;26;56;20;81;96;11;38;52;13
2019-09-17 10:00:00;72;90;29;55;18;77;94;17;28;46;22
2019-09-17 10:15:00;90;93;35;60;18;75;82;25;33;62;30
2019-09-17 10:30:00;69;74;17;51;16;67;92;16;22;52;15
2019-09-17 10:45:00;72;66;28;58;17;62;94;15;28;58;21
2019-09-17 11:00:00;81;99;28;49;17;61;74;29;34;58;15
2019-09-17 11:15:00;76;104;36;54;9;65;97;24;27;57;16
2019-09-17 11:30:00;73;82;26;47;20;49;68;23;26;65;34
2019-09-17 11:45:00;79;107;36;40;15;70;67;13;29;67;37
2019-09-17 12:00:00;88;110;28;38;17;66;74;17;31;70;26
2019-09-17 12:15:00;98;105;36;37;15;82;74;18;31;61;24
2019-09-17 12:30:00;76;108;32;48;15;78;104;21;23;55;17
2019-09-17 12:45:00;94;105;27;52;14;78;78;21;20;51;18
2019-09-17 13:00:00;81;114;24;26;42;87;97;18;35;57;16
2019-09-17 13:15:00;101;134;30;40;31;132;132;26;42;79;30
2019-09-17 13:30:00;84;110;24;49;17;128;149;14;36;66;29
2019-09-17 13:45:00;96;124;19;49;19;96;101;27;24;59;27
2019-09-17 14:00:00;124;155;33;52;18;88;89;11;37;71;18
2019-09-17 14:15:00;144;183;28;59;21;84;83;31;27;57;21
2019-09-17 14:30:00;141;161;26;52;21;58;71;19;21;59;13
2019-09-17 14:45:00;157;193;33;65;17;69;63;15;44;70;16
2019-09-17 15:00:00;157;192;35;55;23;82;76;24;36;74;20
2019-09-17 15:15:00;167;197;34;51;16;72;68;21;40;68;25
2019-09-17 15:30:00;164;188;33;54;20;82;79;39;39;68;14
2019-09-17 15:45:00;166;201;36;57;22;80;87;16;45;66;15
2019-09-17 16:00:00;155;191;40;61;27;76;89;29;29;89;26
2019-09-17 16:15:00;172;191;35;57;24;90;93;18;40;87;24
2019-09-17 16:30:00;151;183;22;59;30;65;72;37;39;93;20
2019-09-17 16:45:00;152;201;29;73;29;90;89;32;47;71;20
2019-09-17 17:00:00;170;194;45;70;27;91;85;30;45;83;27
2019-09-17 17:15:00;154;183;38;58;15;94;93;33;42;94;26
2019-09-17 17:30:00;156;193;26;63;30;99;78;39;44;76;17
2019-09-17 17:45:00;155;181;42;54;19;77;79;33;39;88;19
2019-09-17 18:00:00;134;153;28;66;19;74;78;24;26;69;25
2019-09-17 18:15:00;136;154;40;53;14;90;69;35;32;68;18
2019-09-17 18:30:00;104;114;22;47;13;70;62;15;31;56;11
2019-09-17 18:45:00;105;101;23;45;18;68;73;27;37;50;18
2019-09-17 19:00:00;93;110;24;58;11;67;54;12;37;61;21
2019-09-17 19:15:00;90;91;33;35;9;60;62;19;29;40;15
