DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DD1);9(DD2)
2020-10-29 00:00:00;3;2;3;3;1;3;1;0;4
2020-10-29 00:15:00;1;0;1;6;2;6;1;0;0
2020-10-29 00:30:00;2;2;0;4;2;5;2;0;1
2020-10-29 00:45:00;4;0;1;4;2;3;3;0;1
2020-10-29 01:00:00;3;0;0;4;1;2;4;0;2
2020-10-29 01:15:00;1;0;1;3;2;3;4;0;3
2020-10-29 01:30:00;2;0;1;3;0;0;2;0;3
2020-10-29 01:45:00;1;0;0;3;0;1;1;0;1
2020-10-29 02:00:00;2;1;3;3;1;2;1;0;1
2020-10-29 02:15:00;3;1;0;0;1;1;4;0;1
2020-10-29 02:30:00;1;2;0;1;1;3;0;0;3
2020-10-29 02:45:00;2;0;0;1;2;5;0;0;3
2020-10-29 03:00:00;3;1;0;1;0;1;1;0;6
2020-10-29 03:15:00;3;1;0;1;0;2;0;0;5
2020-10-29 03:30:00;2;0;0;1;0;2;0;0;4
2020-10-29 03:45:00;1;2;3;1;2;2;0;0;2
2020-10-29 04:00:00;4;3;1;3;1;3;6;0;2
2020-10-29 04:15:00;5;2;2;4;3;3;1;0;4
2020-10-29 04:30:00;2;3;0;6;1;5;4;0;4
2020-10-29 04:45:00;15;4;4;17;2;3;4;0;3
2020-10-29 05:00:00;15;7;3;16;8;18;17;0;8
2020-10-29 05:15:00;30;12;5;22;15;22;30;0;10
2020-10-29 05:30:00;35;37;5;23;18;35;41;0;12
2020-10-29 05:45:00;50;24;10;52;49;39;43;0;10
2020-10-29 06:00:00;33;22;8;59;60;43;48;0;10
2020-10-29 06:15:00;34;35;12;44;50;59;74;0;18
2020-10-29 06:30:00;51;35;8;43;43;90;110;0;15
2020-10-29 06:45:00;53;45;9;45;37;92;100;0;26
2020-10-29 07:00:00;50;22;3;36;32;126;133;0;22
2020-10-29 07:15:00;66;48;15;29;24;198;155;0;23
2020-10-29 07:30:00;74;44;18;28;27;152;124;0;27
2020-10-29 07:45:00;69;60;19;29;37;121;106;0;21
2020-10-29 08:00:00;48;45;25;31;26;103;103;0;19
2020-10-29 08:15:00;47;40;20;46;30;77;79;0;24
2020-10-29 08:30:00;65;42;28;38;33;75;92;0;15
2020-10-29 08:45:00;46;36;14;35;30;79;73;0;20
2020-10-29 09:00:00;44;23;16;36;33;47;63;0;11
2020-10-29 09:15:00;53;42;20;36;31;46;68;0;26
2020-10-29 09:30:00;73;36;17;46;27;63;78;0;28
2020-10-29 09:45:00;76;37;18;35;37;68;69;0;19
2020-10-29 10:00:00;62;39;22;39;37;48;63;0;21
2020-10-29 10:15:00;63;28;18;38;42;43;60;0;14
2020-10-29 10:30:00;63;45;27;47;45;64;69;0;27
2020-10-29 10:45:00;65;40;17;46;45;59;67;0;19
2020-10-29 11:00:00;62;46;20;62;48;56;62;0;29
2020-10-29 11:15:00;66;49;17;47;52;55;66;0;20
2020-10-29 11:30:00;66;51;10;40;43;50;56;0;15
2020-10-29 11:45:00;75;39;20;48;32;59;59;0;16
2020-10-29 12:00:00;69;45;15;40;35;53;67;0;17
2020-10-29 12:15:00;78;59;18;37;43;49;65;0;17
2020-10-29 12:30:00;82;62;22;52;37;43;65;0;14
