DATUM;1(DA1);2(DA2);3(DC1);4(DC2);5(TA1A);6(TA2a);7(TA1FBA);8(TA2FBA);9(TA1C);10(TA2C);11(TA1FBC);12(TA2FBC)
2020-06-28 20:45:00;54;40;42;45;0;0;0;0;0;0;0;0
2020-06-28 21:00:00;42;35;48;63;0;0;0;0;0;3;0;0
2020-06-28 21:15:00;37;21;42;41;0;0;0;0;0;0;0;0
2020-06-28 21:30:00;40;29;48;43;0;0;0;0;0;0;0;0
2020-06-28 21:45:00;31;9;31;31;0;0;0;0;0;0;0;0
2020-06-28 22:00:00;35;20;35;37;0;0;0;0;0;0;0;0
2020-06-28 22:15:00;35;19;22;25;0;0;0;0;0;0;0;0
2020-06-28 22:30:00;26;14;22;30;0;0;0;0;0;0;0;0
2020-06-28 22:45:00;25;20;23;25;0;0;0;0;0;0;0;0
2020-06-28 23:00:00;12;14;15;16;0;0;0;0;0;0;0;0
2020-06-28 23:15:00;21;14;9;15;0;0;0;0;0;0;0;0
2020-06-28 23:30:00;12;12;12;18;0;0;0;0;0;0;0;0
2020-06-28 23:45:00;14;9;8;15;0;0;0;0;0;0;0;0
