DATUM;1(DA1);2(DA2);3(DA3);4(DA4);5(DB1);6(DB2);7(DB3);8(DC1);9(DC2);10(DC3);11(DD1);12(DD2);13(DFR)
2019-10-18 19:45:00;2;28;9;10;11;12;12;26;0;0;0;0;0
2019-10-18 20:00:00;1;42;11;12;13;12;13;35;0;0;0;0;0
2019-10-18 20:15:00;1;20;16;16;8;16;7;23;0;0;0;0;0
2019-10-18 20:30:00;0;27;20;21;7;6;5;37;0;0;0;0;0
2019-10-18 20:45:00;1;24;32;32;9;6;10;51;0;0;0;0;0
2019-10-18 21:00:00;4;36;51;53;14;9;12;51;0;0;0;0;0
2019-10-18 21:15:00;4;54;90;88;10;5;11;58;0;0;0;0;0
2019-10-18 21:30:00;5;53;76;74;17;20;17;22;0;0;0;0;0
2019-10-18 21:45:00;4;39;36;36;35;70;36;13;0;0;0;0;0
2019-10-18 22:00:00;5;64;24;23;34;101;37;26;0;0;0;0;0
2019-10-18 22:15:00;0;22;11;10;15;39;14;28;0;0;0;0;0
2019-10-18 22:30:00;1;19;8;7;12;21;14;12;0;0;0;0;0
2019-10-18 22:45:00;0;20;7;7;10;9;8;12;0;0;0;0;0
2019-10-18 23:00:00;1;14;4;5;9;5;9;7;0;0;0;0;0
2019-10-18 23:15:00;0;21;8;8;7;10;5;10;0;0;0;0;0
2019-10-18 23:30:00;1;11;7;7;7;5;7;6;0;0;0;0;0
2019-10-18 23:45:00;2;11;0;1;2;7;2;9;0;0;0;0;0
