DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DC2);7(DD1);8(TAA);9(TAC);10(TAFBA);11(TAFBB);12(TAFBC);13(TAFBD)
2020-08-20 00:00:00;6;0;0;1;9;0;0;0;0;0;0;0;0
2020-08-20 00:15:00;8;0;1;1;16;0;0;0;0;0;0;0;0
2020-08-20 00:30:00;6;1;0;2;19;0;0;0;0;0;0;0;0
2020-08-20 00:45:00;4;0;0;0;9;0;0;0;0;0;0;0;0
2020-08-20 01:00:00;4;1;0;0;14;0;0;0;0;0;0;0;0
2020-08-20 01:15:00;9;0;0;0;9;1;0;0;0;0;0;0;0
2020-08-20 01:30:00;7;0;0;0;4;0;0;0;0;0;0;0;0
2020-08-20 01:45:00;12;0;0;0;7;0;0;0;0;0;0;0;0
2020-08-20 02:00:00;4;0;0;0;6;0;0;0;0;0;0;0;0
2020-08-20 02:15:00;6;1;0;0;7;0;0;0;0;0;0;0;0
2020-08-20 02:30:00;6;0;0;0;8;0;0;0;0;0;0;0;0
2020-08-20 02:45:00;3;1;0;0;7;0;0;0;0;0;0;0;0
2020-08-20 03:00:00;9;0;0;2;9;0;0;0;0;0;0;0;0
2020-08-20 03:15:00;6;1;1;1;6;0;0;0;0;0;0;0;0
2020-08-20 03:30:00;5;0;0;0;5;0;0;0;0;0;0;0;0
2020-08-20 03:45:00;6;0;0;0;5;0;0;0;0;0;0;0;0
2020-08-20 04:00:00;4;0;1;1;8;0;0;0;0;0;0;0;0
2020-08-20 04:15:00;9;0;0;1;7;0;0;0;0;0;0;0;0
2020-08-20 04:30:00;11;0;0;0;9;0;0;0;0;0;0;0;0
2020-08-20 04:45:00;10;1;1;1;9;0;0;0;0;0;0;0;0
2020-08-20 05:00:00;19;0;0;0;12;0;0;0;0;0;0;0;0
2020-08-20 05:15:00;27;0;0;2;30;0;0;0;0;0;0;0;0
2020-08-20 05:30:00;60;1;0;4;35;0;0;0;0;0;0;0;0
2020-08-20 05:45:00;55;1;1;1;45;0;0;0;0;0;0;0;0
2020-08-20 06:00:00;59;2;1;1;57;1;0;0;0;0;0;0;0
2020-08-20 06:15:00;78;1;4;6;75;2;0;0;0;0;0;0;0
2020-08-20 06:30:00;98;5;2;5;97;2;0;0;0;0;0;0;0
2020-08-20 06:45:00;92;2;6;1;92;2;0;0;6;0;0;0;0
2020-08-20 07:00:00;90;3;4;6;75;1;0;0;11;0;0;0;0
2020-08-20 07:15:00;47;1;1;2;27;0;0;0;1;0;0;0;0
2020-08-20 07:30:00;
2020-08-20 07:45:00;
2020-08-20 08:00:00;
2020-08-20 08:15:00;
2020-08-20 08:30:00;
2020-08-20 08:45:00;
2020-08-20 09:00:00;
2020-08-20 09:15:00;
2020-08-20 09:30:00;
2020-08-20 09:45:00;
2020-08-20 10:00:00;
2020-08-20 10:15:00;
2020-08-20 10:30:00;
2020-08-20 10:45:00;
2020-08-20 11:00:00;
2020-08-20 11:15:00;
2020-08-20 11:30:00;
2020-08-20 11:45:00;
2020-08-20 12:00:00;
2020-08-20 12:15:00;
2020-08-20 12:30:00;
2020-08-20 12:45:00;
2020-08-20 13:00:00;
2020-08-20 13:15:00;
2020-08-20 13:30:00;
2020-08-20 13:45:00;
2020-08-20 14:00:00;
2020-08-20 14:15:00;
2020-08-20 14:30:00;93;2;1;5;106;7;9;0;7;0;0;0;0
2020-08-20 14:45:00;132;4;8;5;124;9;7;0;0;0;0;0;0
2020-08-20 15:00:00;129;1;6;11;145;5;7;0;9;0;0;0;0
2020-08-20 15:15:00;110;3;6;6;147;9;7;2;5;0;0;0;0
2020-08-20 15:30:00;133;7;4;8;118;3;5;15;15;0;0;0;0
