DATUM;1(DA1);2(DA2);3(DA3);4(DC4);5(DC1);6(DC2);7(DD1);8(DD2);9(DE1);10(DE2);11(DF1);12(DH1);13(DB1)
2020-08-02 00:00:00;14;9;1;0;7;11;9;1;11;6;0;0;0
2020-08-02 00:15:00;18;13;0;0;18;26;19;5;9;5;0;0;1
2020-08-02 00:30:00;9;9;1;2;16;13;13;6;5;3;2;0;0
2020-08-02 00:45:00;6;5;0;1;13;16;13;5;7;2;0;1;0
2020-08-02 01:00:00;10;11;0;0;13;15;12;6;9;3;0;0;0
2020-08-02 01:15:00;4;6;0;0;10;14;8;9;5;3;0;0;0
2020-08-02 01:30:00;5;4;0;0;7;14;7;6;7;1;1;0;0
2020-08-02 01:45:00;11;11;2;1;11;13;6;4;10;3;0;0;0
2020-08-02 02:00:00;4;8;1;1;9;8;10;5;4;2;0;0;0
2020-08-02 02:15:00;1;5;1;1;6;7;5;6;3;0;2;0;0
2020-08-02 02:30:00;2;3;0;2;2;3;6;4;3;1;0;0;0
2020-08-02 02:45:00;1;3;0;0;4;9;2;1;6;2;1;0;0
2020-08-02 03:00:00;6;3;1;0;5;6;5;3;3;1;0;0;0
2020-08-02 03:15:00;3;1;0;0;3;4;3;3;4;1;1;0;0
2020-08-02 03:30:00;2;5;0;0;2;5;0;1;3;1;0;0;0
2020-08-02 03:45:00;3;5;0;1;6;8;2;4;3;0;0;0;0
2020-08-02 04:00:00;2;1;0;0;2;2;5;5;1;1;0;0;0
2020-08-02 04:15:00;2;2;0;0;8;6;3;0;1;2;0;0;0
2020-08-02 04:30:00;5;4;0;0;5;4;2;0;0;0;0;0;0
2020-08-02 04:45:00;1;3;0;0;2;0;1;2;2;1;1;0;0
2020-08-02 05:00:00;1;2;0;0;3;3;2;2;1;3;0;0;0
2020-08-02 05:15:00;1;1;0;0;7;5;5;3;1;2;0;0;0
2020-08-02 05:30:00;1;1;0;0;7;5;11;9;6;4;2;0;0
2020-08-02 05:45:00;2;3;0;0;8;5;8;3;7;3;3;1;0
2020-08-02 06:00:00;4;3;2;0;4;4;7;1;1;1;5;0;0
2020-08-02 06:15:00;3;4;0;0;7;3;10;4;8;1;0;0;1
2020-08-02 06:30:00;4;7;0;0;5;5;7;4;6;0;0;0;0
2020-08-02 06:45:00;2;2;0;0;3;4;6;5;4;3;0;2;0
2020-08-02 07:00:00;6;2;0;0;10;6;8;3;2;0;0;1;1
2020-08-02 07:15:00;3;2;0;0;11;8;7;1;5;6;1;0;0
2020-08-02 07:30:00;4;1;1;0;7;8;9;3;3;0;0;0;0
2020-08-02 07:45:00;3;3;0;0;8;7;6;4;13;5;0;2;0
2020-08-02 08:00:00;9;2;0;0;14;15;16;8;4;2;0;1;0
2020-08-02 08:15:00;3;4;0;1;9;7;13;4;2;0;1;0;0
2020-08-02 08:30:00;9;5;0;0;10;12;16;3;11;3;0;0;2
2020-08-02 08:45:00;12;5;0;0;16;13;23;7;13;5;4;0;0
2020-08-02 09:00:00;10;8;1;0;16;14;14;7;12;4;2;0;0
2020-08-02 09:15:00;11;4;0;0;20;18;20;3;11;7;1;0;0
2020-08-02 09:30:00;10;9;0;0;22;20;29;8;16;2;2;0;2
2020-08-02 09:45:00;12;5;0;0;22;17;24;14;25;7;3;0;0
2020-08-02 10:00:00;8;4;1;0;30;23;28;10;9;3;2;0;0
2020-08-02 10:15:00;9;5;1;2;19;14;21;4;19;8;2;1;0
2020-08-02 10:30:00;18;9;1;1;21;27;24;13;23;7;4;0;0
2020-08-02 10:45:00;20;12;2;0;27;30;24;9;24;7;5;0;0
2020-08-02 11:00:00;10;11;0;1;32;25;25;11;22;5;0;1;0
2020-08-02 11:15:00;11;13;2;3;34;30;33;10;17;10;4;3;0
2020-08-02 11:30:00;8;7;0;2;28;28;22;14;26;3;4;1;1
2020-08-02 11:45:00;13;6;0;2;36;35;35;13;13;4;3;4;0
2020-08-02 12:00:00;14;12;0;1;34;34;26;14;17;6;3;1;1
2020-08-02 12:15:00;18;20;0;1;35;24;32;25;25;7;3;0;3
2020-08-02 12:30:00;19;12;1;4;30;29;36;11;22;8;0;0;2
2020-08-02 12:45:00;26;12;0;2;28;26;32;13;33;8;2;0;0
2020-08-02 13:00:00;20;15;3;3;37;31;48;23;24;12;2;1;2
2020-08-02 13:15:00;22;6;0;0;24;29;41;17;29;11;2;0;0
2020-08-02 13:30:00;15;14;2;1;27;27;33;16;26;12;1;1;1
2020-08-02 13:45:00;10;4;0;1;26;31;34;10;26;5;4;0;0
2020-08-02 14:00:00;17;16;0;4;36;44;34;12;27;4;2;1;1
2020-08-02 14:15:00;12;14;1;1;38;38;33;15;29;7;9;3;0
2020-08-02 14:30:00;17;10;0;0;23;21;18;11;29;12;7;0;1
2020-08-02 14:45:00;21;7;1;1;26;29;38;7;30;10;5;1;0
2020-08-02 15:00:00;16;14;0;0;22;28;29;9;31;6;8;1;0
2020-08-02 15:15:00;21;6;1;2;29;33;34;18;30;11;2;0;1
2020-08-02 15:30:00;13;9;1;0;30;31;38;10;28;10;2;0;0
2020-08-02 15:45:00;18;11;1;1;34;36;34;12;25;8;1;4;0
2020-08-02 16:00:00;15;12;2;1;28;34;38;15;19;8;6;1;0
2020-08-02 16:15:00;16;13;0;1;30;27;35;9;26;7;3;1;0
2020-08-02 16:30:00;21;11;2;2;31;33;36;11;22;8;5;3;1
2020-08-02 16:45:00;16;8;1;3;36;28;31;14;25;8;3;0;0
2020-08-02 17:00:00;15;24;5;2;39;32;32;20;29;8;5;1;1
2020-08-02 17:15:00;16;10;0;1;23;23;39;20;26;8;3;0;0
2020-08-02 17:30:00;22;14;1;1;28;30;41;16;32;8;1;1;1
2020-08-02 17:45:00;18;10;0;1;34;38;48;20;35;12;3;8;0
2020-08-02 18:00:00;22;13;0;2;51;33;29;12;24;14;5;2;1
2020-08-02 18:15:00;14;10;2;0;26;27;36;14;34;12;0;1;1
2020-08-02 18:30:00;28;13;1;2;29;32;44;16;39;14;2;2;1
2020-08-02 18:45:00;20;15;0;1;30;37;45;16;42;19;1;3;0
2020-08-02 19:00:00;25;15;0;0;26;21;29;15;23;11;2;2;0
2020-08-02 19:15:00;11;9;0;1;33;25;38;23;37;17;4;2;1
2020-08-02 19:30:00;19;9;0;2;34;32;39;20;20;11;3;0;1
2020-08-02 19:45:00;13;13;0;1;36;35;30;19;20;9;1;2;0
2020-08-02 20:00:00;19;16;1;0;20;28;29;12;20;8;4;2;0
2020-08-02 20:15:00;15;11;0;3;24;23;34;13;30;11;3;0;0
2020-08-02 20:30:00;18;15;0;2;25;22;31;6;19;13;6;1;0
