DATUM;1(DA1);2(DA2);3(DA3);4(DA4);5(DB1);6(DB2);7(DB3);8(DC1);9(DC2);10(DC3);11(DC4);12(DD1);13(DD2);14(DD3);15(DD4);16(TAFBA);53(TAFBA2);54(TAFBB2);55(TAFBC);56(TAFBD);57(TAFBE)
2019-08-12 13:45:00;32;94;61;20;44;39;19;9;60;55;26;28;53;36;22;19;0;4;8;28;0
2019-08-12 14:00:00;31;87;40;16;39;32;12;8;65;60;22;26;42;27;27;0;0;0;0;0;0
2019-08-12 14:15:00;34;120;78;15;31;47;20;17;64;69;26;36;60;35;60;1;0;0;0;0;0
2019-08-12 14:30:00;30;110;75;17;39;34;16;7;66;72;16;37;59;38;35;0;0;0;0;0;0
2019-08-12 14:45:00;24;126;62;20;41;24;19;13;67;54;12;25;52;39;33;7;0;0;0;0;0
2019-08-12 15:00:00;20;101;67;16;25;32;22;10;61;69;18;34;72;26;38;0;0;0;0;0;0
2019-08-12 15:15:00;41;106;78;24;38;38;14;14;72;85;25;36;82;33;46;1;0;0;0;0;0
2019-08-12 15:30:00;34;92;60;27;28;44;23;15;74;69;27;27;93;30;39;1;0;0;0;0;0
2019-08-12 15:45:00;36;103;68;21;41;38;17;18;105;96;29;30;83;47;48;0;0;5;0;0;0
2019-08-12 16:00:00;23;118;79;23;43;29;17;18;97;85;19;47;89;50;50;0;6;0;0;0;3
2019-08-12 16:15:00;44;107;80;27;44;34;14;13;81;71;22;30;83;48;50;0;1;0;0;0;0
2019-08-12 16:30:00;42;112;66;32;31;41;17;20;65;84;19;45;86;54;72;0;0;0;0;0;0
2019-08-12 16:45:00;32;114;71;35;35;59;18;22;89;102;22;55;94;54;34;7;0;0;0;0;0
2019-08-12 17:00:00;48;112;84;39;68;46;23;21;72;80;22;32;81;55;67;6;0;46;0;0;0
2019-08-12 17:15:00;36;109;96;25;41;36;12;24;76;83;16;31;76;40;44;0;0;0;0;0;0
2019-08-12 17:30:00;36;92;86;30;35;42;23;20;86;88;21;27;79;46;46;0;0;3;0;0;0
2019-08-12 17:45:00;32;105;60;25;34;42;15;14;107;74;30;29;96;33;71;0;0;0;0;0;0
2019-08-12 18:00:00;23;92;70;21;37;40;21;12;86;79;21;22;90;42;43;0;0;0;0;0;0
2019-08-12 18:15:00;25;73;60;15;35;37;16;17;61;62;20;19;55;33;25;0;0;0;0;0;0
2019-08-12 18:30:00;21;92;60;33;38;30;14;12;73;58;21;18;54;36;33;1;0;4;0;2;0
2019-08-12 18:45:00;24;61;48;22;33;42;12;18;65;69;20;22;43;31;23;1;0;0;0;0;0
2019-08-12 19:00:00;13;69;48;19;32;32;18;14;76;76;17;20;38;21;30;0;0;6;0;0;0
2019-08-12 19:15:00;17;66;40;12;25;30;6;12;57;53;12;17;64;28;24;0;0;0;0;0;0
2019-08-12 19:30:00;18;53;27;14;14;26;15;17;57;65;12;12;31;21;16;0;0;0;0;5;0
2019-08-12 19:45:00;11;59;30;7;19;26;12;16;74;60;13;10;31;18;19;15;0;0;0;0;0
2019-08-12 20:00:00;13;51;32;10;16;15;8;18;80;75;9;16;27;19;16;0;0;0;0;0;0
2019-08-12 20:15:00;13;40;24;14;7;22;9;13;45;44;16;6;15;14;5;0;0;0;0;0;0
2019-08-12 20:30:00;3;32;19;6;8;21;5;3;30;31;7;5;9;10;4;0;0;0;0;0;0
2019-08-12 20:45:00;8;29;14;13;15;16;11;8;29;34;6;3;15;6;4;0;0;0;0;0;0
2019-08-12 21:00:00;13;18;9;3;6;10;7;9;18;12;3;1;10;7;8;0;0;0;0;0;0
2019-08-12 21:15:00;14;20;15;6;10;9;4;2;22;23;6;2;7;2;9;0;0;0;0;0;0
2019-08-12 21:30:00;5;25;20;6;9;8;2;5;27;28;4;1;6;9;4;0;0;0;0;0;0
2019-08-12 21:45:00;6;16;11;8;7;13;7;1;23;31;2;7;9;6;4;0;0;0;0;0;0
2019-08-12 22:00:00;5;21;15;3;11;26;5;4;29;34;6;3;5;6;8;0;2;0;0;0;0
2019-08-12 22:15:00;4;35;11;3;8;20;6;2;18;20;3;3;9;4;2;0;0;0;0;0;0
2019-08-12 22:30:00;6;17;8;7;7;14;1;2;26;28;3;2;6;4;5;0;0;0;0;0;0
2019-08-12 22:45:00;5;17;10;4;8;11;3;3;14;18;4;1;4;4;0;0;0;0;0;0;0
2019-08-12 23:00:00;2;10;7;7;4;4;2;0;8;11;2;6;12;8;2;0;0;0;0;1;0
2019-08-12 23:15:00;2;8;4;4;2;6;2;4;2;17;1;1;4;6;0;0;0;0;0;0;0
2019-08-12 23:30:00;3;11;6;2;5;8;1;1;6;4;2;0;2;2;3;0;0;0;0;0;0
2019-08-12 23:45:00;3;8;3;1;5;4;3;1;9;5;0;1;0;3;4;0;0;0;0;0;0
