DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DC2);7(DD1);8(DD2);9(TAFGB);10(TAFBB)
2020-02-17 00:00:00;2;3;5;0;0;0;0;1;0;0
2020-02-17 00:15:00;2;2;3;0;0;0;1;0;0;0
2020-02-17 00:30:00;3;4;1;1;0;0;1;1;0;0
2020-02-17 00:45:00;4;5;2;2;0;0;0;2;0;0
2020-02-17 01:00:00;1;0;2;0;0;0;0;0;0;0
2020-02-17 01:15:00;8;9;3;1;0;0;1;0;0;0
2020-02-17 01:30:00;2;2;2;0;0;0;0;1;0;0
2020-02-17 01:45:00;2;2;2;1;0;0;0;0;0;0
2020-02-17 02:00:00;2;2;0;0;0;0;0;0;0;0
2020-02-17 02:15:00;1;3;2;1;0;0;0;0;0;0
2020-02-17 02:30:00;4;4;2;0;0;0;0;0;0;0
2020-02-17 02:45:00;3;2;0;0;0;0;0;0;0;0
2020-02-17 03:00:00;1;3;2;1;0;0;0;0;0;0
2020-02-17 03:15:00;2;3;1;0;0;0;0;0;0;0
2020-02-17 03:30:00;2;1;3;0;0;0;1;0;0;0
2020-02-17 03:45:00;5;6;5;3;0;0;0;4;0;0
2020-02-17 04:00:00;5;2;6;0;0;1;2;0;0;0
2020-02-17 04:15:00;14;9;4;2;0;0;0;0;0;0
2020-02-17 04:30:00;11;6;6;1;0;1;0;1;0;0
2020-02-17 04:45:00;40;8;25;1;0;0;0;1;0;0
2020-02-17 05:00:00;57;10;51;1;1;3;2;1;0;0
2020-02-17 05:15:00;127;14;139;5;0;7;3;7;0;0
2020-02-17 05:30:00;181;14;150;12;5;10;4;10;0;0
2020-02-17 05:45:00;104;17;80;1;3;4;7;7;0;0
2020-02-17 06:00:00;61;11;79;5;1;6;3;11;0;0
2020-02-17 06:15:00;74;30;112;3;1;3;6;5;0;0
2020-02-17 06:30:00;75;38;119;0;0;2;8;9;0;0
2020-02-17 06:45:00;83;38;103;6;2;3;5;12;0;0
2020-02-17 07:00:00;82;31;93;4;1;3;8;2;1;2
2020-02-17 07:15:00;60;29;104;4;4;1;6;8;1;5
2020-02-17 07:30:00;98;127;138;8;5;10;14;5;1;2
2020-02-17 07:45:00;68;62;168;8;8;6;11;10;5;17
2020-02-17 08:00:00;86;63;140;7;4;9;9;15;6;9
2020-02-17 08:15:00;63;42;103;6;8;3;15;7;6;11
2020-02-17 08:30:00;59;43;96;5;5;5;13;10;0;0
2020-02-17 08:45:00;55;55;91;8;6;6;18;10;0;1
2020-02-17 09:00:00;44;45;54;5;6;3;17;5;2;0
2020-02-17 09:15:00;41;45;54;7;3;2;14;6;1;1
2020-02-17 09:30:00;30;55;56;3;8;5;15;11;2;4
2020-02-17 09:45:00;46;54;64;4;5;6;8;11;0;0
2020-02-17 10:00:00;30;57;66;5;8;4;17;19;0;0
2020-02-17 10:15:00;33;48;75;4;5;2;16;13;1;1
2020-02-17 10:30:00;36;59;73;4;4;3;16;8;1;0
2020-02-17 10:45:00;32;47;53;4;8;2;11;11;1;0
2020-02-17 11:00:00;31;57;78;6;3;4;15;11;9;8
2020-02-17 11:15:00;28;50;71;3;6;2;16;10;0;0
2020-02-17 11:30:00;32;59;62;6;12;3;24;10;1;0
2020-02-17 11:45:00;39;50;70;2;9;3;25;13;7;0
2020-02-17 12:00:00;40;51;71;5;9;4;29;20;2;14
2020-02-17 12:15:00;38;62;107;7;17;5;14;17;3;0
2020-02-17 12:30:00;49;48;79;6;11;3;26;15;2;0
2020-02-17 12:45:00;52;50;87;6;9;10;25;16;0;0
2020-02-17 13:00:00;70;56;93;9;7;3;19;12;0;0
2020-02-17 13:15:00;87;43;108;14;10;5;12;15;5;1
2020-02-17 13:30:00;135;49;109;11;9;9;20;18;3;12
2020-02-17 13:45:00;87;56;107;11;14;7;28;23;0;4
2020-02-17 14:00:00;53;62;102;12;80;5;98;73;0;0
2020-02-17 14:15:00;31;79;71;7;63;6;165;83;7;1
2020-02-17 14:30:00;41;124;69;7;28;7;116;52;3;0
2020-02-17 14:45:00;20;73;74;3;26;5;60;27;3;6
2020-02-17 15:00:00;49;89;89;4;26;5;54;47;1;3
2020-02-17 15:15:00;27;91;61;7;23;1;65;44;0;0
2020-02-17 15:30:00;53;85;103;3;18;4;66;35;15;12
2020-02-17 15:45:00;36;76;76;10;21;7;52;22;0;5
2020-02-17 16:00:00;41;113;115;2;24;5;44;29;1;0
2020-02-17 16:15:00;34;86;69;4;26;4;39;28;0;0
2020-02-17 16:30:00;45;90;106;6;28;2;82;30;2;0
2020-02-17 16:45:00;40;87;89;3;20;3;40;31;0;0
2020-02-17 17:00:00;39;79;77;4;19;3;44;30;0;0
2020-02-17 17:15:00;40;81;62;7;23;6;42;30;1;0
2020-02-17 17:30:00;30;73;58;3;19;3;26;20;3;2
2020-02-17 17:45:00;35;68;74;4;14;2;25;23;1;0
2020-02-17 18:00:00;45;79;68;8;25;5;16;25;4;0
2020-02-17 18:15:00;30;52;51;0;6;3;26;10;4;0
2020-02-17 18:30:00;23;46;60;8;12;3;22;18;1;0
2020-02-17 18:45:00;40;54;50;2;9;8;14;11;0;0
2020-02-17 19:00:00;31;39;45;7;8;3;15;10;0;0
2020-02-17 19:15:00;20;39;51;3;2;2;9;9;1;0
2020-02-17 19:30:00;16;28;45;3;7;4;1;8;0;0
2020-02-17 19:45:00;23;26;51;2;6;1;4;2;0;0
2020-02-17 20:00:00;17;23;41;4;1;0;5;4;0;0
2020-02-17 20:15:00;18;20;23;5;0;0;5;2;0;0
2020-02-17 20:30:00;25;14;24;3;2;0;4;7;0;0
2020-02-17 20:45:00;33;8;31;1;1;0;1;12;0;0
2020-02-17 21:00:00;97;14;81;1;2;4;3;9;0;0
2020-02-17 21:15:00;129;22;104;0;1;5;4;12;0;0
2020-02-17 21:30:00;130;13;68;12;6;7;7;17;0;0
2020-02-17 21:45:00;39;37;13;10;31;3;40;74;0;0
2020-02-17 22:00:00;21;48;17;17;98;1;111;72;2;2
2020-02-17 22:15:00;15;25;15;2;52;2;22;40;1;5
2020-02-17 22:30:00;8;10;10;4;11;0;4;11;0;0
2020-02-17 22:45:00;8;14;7;0;2;0;1;3;1;4
2020-02-17 23:00:00;5;8;5;3;1;1;3;4;0;0
2020-02-17 23:15:00;5;6;12;2;0;0;1;3;0;0
2020-02-17 23:30:00;4;7;6;3;2;3;2;1;0;0
2020-02-17 23:45:00;2;5;5;2;0;0;2;2;0;0
