DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC2);7(DC3);8(DC4);9(DD1);10(DD2);11(DRES1);12(DRES2);13(DRES3);14(DRES4);15(TARDB);16(TAFGA);17(TAFBA);18(TAFBB);19(TAFBD)
2020-07-03 00:00:00;8;11;6;1;11;11;1;5;0;0;0;0;0;0;0;0;0;0;0
2020-07-03 00:15:00;15;15;3;0;11;14;3;5;0;0;0;0;0;0;0;0;0;0;0
2020-07-03 00:30:00;10;11;6;0;6;6;1;3;0;0;0;0;0;0;0;0;0;0;0
2020-07-03 00:45:00;4;7;7;0;8;10;1;5;0;0;0;0;0;0;0;0;0;0;0
2020-07-03 01:00:00;7;8;6;0;8;7;3;3;0;0;0;0;0;0;0;0;0;0;0
2020-07-03 01:15:00;7;9;6;2;6;6;1;4;0;0;0;0;0;0;0;0;0;0;0
2020-07-03 01:30:00;7;8;1;0;3;3;2;2;0;0;0;0;0;0;0;0;0;0;0
2020-07-03 01:45:00;6;5;4;0;8;10;1;2;0;0;0;0;0;0;0;0;0;0;0
2020-07-03 02:00:00;3;5;2;0;5;6;1;3;0;0;0;0;0;0;0;0;0;0;0
2020-07-03 02:15:00;5;6;2;1;10;10;0;2;0;0;0;0;0;0;0;0;0;0;0
2020-07-03 02:30:00;5;4;2;0;7;7;1;2;0;0;0;0;0;0;0;0;0;0;0
2020-07-03 02:45:00;4;6;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-07-03 03:00:00;4;1;1;0;8;6;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-07-03 03:15:00;3;4;5;0;4;6;2;3;0;0;0;0;0;0;0;0;0;0;0
2020-07-03 03:30:00;5;7;2;2;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-07-03 03:45:00;7;7;3;1;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0
2020-07-03 04:00:00;7;9;4;3;7;5;3;5;0;0;0;0;0;0;0;0;0;0;0
2020-07-03 04:15:00;12;8;2;0;11;9;1;2;0;0;0;0;0;0;0;0;0;0;0
2020-07-03 04:30:00;11;10;5;1;10;11;0;3;0;0;0;0;0;0;0;0;0;0;0
2020-07-03 04:45:00;24;26;11;4;18;17;5;9;0;0;0;0;0;0;0;0;0;0;0
2020-07-03 05:00:00;40;48;20;2;30;27;15;22;0;0;0;0;0;0;0;0;0;0;0
2020-07-03 05:15:00;60;67;34;7;33;37;19;29;0;0;0;0;0;0;0;0;0;0;0
2020-07-03 05:30:00;55;62;33;6;42;38;17;34;0;0;0;0;0;0;0;1;0;0;0
