DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC3);7(DD12);8(TAFBB);9(TAFBC);10(TAFBD);11(TARDB);12(TARDD)
2020-06-26 00:00:00;9;8;14;2;0;7;0;0;0;0;0;0
2020-06-26 00:15:00;2;3;9;0;5;8;0;0;0;0;0;0
2020-06-26 00:30:00;3;4;5;0;0;2;0;0;0;0;0;0
2020-06-26 00:45:00;1;2;6;1;0;6;0;0;0;0;0;0
2020-06-26 01:00:00;3;2;3;1;0;2;0;0;0;0;0;0
2020-06-26 01:15:00;4;5;5;0;0;1;0;0;0;0;0;0
2020-06-26 01:30:00;2;2;5;0;0;3;0;0;0;0;0;0
2020-06-26 01:45:00;1;2;2;0;0;0;0;0;0;0;0;0
2020-06-26 02:00:00;1;1;3;0;1;3;0;0;0;0;0;0
2020-06-26 02:15:00;1;3;5;1;0;2;0;0;0;0;0;0
2020-06-26 02:30:00;1;2;3;0;0;1;0;0;0;0;0;0
2020-06-26 02:45:00;6;7;8;2;0;3;0;0;0;0;0;0
2020-06-26 03:00:00;5;5;5;1;0;1;0;0;0;0;0;0
2020-06-26 03:15:00;1;1;2;0;0;1;0;0;0;0;0;0
2020-06-26 03:30:00;0;0;2;0;0;2;0;0;0;0;0;0
2020-06-26 03:45:00;0;0;3;0;1;3;0;0;0;0;0;0
2020-06-26 04:00:00;3;3;2;0;0;0;0;0;0;0;0;0
2020-06-26 04:15:00;2;3;6;0;0;4;0;0;0;0;0;0
2020-06-26 04:30:00;1;3;4;0;0;2;0;0;0;0;0;0
2020-06-26 04:45:00;1;2;2;1;0;0;0;0;0;0;0;0
2020-06-26 05:00:00;5;2;4;0;0;2;0;0;0;0;0;0
2020-06-26 05:15:00;9;6;5;2;0;4;0;0;0;0;0;0
2020-06-26 05:30:00;10;9;16;1;4;6;0;0;0;0;0;0
2020-06-26 05:45:00;19;15;17;2;4;5;0;0;0;0;0;0
2020-06-26 06:00:00;14;11;23;4;8;17;0;0;0;0;0;0
2020-06-26 06:15:00;34;35;46;10;5;26;0;0;0;0;0;0
2020-06-26 06:30:00;40;35;44;17;12;27;0;0;1;0;0;0
2020-06-26 06:45:00;45;44;49;20;6;32;0;0;0;0;0;0
2020-06-26 07:00:00;38;47;55;33;9;30;0;0;0;0;0;0
2020-06-26 07:15:00;70;80;76;51;7;44;1;0;0;0;0;0
2020-06-26 07:30:00;58;76;89;51;16;52;0;3;0;0;0;0
2020-06-26 07:45:00;61;64;86;27;9;45;0;5;0;0;0;0
2020-06-26 08:00:00;50;42;61;20;8;41;2;0;1;0;0;0
2020-06-26 08:15:00;51;50;60;44;5;38;1;0;13;0;0;0
2020-06-26 08:30:00;44;56;59;44;9;47;0;2;0;1;0;0
2020-06-26 08:45:00;71;54;72;22;5;50;1;0;1;0;0;0
2020-06-26 09:00:00;54;47;65;11;8;41;0;0;0;0;0;0
2020-06-26 09:15:00;53;58;77;31;6;47;0;0;0;0;0;0
2020-06-26 09:30:00;47;47;69;33;10;48;0;0;0;0;0;0
2020-06-26 09:45:00;60;57;86;21;5;57;1;0;1;0;0;0
