DATUM;1(DA1);2(DA2);3(DB1);4(DD1);5(DD2);6(DE1);7(DC1);8(DC2);9(DF2);10(DF1)
2020-11-13 00:00:00;2;1;0;2;2;0;2;0;1;1
2020-11-13 00:15:00;6;4;1;2;8;0;7;2;7;5
2020-11-13 00:30:00;2;1;4;10;4;1;7;11;2;2
2020-11-13 00:45:00;6;5;1;3;8;1;8;4;5;7
2020-11-13 01:00:00;8;3;0;7;3;4;5;5;3;7
2020-11-13 01:15:00;3;3;1;2;2;0;3;2;2;2
2020-11-13 01:30:00;1;1;0;1;0;2;1;2;1;1
2020-11-13 01:45:00;2;1;0;1;1;1;1;0;1;2
2020-11-13 02:00:00;5;2;0;2;1;0;1;1;3;5
2020-11-13 02:15:00;3;2;0;2;1;1;0;1;1;2
2020-11-13 02:30:00;1;0;0;2;1;0;0;2;0;1
2020-11-13 02:45:00;3;1;1;0;0;1;0;0;0;2
2020-11-13 03:00:00;1;1;0;1;0;0;0;1;1;1
2020-11-13 03:15:00;1;0;1;2;4;0;4;3;0;0
2020-11-13 03:30:00;3;4;0;1;2;0;1;0;3;3
2020-11-13 03:45:00;5;2;0;4;4;0;4;2;2;5
2020-11-13 04:00:00;2;3;0;2;1;0;1;2;3;2
2020-11-13 04:15:00;2;2;3;5;5;0;4;5;2;2
2020-11-13 04:30:00;7;4;0;7;12;0;11;6;3;7
2020-11-13 04:45:00;9;6;4;6;11;5;12;7;7;10
2020-11-13 05:00:00;22;11;3;21;17;4;19;20;12;24
2020-11-13 05:15:00;24;15;4;38;52;5;53;36;16;24
2020-11-13 05:30:00;37;21;1;35;45;15;56;33;20;33
2020-11-13 05:45:00;39;36;2;50;67;8;66;51;35;26
2020-11-13 06:00:00;39;34;2;48;55;14;56;47;37;32
2020-11-13 06:15:00;60;39;2;59;82;17;80;58;39;53
2020-11-13 06:30:00;47;28;3;89;74;13;77;90;29;44
2020-11-13 06:45:00;52;35;3;99;80;16;86;93;37;44
2020-11-13 07:00:00;53;43;11;128;100;18;105;121;49;48
2020-11-13 07:15:00;71;37;8;191;130;25;141;179;41;51
2020-11-13 07:30:00;81;60;12;110;120;29;122;110;59;62
2020-11-13 07:45:00;86;65;23;113;121;49;143;117;61;73
2020-11-13 08:00:00;58;45;14;90;81;28;100;74;46;51
