DATUM;1(DA2);2(DA3);3(DB1);4(DB2);5(TA1);6(TA2);7(TA3);8(IRA1);9(IRC1);10(IRC2)
2020-07-12 00:00:00;68;3;4;0;6;2;16;0;0;0
2020-07-12 00:15:00;100;2;2;0;3;2;11;0;0;0
2020-07-12 00:30:00;96;4;3;0;3;1;8;0;0;0
2020-07-12 00:45:00;89;4;3;0;7;2;10;0;0;0
2020-07-12 01:00:00;70;3;1;0;1;1;7;0;0;0
2020-07-12 01:15:00;75;2;4;0;2;0;9;0;0;0
2020-07-12 01:30:00;67;2;4;0;3;1;6;0;0;0
2020-07-12 01:45:00;59;2;2;0;4;1;6;0;0;0
2020-07-12 02:00:00;62;2;2;0;2;3;4;0;0;0
2020-07-12 02:15:00;62;4;4;0;2;1;7;0;0;0
2020-07-12 02:30:00;42;2;1;0;2;2;2;0;0;0
2020-07-12 02:45:00;58;4;2;0;1;0;5;0;0;0
2020-07-12 03:00:00;44;2;0;0;1;0;5;0;0;0
2020-07-12 03:15:00;77;5;0;0;2;1;2;0;0;0
2020-07-12 03:30:00;61;1;0;0;0;0;5;0;0;0
2020-07-12 03:45:00;70;0;0;0;1;1;4;0;0;0
2020-07-12 04:00:00;57;0;2;0;0;0;1;0;0;0
2020-07-12 04:15:00;46;1;0;0;2;1;0;0;0;0
2020-07-12 04:30:00;48;3;0;0;0;1;1;0;0;0
2020-07-12 04:45:00;51;2;0;0;2;0;3;0;0;0
2020-07-12 05:00:00;43;4;3;0;2;2;2;0;0;0
2020-07-12 05:15:00;64;1;3;0;1;1;2;0;0;0
2020-07-12 05:30:00;55;2;1;0;0;0;4;0;0;0
2020-07-12 05:45:00;87;1;1;0;1;0;6;0;0;0
2020-07-12 06:00:00;72;1;2;0;0;0;2;0;0;0
2020-07-12 06:15:00;80;2;0;0;2;0;2;0;0;0
2020-07-12 06:30:00;71;3;0;0;1;1;7;0;0;0
2020-07-12 06:45:00;84;2;1;0;1;1;3;0;0;0
2020-07-12 07:00:00;48;3;1;0;2;3;2;0;0;0
2020-07-12 07:15:00;72;0;0;0;1;2;4;0;0;0
2020-07-12 07:30:00;71;1;1;0;1;2;4;0;0;0
2020-07-12 07:45:00;71;9;2;0;2;2;12;0;0;0
2020-07-12 08:00:00;47;4;4;0;1;3;5;0;0;0
2020-07-12 08:15:00;76;6;3;0;0;0;8;0;0;0
2020-07-12 08:30:00;55;2;3;0;1;3;8;0;0;0
2020-07-12 08:45:00;68;6;6;0;2;3;16;0;0;0
2020-07-12 09:00:00;66;1;7;0;3;2;13;0;0;0
2020-07-12 09:15:00;81;15;5;0;1;0;21;0;0;0
2020-07-12 09:30:00;57;12;11;0;2;1;20;0;0;0
2020-07-12 09:45:00;91;13;16;0;5;2;25;0;0;0
2020-07-12 10:00:00;85;9;10;0;6;5;23;0;0;0
2020-07-12 10:15:00;93;10;15;0;8;5;28;0;0;0
2020-07-12 10:30:00;83;9;9;0;4;1;28;0;0;0
2020-07-12 10:45:00;91;13;9;0;4;2;33;0;0;0
2020-07-12 11:00:00;93;13;11;0;4;3;28;0;0;0
2020-07-12 11:15:00;107;17;12;0;1;3;29;0;0;0
2020-07-12 11:30:00;81;19;13;0;4;2;24;0;0;0
2020-07-12 11:45:00;61;16;5;0;4;5;44;0;0;0
2020-07-12 12:00:00;54;9;6;0;2;5;28;0;0;0
2020-07-12 12:15:00;55;17;13;0;6;6;34;0;0;0
2020-07-12 12:30:00;51;14;5;0;6;2;24;0;0;0
2020-07-12 12:45:00;52;11;6;0;4;3;44;0;0;0
2020-07-12 13:00:00;37;11;7;0;6;4;25;0;0;0
2020-07-12 13:15:00;46;20;9;0;8;7;37;0;0;0
2020-07-12 13:30:00;79;20;16;0;3;2;31;0;0;0
2020-07-12 13:45:00;103;15;17;0;12;3;36;0;0;0
2020-07-12 14:00:00;85;19;18;0;6;2;30;0;0;0
2020-07-12 14:15:00;98;17;11;0;9;4;41;0;0;0
2020-07-12 14:30:00;78;17;11;0;6;2;36;0;0;0
2020-07-12 14:45:00;119;10;14;0;6;3;36;0;0;0
2020-07-12 15:00:00;111;16;10;0;3;2;39;0;0;0
2020-07-12 15:15:00;107;27;14;0;6;4;32;0;0;0
2020-07-12 15:30:00;107;16;11;0;4;3;35;0;0;0
2020-07-12 15:45:00;119;18;14;0;11;9;50;0;0;0
2020-07-12 16:00:00;89;17;16;0;4;6;35;0;0;0
2020-07-12 16:15:00;118;19;17;0;12;2;38;0;0;0
2020-07-12 16:30:00;90;19;10;0;7;2;33;0;0;0
2020-07-12 16:45:00;114;18;9;0;6;2;36;0;0;0
2020-07-12 17:00:00;86;13;13;0;6;6;35;0;0;0
2020-07-12 17:15:00;93;19;12;0;12;4;50;0;0;0
2020-07-12 17:30:00;90;14;12;0;7;8;40;0;0;0
2020-07-12 17:45:00;98;14;15;0;2;6;46;0;0;0
2020-07-12 18:00:00;93;14;13;0;7;3;40;0;0;0
2020-07-12 18:15:00;95;25;24;0;7;5;51;0;0;0
2020-07-12 18:30:00;107;16;14;0;3;4;27;0;0;0
2020-07-12 18:45:00;82;19;16;0;5;4;35;2;0;0
2020-07-12 19:00:00;95;16;14;0;5;6;25;0;0;0
2020-07-12 19:15:00;94;23;15;0;8;7;32;0;0;0
2020-07-12 19:30:00;84;13;10;0;3;4;44;0;0;0
2020-07-12 19:45:00;110;14;11;0;8;2;26;0;0;0
2020-07-12 20:00:00;76;16;8;0;6;3;32;0;0;0
2020-07-12 20:15:00;93;12;16;0;8;8;31;0;0;0
2020-07-12 20:30:00;90;17;10;0;6;4;24;0;0;0
2020-07-12 20:45:00;82;8;7;0;4;1;34;0;0;0
2020-07-12 21:00:00;73;11;16;0;5;3;28;0;0;0
2020-07-12 21:15:00;81;14;3;0;2;2;19;0;0;0
2020-07-12 21:30:00;67;8;9;0;7;6;25;0;0;0
2020-07-12 21:45:00;75;7;4;0;2;5;25;0;0;0
2020-07-12 22:00:00;65;2;2;0;6;6;18;0;0;0
2020-07-12 22:15:00;51;7;7;0;7;4;18;0;0;0
2020-07-12 22:30:00;59;5;1;0;1;1;17;0;0;0
2020-07-12 22:45:00;76;5;2;0;0;3;12;0;0;0
2020-07-12 23:00:00;64;2;5;0;1;1;9;0;0;0
2020-07-12 23:15:00;96;3;2;0;0;3;8;0;0;0
2020-07-12 23:30:00;67;1;2;0;2;2;5;0;0;0
2020-07-12 23:45:00;91;3;3;0;2;2;4;0;0;0
