DATUM;1(DA1);2(DA2);3(DC1);4(DC2);5(DCL1);6(DDR1);7(DDL1)
2020-11-16 00:00:00;10;5;7;0;3;2;3
2020-11-16 00:15:00;19;5;13;2;5;7;2
2020-11-16 00:30:00;13;1;4;2;2;4;4
2020-11-16 00:45:00;5;1;2;1;2;4;5
2020-11-16 01:00:00;8;4;3;1;1;1;3
2020-11-16 01:15:00;9;3;3;1;3;1;2
2020-11-16 01:30:00;5;2;3;2;3;1;3
2020-11-16 01:45:00;3;0;6;3;3;4;3
2020-11-16 02:00:00;1;0;7;1;6;3;3
2020-11-16 02:15:00;7;1;6;2;4;6;4
2020-11-16 02:30:00;2;3;6;1;1;3;1
2020-11-16 02:45:00;6;0;7;2;5;7;4
2020-11-16 03:00:00;5;4;4;1;5;4;4
2020-11-16 03:15:00;5;6;5;1;2;5;1
2020-11-16 03:30:00;7;0;6;3;3;8;4
2020-11-16 03:45:00;6;3;12;3;3;2;1
2020-11-16 04:00:00;7;4;9;2;2;7;5
2020-11-16 04:15:00;4;4;8;2;3;3;4
2020-11-16 04:30:00;10;11;16;7;3;1;7
2020-11-16 04:45:00;16;11;37;13;1;3;1
2020-11-16 05:00:00;18;10;68;23;0;0;0
2020-11-16 05:15:00;54;30;89;41;1;0;2
2020-11-16 05:30:00;42;23;91;59;1;0;0
2020-11-16 05:45:00;53;32;106;54;1;0;0
2020-11-16 06:00:00;61;36;98;43;2;0;0
2020-11-16 06:15:00;80;52;130;64;1;0;1
2020-11-16 06:30:00;108;52;170;79;5;1;1
2020-11-16 06:45:00;138;86;154;76;12;1;0
2020-11-16 07:00:00;143;59;158;86;4;1;0
2020-11-16 07:15:00;198;111;153;94;15;1;1
2020-11-16 07:30:00;175;170;209;101;33;0;1
2020-11-16 07:45:00;182;112;195;98;20;2;0
2020-11-16 08:00:00;173;108;159;94;21;0;0
2020-11-16 08:15:00;138;99;134;71;9;1;0
2020-11-16 08:30:00;132;97;146;91;17;4;2
2020-11-16 08:45:00;134;95;138;80;12;0;0
2020-11-16 09:00:00;132;96;144;67;8;1;0
2020-11-16 09:15:00;124;86;152;64;9;1;0
2020-11-16 09:30:00;142;75;131;70;2;2;1
2020-11-16 09:45:00;150;86;159;75;10;0;2
2020-11-16 10:00:00;113;89;154;75;14;3;1
2020-11-16 10:15:00;143;107;159;73;11;1;2
2020-11-16 10:30:00;133;90;164;85;12;2;3
2020-11-16 10:45:00;164;90;169;74;9;0;1
2020-11-16 11:00:00;129;87;149;70;1;1;1
2020-11-16 11:15:00;110;96;154;82;9;0;1
2020-11-16 11:30:00;123;104;149;72;10;3;3
2020-11-16 11:45:00;142;80;166;72;5;1;1
2020-11-16 12:00:00;144;90;155;87;7;4;3
2020-11-16 12:15:00;135;91;120;79;9;3;3
2020-11-16 12:30:00;155;124;155;87;12;5;3
2020-11-16 12:45:00;161;130;144;76;15;2;3
2020-11-16 13:00:00;144;97;200;106;8;6;8
2020-11-16 13:15:00;162;104;187;81;12;2;1
2020-11-16 13:30:00;124;125;191;100;10;2;1
2020-11-16 13:45:00;168;118;158;88;7;4;2
2020-11-16 14:00:00;152;104;150;90;16;4;3
2020-11-16 14:15:00;144;117;149;80;12;2;2
2020-11-16 14:30:00;178;138;156;78;12;0;2
2020-11-16 14:45:00;194;137;149;72;6;1;0
2020-11-16 15:00:00;164;153;166;94;10;3;2
2020-11-16 15:15:00;163;115;146;84;8;1;3
2020-11-16 15:30:00;186;150;180;103;16;6;3
2020-11-16 15:45:00;195;137;175;111;15;1;2
2020-11-16 16:00:00;198;141;188;112;17;4;5
2020-11-16 16:15:00;183;155;176;95;12;5;1
2020-11-16 16:30:00;206;143;178;111;15;5;1
2020-11-16 16:45:00;169;154;186;108;10;1;3
2020-11-16 17:00:00;194;146;162;93;8;5;5
2020-11-16 17:15:00;207;172;159;88;14;6;4
2020-11-16 17:30:00;161;132;164;82;13;3;4
2020-11-16 17:45:00;166;121;154;89;11;9;1
2020-11-16 18:00:00;174;94;161;83;1;3;4
2020-11-16 18:15:00;119;85;128;67;5;2;2
2020-11-16 18:30:00;114;91;129;44;7;4;0
2020-11-16 18:45:00;112;83;110;47;3;3;2
2020-11-16 19:00:00;85;59;95;55;8;0;2
2020-11-16 19:15:00;89;64;100;47;3;0;0
2020-11-16 19:30:00;66;58;73;40;7;0;3
2020-11-16 19:45:00;63;42;81;35;1;2;0
2020-11-16 20:00:00;62;44;66;23;4;1;1
2020-11-16 20:15:00;64;45;75;22;4;0;0
2020-11-16 20:30:00;57;39;63;24;1;0;0
2020-11-16 20:45:00;51;32;64;19;1;2;1
2020-11-16 21:00:00;48;24;64;28;3;0;0
2020-11-16 21:15:00;47;23;48;23;1;0;0
2020-11-16 21:30:00;38;27;47;15;3;0;1
2020-11-16 21:45:00;64;42;37;12;3;2;0
2020-11-16 22:00:00;44;49;26;4;6;0;2
2020-11-16 22:15:00;26;27;42;10;2;1;0
2020-11-16 22:30:00;25;13;29;9;1;1;0
2020-11-16 22:45:00;15;18;19;6;4;1;0
2020-11-16 23:00:00;11;11;13;3;1;0;1
2020-11-16 23:15:00;14;9;19;3;1;2;2
2020-11-16 23:30:00;14;5;12;5;3;2;2
2020-11-16 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
