DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DC3);9(DC4);10(DD1);11(DD2);12(DD3);13(DD4)
2020-11-21 00:00:00;4;2;1;1;0;5;5;0;1;5;6;1;1
2020-11-21 00:15:00;4;0;0;1;2;8;6;7;8;10;3;1;0
2020-11-21 00:30:00;4;0;0;0;2;5;1;1;2;4;0;0;0
2020-11-21 00:45:00;6;1;1;0;3;4;3;0;0;0;0;0;1
2020-11-21 01:00:00;3;0;1;3;3;5;3;6;4;7;5;0;1
2020-11-21 01:15:00;2;0;0;0;1;3;2;2;1;1;0;0;0
2020-11-21 01:30:00;4;1;0;2;3;9;9;3;2;0;0;0;0
2020-11-21 01:45:00;3;0;0;0;1;4;5;1;1;3;1;0;0
2020-11-21 02:00:00;1;1;0;0;0;5;4;0;0;0;0;0;0
2020-11-21 02:15:00;4;0;0;1;0;1;3;2;1;1;0;0;0
2020-11-21 02:30:00;2;2;1;0;1;3;2;0;0;2;3;1;1
2020-11-21 02:45:00;3;1;0;1;1;5;3;0;0;4;2;0;0
2020-11-21 03:00:00;5;1;0;1;4;5;5;0;0;0;0;0;0
2020-11-21 03:15:00;3;0;0;0;0;4;0;1;0;1;1;0;0
2020-11-21 03:30:00;1;0;0;0;1;4;2;0;0;2;3;0;0
2020-11-21 03:45:00;3;0;0;0;0;7;5;2;2;2;2;0;0
2020-11-21 04:00:00;1;0;0;0;2;2;3;1;2;0;0;0;0
2020-11-21 04:15:00;2;0;0;0;0;1;2;1;1;1;1;0;0
2020-11-21 04:30:00;4;0;0;1;3;9;4;1;0;1;0;0;0
2020-11-21 04:45:00;7;1;0;2;0;8;8;1;1;1;1;0;0
2020-11-21 05:00:00;4;2;1;4;6;9;6;3;2;2;1;1;1
2020-11-21 05:15:00;5;1;1;7;4;15;12;2;0;1;2;2;1
2020-11-21 05:30:00;9;4;2;8;6;18;12;2;1;0;1;0;2
2020-11-21 05:45:00;9;2;2;10;3;15;15;4;3;0;2;1;2
2020-11-21 06:00:00;17;5;4;5;4;21;16;6;2;2;3;0;4
2020-11-21 06:15:00;15;8;1;7;5;30;28;8;3;1;0;0;1
2020-11-21 06:30:00;12;3;3;5;17;27;24;14;9;3;2;0;3
2020-11-21 06:45:00;15;1;5;9;2;14;26;16;9;4;1;1;4
2020-11-21 07:00:00;6;1;4;9;7;17;16;12;10;13;7;1;3
2020-11-21 07:15:00;15;7;6;6;12;25;15;10;4;7;10;2;6
2020-11-21 07:30:00;23;6;7;13;11;40;23;14;9;8;9;3;7
2020-11-21 07:45:00;21;6;4;17;14;42;33;16;12;10;15;5;4
2020-11-21 08:00:00;12;9;3;18;13;30;29;24;22;18;9;4;2
2020-11-21 08:15:00;33;8;4;23;19;39;23;19;14;17;16;2;4
2020-11-21 08:30:00;30;13;9;34;18;40;28;30;15;17;25;9;7
2020-11-21 08:45:00;43;19;9;25;32;48;36;34;21;18;19;7;12
