DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DD1);9(DD2)
2020-09-17 00:00:00;9;0;2;3;2;3;0;0;1
2020-09-17 00:15:00;2;3;3;8;1;10;2;0;4
2020-09-17 00:30:00;5;3;3;5;2;4;2;0;1
2020-09-17 00:45:00;3;4;0;3;3;5;1;0;0
2020-09-17 01:00:00;6;2;0;0;3;2;1;0;1
2020-09-17 01:15:00;5;4;1;1;2;2;1;0;3
2020-09-17 01:30:00;0;2;2;6;1;2;1;0;1
2020-09-17 01:45:00;0;0;0;4;0;2;1;0;1
2020-09-17 02:00:00;4;2;0;3;2;2;0;0;1
2020-09-17 02:15:00;0;0;2;3;2;2;0;0;1
2020-09-17 02:30:00;4;2;0;2;0;1;1;0;6
2020-09-17 02:45:00;0;4;2;1;0;2;1;0;2
2020-09-17 03:00:00;2;0;1;3;2;4;2;0;2
2020-09-17 03:15:00;4;2;3;4;0;2;0;0;3
2020-09-17 03:30:00;2;0;0;3;1;1;2;0;3
2020-09-17 03:45:00;4;3;1;3;2;2;2;0;1
2020-09-17 04:00:00;4;2;1;4;1;4;1;0;5
2020-09-17 04:15:00;2;1;1;5;2;6;0;0;4
2020-09-17 04:30:00;4;2;2;8;3;3;5;0;6
2020-09-17 04:45:00;10;4;6;12;6;7;3;0;4
2020-09-17 05:00:00;25;9;4;19;5;19;21;0;2
2020-09-17 05:15:00;38;16;2;21;9;21;22;0;7
2020-09-17 05:30:00;48;30;10;21;19;34;38;0;11
2020-09-17 05:45:00;48;22;7;49;44;44;47;0;10
2020-09-17 06:00:00;42;29;3;65;79;45;47;0;16
2020-09-17 06:15:00;54;33;6;47;47;50;60;0;20
2020-09-17 06:30:00;44;27;7;28;28;65;100;0;19
2020-09-17 06:45:00;62;34;10;35;36;100;117;0;26
2020-09-17 07:00:00;50;26;5;36;31;113;133;0;22
2020-09-17 07:15:00;63;34;12;25;24;190;128;0;18
2020-09-17 07:30:00;73;40;16;36;21;197;154;0;25
2020-09-17 07:45:00;78;67;21;44;37;127;108;0;22
2020-09-17 08:00:00;66;39;21;28;25;95;109;0;17
2020-09-17 08:15:00;52;38;25;39;27;92;90;0;13
2020-09-17 08:30:00;60;35;18;32;29;80;81;0;10
2020-09-17 08:45:00;75;36;18;47;32;72;79;0;20
2020-09-17 09:00:00;51;24;17;40;38;48;57;0;38
2020-09-17 09:15:00;74;39;15;28;32;67;74;0;36
2020-09-17 09:30:00;57;44;19;38;27;61;62;0;24
2020-09-17 09:45:00;64;51;16;51;52;46;56;0;27
2020-09-17 10:00:00;19;11;6;18;9;15;21;0;10
2020-09-17 10:15:00;
2020-09-17 10:30:00;
2020-09-17 10:45:00;44;33;15;34;37;53;53;0;23
2020-09-17 11:00:00;63;36;11;37;46;47;52;0;17
2020-09-17 11:15:00;64;57;20;38;45;62;61;0;34
2020-09-17 11:30:00;82;62;29;43;39;60;69;0;28
2020-09-17 11:45:00;80;45;31;35;40;46;58;0;27
2020-09-17 12:00:00;82;61;15;51;39;49;64;0;17
2020-09-17 12:15:00;66;37;15;38;46;40;47;0;21
2020-09-17 12:30:00;76;51;21;53;39;54;74;0;19
2020-09-17 12:45:00;71;68;16;41;43;56;59;0;21
2020-09-17 13:00:00;89;66;19;67;68;52;63;0;18
2020-09-17 13:15:00;105;78;15;42;51;78;63;0;12
2020-09-17 13:30:00;84;50;27;47;50;63;76;0;21
2020-09-17 13:45:00;90;62;17;47;46;68;84;0;25
2020-09-17 14:00:00;99;63;21;66;66;60;85;0;16
2020-09-17 14:15:00;80;72;11;73;89;56;71;0;17
2020-09-17 14:30:00;97;69;15;81;80;82;104;0;29
2020-09-17 14:45:00;93;75;27;66;65;72;81;0;26
2020-09-17 15:00:00;101;86;19;76;75;70;74;0;14
2020-09-17 15:15:00;107;87;14;80;79;64;77;0;24
2020-09-17 15:30:00;86;65;23;61;83;87;95;0;29
2020-09-17 15:45:00;110;95;21;79;66;82;83;0;15
2020-09-17 16:00:00;139;112;26;81;81;86;65;0;21
2020-09-17 16:15:00;136;99;16;73;69;109;88;0;22
2020-09-17 16:30:00;115;123;23;77;70;87;74;0;18
2020-09-17 16:45:00;139;125;21;77;70;82;83;0;22
2020-09-17 17:00:00;148;99;17;78;70;99;95;0;18
2020-09-17 17:15:00;118;117;25;72;74;76;76;0;20
2020-09-17 17:30:00;116;96;28;74;75;79;84;0;18
2020-09-17 17:45:00;106;88;18;73;58;83;84;0;24
2020-09-17 18:00:00;103;68;22;49;56;77;80;0;16
2020-09-17 18:15:00;105;78;13;56;48;63;78;0;12
2020-09-17 18:30:00;90;71;24;48;40;72;69;0;21
2020-09-17 18:45:00;70;42;24;47;34;57;63;0;13
2020-09-17 19:00:00;55;38;25;43;30;38;47;0;12
2020-09-17 19:15:00;61;47;13;42;32;54;48;0;7
2020-09-17 19:30:00;56;29;19;27;23;42;56;0;7
2020-09-17 19:45:00;46;29;16;33;20;47;55;0;8
2020-09-17 20:00:00;67;28;10;32;25;43;49;0;7
2020-09-17 20:15:00;40;20;14;30;20;40;39;0;6
2020-09-17 20:30:00;39;12;13;23;17;30;35;0;4
2020-09-17 20:45:00;38;22;8;23;15;32;35;0;6
2020-09-17 21:00:00;56;23;11;22;21;25;26;0;7
2020-09-17 21:15:00;41;16;12;28;14;23;26;0;4
2020-09-17 21:30:00;55;21;8;28;20;19;22;0;2
2020-09-17 21:45:00;40;16;6;61;51;18;24;0;5
2020-09-17 22:00:00;41;18;6;57;62;26;24;0;8
2020-09-17 22:15:00;31;13;4;56;42;23;28;0;3
2020-09-17 22:30:00;32;7;2;16;10;12;12;0;2
2020-09-17 22:45:00;23;4;2;15;7;11;4;0;5
2020-09-17 23:00:00;20;11;4;9;6;13;10;0;2
2020-09-17 23:15:00;12;2;5;13;7;2;6;0;3
2020-09-17 23:30:00;12;4;3;4;2;5;5;0;4
2020-09-17 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
