DATUM;1(DA1);2(DA2);3(DC1);4(DC2);5(DCL1);6(DB1);7(TARDCL)
2020-04-04 00:00:00;3;10;4;5;0;1;0
2020-04-04 00:15:00;2;5;2;4;0;0;0
2020-04-04 00:30:00;9;5;11;5;1;3;0
2020-04-04 00:45:00;3;5;5;2;0;1;0
2020-04-04 01:00:00;2;2;4;2;1;1;0
2020-04-04 01:15:00;5;1;6;2;0;1;0
2020-04-04 01:30:00;5;3;4;1;0;0;0
2020-04-04 01:45:00;4;0;3;1;0;2;0
2020-04-04 02:00:00;5;9;1;3;0;1;0
2020-04-04 02:15:00;5;2;2;2;0;1;0
2020-04-04 02:30:00;0;2;2;8;0;0;0
2020-04-04 02:45:00;4;1;1;0;0;0;0
2020-04-04 03:00:00;2;2;3;2;0;0;0
2020-04-04 03:15:00;2;4;1;2;0;0;0
2020-04-04 03:30:00;4;3;2;1;0;0;0
2020-04-04 03:45:00;3;5;3;0;0;0;0
2020-04-04 04:00:00;6;5;2;2;1;0;0
2020-04-04 04:15:00;7;6;4;1;0;0;0
2020-04-04 04:30:00;4;5;3;4;0;1;0
2020-04-04 04:45:00;2;8;3;2;2;0;0
2020-04-04 05:00:00;8;10;10;7;1;3;0
2020-04-04 05:15:00;8;8;8;8;3;2;0
2020-04-04 05:30:00;9;11;29;28;2;5;0
2020-04-04 05:45:00;20;25;21;23;1;2;0
2020-04-04 06:00:00;37;38;15;22;0;0;0
2020-04-04 06:15:00;13;16;15;20;3;7;0
2020-04-04 06:30:00;21;24;28;18;4;5;0
2020-04-04 06:45:00;14;19;13;14;1;2;0
2020-04-04 07:00:00;23;25;15;16;5;2;0
2020-04-04 07:15:00;11;23;23;16;3;6;0
2020-04-04 07:30:00;22;25;14;16;6;6;0
2020-04-04 07:45:00;17;21;22;21;3;5;0
2020-04-04 08:00:00;13;23;31;18;8;5;0
2020-04-04 08:15:00;22;33;28;20;7;2;0
2020-04-04 08:30:00;17;28;44;26;8;5;0
2020-04-04 08:45:00;26;29;24;28;7;10;0
2020-04-04 09:00:00;27;36;22;34;160;10;2
2020-04-04 09:15:00;22;33;32;32;11;7;0
2020-04-04 09:30:00;32;41;39;51;9;7;6
2020-04-04 09:45:00;28;44;33;25;92;14;0
2020-04-04 10:00:00;41;50;37;41;37;14;4
2020-04-04 10:15:00;48;40;41;36;14;20;0
2020-04-04 10:30:00;34;58;40;53;13;11;15
2020-04-04 10:45:00;30;60;57;53;14;19;2
2020-04-04 11:00:00;38;52;53;39;11;17;0
2020-04-04 11:15:00;52;60;45;48;11;13;0
2020-04-04 11:30:00;36;55;53;52;13;15;0
2020-04-04 11:45:00;42;66;53;45;20;17;0
2020-04-04 12:00:00;48;78;49;53;14;20;0
2020-04-04 12:15:00;43;74;59;46;18;17;0
2020-04-04 12:30:00;45;65;52;42;35;16;1
2020-04-04 12:45:00;35;63;52;61;17;28;0
2020-04-04 13:00:00;53;76;49;51;122;16;0
2020-04-04 13:15:00;53;84;54;54;23;23;0
2020-04-04 13:30:00;54;80;63;61;17;26;0
2020-04-04 13:45:00;45;78;56;56;14;17;0
2020-04-04 14:00:00;58;70;58;70;16;22;0
2020-04-04 14:15:00;46;70;51;50;20;12;13
2020-04-04 14:30:00;49;65;44;61;18;25;0
2020-04-04 14:45:00;53;75;52;63;4;26;0
2020-04-04 15:00:00;38;61;56;53;11;27;0
2020-04-04 15:15:00;41;73;59;56;12;15;0
2020-04-04 15:30:00;36;52;56;49;12;21;0
2020-04-04 15:45:00;43;58;52;56;39;22;0
2020-04-04 16:00:00;48;73;52;42;15;23;0
2020-04-04 16:15:00;39;66;45;47;262;16;0
2020-04-04 16:30:00;47;42;53;54;12;20;0
2020-04-04 16:45:00;30;61;57;47;15;16;7
2020-04-04 17:00:00;46;56;51;41;9;14;0
2020-04-04 17:15:00;46;59;53;48;18;29;0
2020-04-04 17:30:00;43;59;55;54;21;21;3
2020-04-04 17:45:00;37;67;38;50;10;24;2
2020-04-04 18:00:00;39;52;48;54;19;22;0
2020-04-04 18:15:00;28;51;51;54;21;20;0
2020-04-04 18:30:00;35;48;62;39;50;22;0
2020-04-04 18:45:00;34;46;53;44;7;22;0
2020-04-04 19:00:00;33;45;40;41;14;14;0
2020-04-04 19:15:00;38;36;43;43;4;10;0
2020-04-04 19:30:00;27;49;45;36;15;11;0
2020-04-04 19:45:00;29;23;34;30;7;15;0
2020-04-04 20:00:00;45;52;40;46;4;9;0
2020-04-04 20:15:00;29;34;39;26;2;8;0
2020-04-04 20:30:00;25;33;31;30;1;8;0
2020-04-04 20:45:00;22;28;21;23;0;4;0
2020-04-04 21:00:00;16;22;23;23;0;6;0
2020-04-04 21:15:00;12;21;20;20;3;3;0
2020-04-04 21:30:00;14;26;23;12;0;4;0
2020-04-04 21:45:00;10;16;11;8;2;4;0
2020-04-04 22:00:00;29;23;12;13;2;1;0
2020-04-04 22:15:00;13;15;14;7;0;0;0
2020-04-04 22:30:00;12;13;12;7;0;2;0
2020-04-04 22:45:00;9;19;11;9;5;0;0
2020-04-04 23:00:00;11;8;10;4;0;0;0
2020-04-04 23:15:00;7;6;8;5;0;3;0
2020-04-04 23:30:00;6;7;8;8;0;2;0
2020-04-04 23:45:00;3;7;12;7;2;1;0
