DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DC2);6(TAFGB);7(TAFBB);8(TAFBC);9(SKC)
2020-09-12 00:00:00;26;12;18;1;1;0;0;0;0
2020-09-12 00:15:00;27;12;29;1;1;0;0;0;0
2020-09-12 00:30:00;28;9;25;1;1;0;0;0;0
2020-09-12 00:45:00;17;10;25;0;0;0;0;0;0
2020-09-12 01:00:00;20;9;22;1;1;0;0;0;0
2020-09-12 01:15:00;18;10;17;0;0;0;0;0;0
2020-09-12 01:30:00;14;6;20;0;0;0;0;0;0
2020-09-12 01:45:00;12;7;19;0;0;0;0;0;0
2020-09-12 02:00:00;16;5;15;1;1;0;0;0;0
2020-09-12 02:15:00;17;10;16;0;0;0;0;0;0
2020-09-12 02:30:00;7;7;12;0;0;0;0;0;0
2020-09-12 02:45:00;6;2;14;1;1;0;0;0;0
2020-09-12 03:00:00;6;4;9;0;0;0;0;0;0
2020-09-12 03:15:00;8;4;13;1;1;0;0;0;0
2020-09-12 03:30:00;6;4;8;0;0;0;0;0;0
2020-09-12 03:45:00;6;6;7;0;0;0;0;0;0
2020-09-12 04:00:00;7;3;7;1;1;0;0;0;0
2020-09-12 04:15:00;7;2;5;0;0;0;0;0;0
2020-09-12 04:30:00;8;0;6;0;0;0;0;0;0
2020-09-12 04:45:00;11;3;10;0;0;0;0;0;0
2020-09-12 05:00:00;17;5;18;0;0;0;0;0;0
2020-09-12 05:15:00;22;7;28;0;0;0;0;0;0
2020-09-12 05:30:00;20;9;45;0;0;0;0;0;0
2020-09-12 05:45:00;25;9;30;0;1;0;0;0;0
2020-09-12 06:00:00;52;8;30;0;0;0;0;0;0
2020-09-12 06:15:00;60;14;49;0;0;0;0;0;0
2020-09-12 06:30:00;38;13;39;1;1;0;0;0;0
2020-09-12 06:45:00;29;7;55;0;0;0;0;0;0
2020-09-12 07:00:00;27;10;55;0;0;0;0;0;0
2020-09-12 07:15:00;36;15;77;1;1;0;0;0;0
2020-09-12 07:30:00;45;34;74;1;1;0;0;0;0
2020-09-12 07:45:00;66;35;94;2;1;0;0;0;0
2020-09-12 08:00:00;63;25;78;0;0;0;0;0;0
2020-09-12 08:15:00;62;33;110;2;2;0;0;0;0
2020-09-12 08:30:00;96;34;112;1;1;0;0;0;0
2020-09-12 08:45:00;97;43;142;0;0;0;0;0;0
2020-09-12 09:00:00;98;42;137;0;0;0;0;0;0
2020-09-12 09:15:00;103;60;159;2;2;0;0;0;0
2020-09-12 09:30:00;128;62;160;1;1;0;0;0;0
2020-09-12 09:45:00;123;63;217;0;0;0;0;0;0
2020-09-12 10:00:00;138;68;199;2;2;1;0;0;0
2020-09-12 10:15:00;139;68;232;3;3;0;0;0;0
2020-09-12 10:30:00;145;68;205;1;1;0;0;0;0
2020-09-12 10:45:00;154;90;259;0;0;1;0;0;0
2020-09-12 11:00:00;129;52;243;3;2;2;0;0;0
2020-09-12 11:15:00;147;89;242;2;2;2;0;0;0
2020-09-12 11:30:00;151;77;255;2;1;1;0;0;0
2020-09-12 11:45:00;175;71;265;1;1;4;0;0;0
2020-09-12 12:00:00;169;80;248;0;0;1;0;0;0
2020-09-12 12:15:00;191;87;259;1;1;2;0;0;0
2020-09-12 12:30:00;185;95;246;4;4;0;0;0;0
2020-09-12 12:45:00;145;102;233;6;6;11;0;0;0
2020-09-12 13:00:00;161;82;230;7;7;3;0;0;0
