DATUM;1(DA1);2(DB1);3(DB2);4(DB3);5(DI1);6(DC1);7(DD1);8(DD2);9(DE1);10(DF1);11(DF2)
2020-09-08 00:00:00;0;0;7;0;0;2;3;2;0;5;1
2020-09-08 00:15:00;0;1;2;1;1;2;6;1;0;3;0
2020-09-08 00:30:00;1;1;1;0;1;2;3;2;2;1;1
2020-09-08 00:45:00;1;3;2;1;2;0;2;1;1;0;2
2020-09-08 01:00:00;0;0;4;1;1;3;1;0;0;0;0
2020-09-08 01:15:00;1;1;5;2;2;2;3;1;0;2;0
2020-09-08 01:30:00;1;2;2;0;1;3;1;0;0;0;3
2020-09-08 01:45:00;0;1;2;0;0;0;1;0;1;1;1
2020-09-08 02:00:00;0;0;2;0;0;1;2;1;0;0;0
2020-09-08 02:15:00;0;1;1;0;0;0;0;0;0;0;0
2020-09-08 02:30:00;0;2;0;0;0;0;1;1;1;2;1
2020-09-08 02:45:00;0;0;0;0;0;0;0;0;0;0;0
2020-09-08 03:00:00;0;0;0;0;0;0;1;1;0;1;0
2020-09-08 03:15:00;0;2;3;0;0;0;1;0;0;0;0
2020-09-08 03:30:00;0;2;0;0;0;0;0;0;0;0;1
2020-09-08 03:45:00;0;0;1;0;0;0;1;0;1;0;3
2020-09-08 04:00:00;0;0;3;1;1;1;0;0;1;3;1
2020-09-08 04:15:00;0;2;2;2;2;1;1;1;0;1;1
2020-09-08 04:30:00;0;2;2;0;0;0;1;1;0;1;1
2020-09-08 04:45:00;1;4;3;1;2;2;1;0;0;4;3
2020-09-08 05:00:00;2;20;15;0;0;1;2;1;3;1;3
2020-09-08 05:15:00;4;34;34;0;1;2;2;0;3;6;8
2020-09-08 05:30:00;2;37;32;3;4;4;9;1;5;14;10
2020-09-08 05:45:00;2;31;39;7;8;2;6;1;9;18;18
2020-09-08 06:00:00;1;19;17;4;4;2;13;1;4;12;13
2020-09-08 06:15:00;5;19;16;7;12;5;15;2;12;21;20
2020-09-08 06:30:00;9;40;24;7;12;4;20;7;7;21;20
2020-09-08 06:45:00;5;38;33;10;13;8;18;3;19;24;24
2020-09-08 07:00:00;3;30;22;18;19;6;19;7;28;38;24
2020-09-08 07:15:00;9;28;43;35;43;17;32;27;60;76;23
2020-09-08 07:30:00;16;56;52;61;68;27;42;40;79;81;36
2020-09-08 07:45:00;9;44;56;25;35;26;56;53;55;58;44
