DATUM;1(DA1);2(DA2);3(DC1);4(DC2);5(TA1A);6(TA2A);7(TA1C);8(TA2C)
2020-10-08 00:00:00;8;13;5;0;0;0;0;0
2020-10-08 00:15:00;12;13;10;0;0;0;0;0
2020-10-08 00:30:00;9;15;11;0;0;0;0;0
2020-10-08 00:45:00;7;12;12;0;0;0;0;0
2020-10-08 01:00:00;8;4;10;0;0;0;0;0
2020-10-08 01:15:00;5;7;4;0;0;0;0;0
2020-10-08 01:30:00;6;5;4;0;0;0;0;0
2020-10-08 01:45:00;6;7;1;0;0;0;0;0
2020-10-08 02:00:00;3;5;4;0;0;0;0;0
2020-10-08 02:15:00;2;9;3;0;0;0;0;0
2020-10-08 02:30:00;6;8;5;0;0;0;0;0
2020-10-08 02:45:00;3;6;3;0;0;0;0;0
2020-10-08 03:00:00;6;3;1;0;0;0;0;0
2020-10-08 03:15:00;3;3;5;0;0;0;0;0
2020-10-08 03:30:00;5;6;7;0;0;0;0;0
2020-10-08 03:45:00;5;7;10;0;0;0;0;0
2020-10-08 04:00:00;8;7;5;0;0;0;0;0
2020-10-08 04:15:00;5;14;10;0;0;0;0;0
2020-10-08 04:30:00;10;21;9;0;0;0;0;0
2020-10-08 04:45:00;16;29;37;0;0;0;0;0
2020-10-08 05:00:00;19;43;63;0;0;0;0;0
2020-10-08 05:15:00;21;52;124;0;0;0;0;0
2020-10-08 05:30:00;33;59;85;0;0;0;0;0
2020-10-08 05:45:00;112;128;58;0;2;0;0;0
2020-10-08 06:00:00;131;165;49;0;0;0;0;0
2020-10-08 06:15:00;80;137;60;0;1;0;0;0
2020-10-08 06:30:00;67;151;65;0;1;0;3;0
2020-10-08 06:45:00;68;149;84;0;0;5;12;0
2020-10-08 07:00:00;67;129;71;0;3;11;16;3
2020-10-08 07:15:00;69;145;90;0;9;13;41;1
2020-10-08 07:30:00;74;166;96;0;11;11;67;3
2020-10-08 07:45:00;90;202;98;0;25;5;29;3
2020-10-08 08:00:00;89;146;88;0;6;2;6;2
2020-10-08 08:15:00;82;187;65;0;4;15;8;1
2020-10-08 08:30:00;69;139;80;0;24;0;8;11
2020-10-08 08:45:00;72;118;64;0;45;0;16;9
2020-10-08 09:00:00;51;142;65;0;0;10;12;0
2020-10-08 09:15:00;63;121;61;0;3;6;10;5
2020-10-08 09:30:00;63;138;73;0;6;12;33;4
2020-10-08 09:45:00;61;157;56;0;16;10;2;3
2020-10-08 10:00:00;75;158;67;0;6;0;5;1
2020-10-08 10:15:00;86;142;68;0;2;9;3;5
2020-10-08 10:30:00;73;147;59;0;8;8;11;4
2020-10-08 10:45:00;83;161;75;0;2;0;0;6
2020-10-08 11:00:00;63;141;59;0;35;4;15;7
2020-10-08 11:15:00;77;151;65;0;5;9;7;1
2020-10-08 11:30:00;90;186;56;0;7;3;4;5
2020-10-08 11:45:00;82;140;65;0;14;0;5;1
2020-10-08 12:00:00;83;178;69;0;8;10;12;6
