DATUM;1(DA1);2(DA2);3(DA3);4(DA4);5(DB1);6(DB2);7(DB3);8(DC1);9(DC2);10(DC3);11(DD1);12(DD2);13(DFR)
2019-10-07 19:45:00;1;20;12;10;14;10;14;19;0;0;0;0;0
2019-10-07 20:00:00;1;27;8;8;9;11;10;29;0;0;0;0;0
2019-10-07 20:15:00;1;26;16;16;8;12;8;23;0;0;0;0;0
2019-10-07 20:30:00;4;31;19;19;5;7;4;24;0;0;0;0;0
2019-10-07 20:45:00;2;38;37;38;6;9;7;31;0;0;0;0;0
2019-10-07 21:00:00;2;45;67;66;10;8;9;55;0;0;0;0;0
2019-10-07 21:15:00;2;80;91;91;7;7;7;51;0;0;0;0;0
2019-10-07 21:30:00;2;35;59;59;14;10;12;68;0;0;0;0;0
2019-10-07 21:45:00;3;41;24;24;32;51;34;33;0;0;0;0;0
2019-10-07 22:00:00;5;51;25;26;28;95;28;71;0;0;0;0;0
2019-10-07 22:15:00;0;13;12;11;11;25;11;34;0;0;0;0;0
2019-10-07 22:30:00;1;10;4;4;6;7;5;9;0;0;0;0;0
2019-10-07 22:45:00;1;9;2;4;9;6;8;12;0;0;0;0;0
2019-10-07 23:00:00;2;9;1;1;4;7;3;8;0;0;0;0;0
2019-10-07 23:15:00;0;6;2;2;6;4;3;3;0;0;0;0;0
2019-10-07 23:30:00;0;3;3;3;2;3;1;3;0;0;0;0;0
2019-10-07 23:45:00;0;3;4;5;6;2;4;8;0;0;0;0;0
