DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2)
2020-01-16 00:00:00;
2020-01-16 00:15:00;
2020-01-16 00:30:00;
2020-01-16 00:45:00;
2020-01-16 01:00:00;3;17;7;1;0;6;13
2020-01-16 01:15:00;7;20;11;1;1;3;6
2020-01-16 01:30:00;6;20;0;1;0;7;7
2020-01-16 01:45:00;6;12;4;0;1;3;4
2020-01-16 02:00:00;0;12;3;1;0;5;3
2020-01-16 02:15:00;3;6;0;1;0;7;8
2020-01-16 02:30:00;3;13;3;0;0;6;5
2020-01-16 02:45:00;2;3;0;2;0;2;4
2020-01-16 03:00:00;2;3;0;0;0;4;5
2020-01-16 03:15:00;2;5;1;1;0;5;5
2020-01-16 03:30:00;3;8;3;2;1;2;4
2020-01-16 03:45:00;0;4;1;2;0;2;3
2020-01-16 04:00:00;1;9;3;1;1;2;2
2020-01-16 04:15:00;3;7;1;2;0;4;4
2020-01-16 04:30:00;3;9;1;0;1;4;3
2020-01-16 04:45:00;2;8;2;0;0;3;7
2020-01-16 05:00:00;1;9;0;5;1;5;6
2020-01-16 05:15:00;4;15;3;4;3;4;6
2020-01-16 05:30:00;6;16;3;2;1;12;16
2020-01-16 05:45:00;19;22;1;12;0;9;12
2020-01-16 06:00:00;42;64;7;16;5;16;28
2020-01-16 06:15:00;90;117;7;15;9;27;39
2020-01-16 06:30:00;102;147;24;23;19;41;47
2020-01-16 06:45:00;79;126;13;28;16;59;69
2020-01-16 07:00:00;80;132;17;34;20;68;80
2020-01-16 07:15:00;110;188;23;48;25;64;85
2020-01-16 07:30:00;165;236;43;68;43;62;96
2020-01-16 07:45:00;159;221;52;70;43;67;80
2020-01-16 08:00:00;141;234;53;92;67;82;86
2020-01-16 08:15:00;166;232;74;105;65;91;125
2020-01-16 08:30:00;151;195;59;110;71;128;95
2020-01-16 08:45:00;190;227;87;88;56;100;94
2020-01-16 09:00:00;155;230;63;75;53;90;107
2020-01-16 09:15:00;152;238;60;84;40;90;104
2020-01-16 09:30:00;113;207;67;70;42;91;106
2020-01-16 09:45:00;87;184;55;64;24;83;100
2020-01-16 10:00:00;63;174;40;58;35;74;82
2020-01-16 10:15:00;59;172;42;56;20;64;99
2020-01-16 10:30:00;66;195;59;60;28;73;99
2020-01-16 10:45:00;68;156;53;52;19;85;107
2020-01-16 11:00:00;73;187;70;55;21;77;101
2020-01-16 11:15:00;64;176;66;48;21;104;119
2020-01-16 11:30:00;95;196;64;73;35;81;105
2020-01-16 11:45:00;60;158;53;41;21;64;79
2020-01-16 12:00:00;83;186;54;60;19;87;102
2020-01-16 12:15:00;74;198;70;49;21;96;99
2020-01-16 12:30:00;74;181;56;59;14;104;128
2020-01-16 12:45:00;86;192;62;53;15;101;125
2020-01-16 13:00:00;78;192;63;44;15;101;118
2020-01-16 13:15:00;85;168;61;45;17;119;127
2020-01-16 13:30:00;82;199;79;59;21;118;104
2020-01-16 13:45:00;76;167;53;56;20;113;119
2020-01-16 14:00:00;127;203;73;67;22;103;120
2020-01-16 14:15:00;139;235;72;59;17;123;133
2020-01-16 14:30:00;140;223;74;54;29;102;107
2020-01-16 14:45:00;111;218;85;74;24;120;121
2020-01-16 15:00:00;104;201;69;65;22;136;156
2020-01-16 15:15:00;67;159;77;63;26;159;157
2020-01-16 15:30:00;100;197;85;66;27;159;164
2020-01-16 15:45:00;99;181;79;63;30;117;149
2020-01-16 16:00:00;106;209;83;77;21;138;146
2020-01-16 16:15:00;98;208;83;66;20;145;165
2020-01-16 16:30:00;129;198;79;75;21;153;164
2020-01-16 16:45:00;119;175;86;69;19;156;137
2020-01-16 17:00:00;142;207;103;75;28;106;111
2020-01-16 17:15:00;170;190;92;71;33;115;116
2020-01-16 17:30:00;145;201;100;66;26;119;115
2020-01-16 17:45:00;150;157;95;67;32;106;103
2020-01-16 18:00:00;164;177;99;63;26;154;143
2020-01-16 18:15:00;154;196;113;76;30;143;138
2020-01-16 18:30:00;143;226;92;69;20;151;147
2020-01-16 18:45:00;128;197;90;68;25;128;133
2020-01-16 19:00:00;110;210;88;55;23;136;146
2020-01-16 19:15:00;122;198;95;56;19;148;136
2020-01-16 19:30:00;89;207;79;45;16;129;135
2020-01-16 19:45:00;74;172;69;64;17;135;146
2020-01-16 20:00:00;71;169;67;54;15;111;131
2020-01-16 20:15:00;83;188;75;41;16;106;110
2020-01-16 20:30:00;54;139;56;45;17;119;107
2020-01-16 20:45:00;40;128;43;25;15;92;105
2020-01-16 21:00:00;48;142;45;46;6;90;102
2020-01-16 21:15:00;33;115;40;28;5;83;85
2020-01-16 21:30:00;53;106;32;32;12;69;64
2020-01-16 21:45:00;44;136;42;14;5;42;52
2020-01-16 22:00:00;56;117;31;15;5;28;70
2020-01-16 22:15:00;70;135;32;11;12;46;57
2020-01-16 22:30:00;50;118;36;15;7;53;58
2020-01-16 22:45:00;29;87;39;7;3;68;81
2020-01-16 23:00:00;44;122;44;14;5;117;127
2020-01-16 23:15:00;42;145;60;10;4;65;81
2020-01-16 23:30:00;22;78;27;8;2;53;55
2020-01-16 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
