DATUM;1(DB1);2(DB2);3(DB3);4(DC1);5(DC2);6(DC3);7(DE1);8(DE2);9(DE3);10(DR2);11(DR3);12(TA1);13(TA2);14(TA3)
2020-08-23 00:00:00;12;19;0;19;26;4;7;7;3;0;1;0;0;0
2020-08-23 00:15:00;28;32;2;18;29;6;9;9;5;2;0;0;0;0
2020-08-23 00:30:00;14;21;0;16;25;9;6;6;4;0;0;0;0;0
2020-08-23 00:45:00;15;26;0;17;24;7;9;14;0;0;0;0;0;0
2020-08-23 01:00:00;15;29;0;17;20;7;3;5;2;0;0;0;0;0
2020-08-23 01:15:00;15;27;0;11;21;3;6;5;5;1;0;0;0;0
2020-08-23 01:30:00;13;13;0;9;14;8;6;4;3;0;0;0;0;0
2020-08-23 01:45:00;8;26;0;18;20;1;4;4;2;0;0;0;0;0
2020-08-23 02:00:00;6;10;0;11;18;4;4;3;2;0;0;0;0;0
2020-08-23 02:15:00;8;11;0;7;20;4;3;2;1;0;0;0;0;0
2020-08-23 02:30:00;8;13;0;5;13;6;2;1;0;0;0;0;0;0
2020-08-23 02:45:00;11;9;0;4;13;5;3;7;0;0;0;0;0;0
2020-08-23 03:00:00;4;8;0;3;11;4;1;2;2;0;0;0;0;0
2020-08-23 03:15:00;4;6;0;2;6;3;2;2;0;0;0;0;0;0
2020-08-23 03:30:00;3;4;0;2;4;1;0;0;1;1;1;0;0;0
2020-08-23 03:45:00;5;7;0;3;5;2;0;0;0;0;0;0;0;0
2020-08-23 04:00:00;5;6;0;5;8;1;0;2;0;0;0;0;0;0
2020-08-23 04:15:00;4;2;0;7;12;3;2;3;2;0;0;0;0;0
2020-08-23 04:30:00;2;4;0;2;6;0;3;2;0;0;0;0;0;0
2020-08-23 04:45:00;5;3;0;4;11;1;0;0;0;0;0;0;0;0
2020-08-23 05:00:00;4;4;0;3;9;1;1;2;0;0;0;0;0;0
2020-08-23 05:15:00;6;4;0;5;11;4;0;2;2;0;0;0;0;0
2020-08-23 05:30:00;6;15;0;3;11;6;1;4;0;0;0;0;0;0
2020-08-23 05:45:00;10;18;0;6;10;2;1;0;1;0;0;0;0;0
2020-08-23 06:00:00;6;15;0;5;9;0;0;1;1;0;1;0;0;0
2020-08-23 06:15:00;8;8;0;6;17;5;0;2;3;0;1;0;0;0
2020-08-23 06:30:00;6;8;0;8;9;0;1;6;2;0;0;0;0;0
2020-08-23 06:45:00;2;13;0;7;21;5;0;3;0;0;0;0;0;0
2020-08-23 07:00:00;11;14;0;11;17;4;0;2;0;0;0;0;0;0
2020-08-23 07:15:00;14;19;1;11;18;4;0;3;2;0;0;0;0;0
2020-08-23 07:30:00;6;17;1;13;23;10;1;2;0;0;0;0;0;0
2020-08-23 07:45:00;15;28;1;16;16;16;2;2;4;1;0;0;0;0
2020-08-23 08:00:00;10;22;2;15;24;6;2;3;2;1;0;0;0;0
