DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DB3);7(DC1);8(DC2)
2019-10-27 00:00:00;17;22;10;11;9;19;19;17
2019-10-27 00:15:00;10;14;11;7;6;17;16;14
2019-10-27 00:30:00;13;14;7;5;5;13;15;15
2019-10-27 00:45:00;16;23;11;5;4;7;26;8
2019-10-27 01:00:00;5;11;5;3;7;11;19;13
2019-10-27 01:15:00;7;16;7;9;6;16;21;10
2019-10-27 01:30:00;15;14;5;4;7;9;12;4
2019-10-27 01:45:00;10;7;3;13;17;25;22;14
2019-10-27 02:00:00;10;11;5;3;2;9;19;6
2019-10-27 02:15:00;17;10;6;4;4;8;15;10
2019-10-27 02:30:00;4;10;4;5;6;10;11;3
2019-10-27 02:45:00;4;7;2;5;5;8;16;5
2019-10-27 02:00:00;12;15;5;5;3;12;26;13
2019-10-27 02:15:00;19;16;9;6;8;14;22;15
2019-10-27 02:30:00;12;16;6;10;10;17;17;10
2019-10-27 02:45:00;9;12;6;7;8;10;25;9
2019-10-27 03:00:00;7;7;4;3;3;5;13;8
2019-10-27 03:15:00;6;5;3;2;4;4;13;2
2019-10-27 03:30:00;7;7;4;1;2;3;7;2
2019-10-27 03:45:00;3;2;2;1;3;3;8;9
2019-10-27 04:00:00;4;3;2;2;2;4;5;4
2019-10-27 04:15:00;5;4;0;1;3;4;9;5
2019-10-27 04:30:00;7;9;4;0;1;3;9;5
2019-10-27 04:45:00;4;5;1;3;2;4;11;4
2019-10-27 05:00:00;4;9;6;8;5;9;9;4
2019-10-27 05:15:00;4;11;10;7;10;14;8;4
2019-10-27 05:30:00;6;9;5;2;4;7;4;6
2019-10-27 05:45:00;9;4;5;3;5;5;9;3
2019-10-27 06:00:00;7;7;5;3;3;6;7;8
2019-10-27 06:15:00;16;17;9;7;6;11;11;4
2019-10-27 06:30:00;6;8;11;8;6;16;15;2
2019-10-27 06:45:00;20;14;12;12;9;17;16;7
2019-10-27 07:00:00;10;11;12;4;2;11;11;5
2019-10-27 07:15:00;17;13;17;8;12;23;17;7
2019-10-27 07:30:00;19;19;21;12;9;21;32;10
2019-10-27 07:45:00;23;28;20;11;11;25;37;14
2019-10-27 08:00:00;31;35;25;15;18;30;34;13
2019-10-27 08:15:00;42;44;33;14;15;27;51;27
2019-10-27 08:30:00;47;46;34;14;13;39;53;22
2019-10-27 08:45:00;60;61;36;22;33;67;59;43
2019-10-27 09:00:00;42;44;28;22;22;54;46;29
2019-10-27 09:15:00;52;54;36;20;17;58;70;51
2019-10-27 09:30:00;65;78;30;15;16;46;86;48
2019-10-27 09:45:00;62;70;34;20;26;59;63;44
2019-10-27 10:00:00;65;59;49;17;23;58;62;46
2019-10-27 10:15:00;68;73;41;15;16;48;65;53
2019-10-27 10:30:00;72;69;31;22;28;65;87;66
2019-10-27 10:45:00;56;80;54;22;26;62;71;55
2019-10-27 11:00:00;72;73;43;23;25;63;77;42
2019-10-27 11:15:00;62;57;38;19;25;57;69;52
2019-10-27 11:30:00;70;56;46;21;21;58;63;55
2019-10-27 11:45:00;73;55;32;25;34;72;85;72
2019-10-27 12:00:00;60;69;35;17;23;57;62;43
2019-10-27 12:15:00;54;54;43;17;19;56;71;53
2019-10-27 12:30:00;49;64;36;16;16;56;60;49
2019-10-27 12:45:00;59;72;47;26;12;46;48;41
2019-10-27 13:00:00;52;57;41;40;22;51;55;57
2019-10-27 13:15:00;50;63;49;66;28;83;53;44
2019-10-27 13:30:00;44;70;44;25;22;55;45;42
2019-10-27 13:45:00;55;60;41;43;27;76;63;58
2019-10-27 14:00:00;65;60;41;61;21;67;68;69
2019-10-27 14:15:00;56;53;40;37;22;81;67;63
2019-10-27 14:30:00;44;49;30;57;33;92;72;59
2019-10-27 14:45:00;48;64;40;52;22;66;73;62
2019-10-27 15:00:00;46;65;38;29;25;71;54;58
2019-10-27 15:15:00;51;55;42;28;22;71;69;62
2019-10-27 15:30:00;48;51;43;26;43;69;61;67
2019-10-27 15:45:00;45;50;33;32;28;86;65;59
2019-10-27 16:00:00;54;46;33;20;19;75;60;56
2019-10-27 16:15:00;41;60;43;23;31;89;50;54
2019-10-27 16:30:00;61;68;44;29;27;92;62;59
2019-10-27 16:45:00;51;61;58;29;40;104;65;63
2019-10-27 17:00:00;51;60;53;31;35;105;72;64
2019-10-27 17:15:00;34;59;40;25;25;70;70;70
2019-10-27 17:30:00;53;53;41;29;30;84;78;62
2019-10-27 17:45:00;46;57;32;25;35;86;72;69
2019-10-27 18:00:00;38;44;24;24;25;92;81;67
2019-10-27 18:15:00;43;44;42;24;25;80;62;63
2019-10-27 18:30:00;30;37;27;22;20;64;61;62
2019-10-27 18:45:00;34;36;26;21;26;69;59;55
2019-10-27 19:00:00;34;41;23;12;17;59;56;41
2019-10-27 19:15:00;27;40;29;19;22;64;62;47
2019-10-27 19:30:00;37;44;23;17;18;60;45;49
2019-10-27 19:45:00;30;24;25;21;15;72;61;48
2019-10-27 20:00:00;29;32;30;9;12;50;54;40
2019-10-27 20:15:00;26;37;32;14;13;51;48;36
2019-10-27 20:30:00;26;30;31;13;10;42;36;33
2019-10-27 20:45:00;16;22;32;16;17;45;42;26
2019-10-27 21:00:00;23;25;26;17;9;34;24;24
2019-10-27 21:15:00;28;21;21;19;14;44;35;28
2019-10-27 21:30:00;15;16;21;10;12;45;38;29
2019-10-27 21:45:00;11;11;20;9;11;32;30;24
2019-10-27 22:00:00;14;17;14;7;8;25;32;22
2019-10-27 22:15:00;15;19;12;22;16;40;19;17
2019-10-27 22:30:00;16;16;7;6;9;25;21;19
2019-10-27 22:45:00;13;9;6;9;11;34;20;13
2019-10-27 23:00:00;8;21;12;6;4;17;22;10
2019-10-27 23:15:00;7;18;8;8;7;25;23;14
2019-10-27 23:30:00;5;6;1;3;4;10;17;8
2019-10-27 23:45:00;3;5;4;2;2;13;13;7
