DATUM;1(DA1);2(DB1);3(DB2);4(DC1);5(DC2);9(TAFGB1);10(TAFGB2);11(TARDD);12(TAFBA);13(TAFBB);14(TAFGE);15(TAFBE)
2020-09-10 00:00:00;1;4;4;4;1;0;0;0;0;0;0;0
2020-09-10 00:15:00;2;5;6;6;5;0;0;0;0;0;0;0
2020-09-10 00:30:00;5;4;1;8;4;0;0;0;0;0;0;0
2020-09-10 00:45:00;3;6;4;5;6;0;0;0;0;0;0;0
2020-09-10 01:00:00;1;5;3;4;3;0;0;0;0;0;0;0
2020-09-10 01:15:00;1;2;3;4;4;0;0;0;0;0;0;0
2020-09-10 01:30:00;1;5;8;1;4;0;0;0;0;0;0;0
2020-09-10 01:45:00;0;1;2;4;0;0;0;0;0;0;0;0
2020-09-10 02:00:00;0;1;1;4;0;0;0;0;0;0;0;0
2020-09-10 02:15:00;3;4;3;0;0;0;0;0;0;0;0;0
2020-09-10 02:30:00;0;4;3;3;2;0;0;0;0;0;0;0
2020-09-10 02:45:00;1;2;3;2;5;0;0;0;0;0;0;0
2020-09-10 03:00:00;2;2;1;3;0;0;0;0;0;0;0;0
2020-09-10 03:15:00;2;5;1;3;4;0;0;0;0;0;0;0
2020-09-10 03:30:00;0;2;3;1;0;0;0;0;0;0;0;0
2020-09-10 03:45:00;1;2;2;3;1;0;0;0;0;0;0;0
2020-09-10 04:00:00;0;4;2;4;1;0;0;0;0;0;0;0
2020-09-10 04:15:00;0;3;6;7;1;0;0;0;0;0;0;0
2020-09-10 04:30:00;0;9;9;4;2;0;0;0;0;0;0;0
2020-09-10 04:45:00;5;9;4;8;5;0;0;0;0;0;0;0
2020-09-10 05:00:00;9;17;11;13;10;0;0;0;0;0;0;0
2020-09-10 05:15:00;10;34;24;37;34;0;0;0;0;0;0;0
2020-09-10 05:30:00;16;33;24;34;29;0;0;0;0;0;1;0
2020-09-10 05:45:00;17;44;47;48;37;0;0;0;0;0;0;0
2020-09-10 06:00:00;15;41;38;41;25;0;0;0;0;0;0;0
2020-09-10 06:15:00;14;53;54;66;46;1;0;0;0;2;0;0
2020-09-10 06:30:00;16;49;37;75;75;3;1;0;0;41;4;5
2020-09-10 06:45:00;17;54;50;90;94;1;1;0;0;9;0;0
2020-09-10 07:00:00;16;49;40;107;120;5;0;0;0;118;0;0
2020-09-10 07:15:00;22;49;33;146;180;3;10;0;0;69;4;10
2020-09-10 07:30:00;27;77;45;118;156;5;3;0;0;16;13;46
2020-09-10 07:45:00;26;87;72;76;151;4;4;0;0;30;5;7
2020-09-10 08:00:00;21;64;44;82;90;0;2;0;0;12;3;10
2020-09-10 08:15:00;21;65;47;70;72;2;0;0;0;5;10;29
2020-09-10 08:30:00;14;39;65;79;79;3;5;0;0;12;3;1
2020-09-10 08:45:00;13;62;47;68;65;2;3;0;0;1;2;3
2020-09-10 09:00:00;11;48;59;57;39;5;5;0;0;2;7;21
2020-09-10 09:15:00;17;37;50;68;50;3;4;0;0;2;2;0
2020-09-10 09:30:00;16;59;45;55;54;3;0;0;0;2;4;0
2020-09-10 09:45:00;13;78;52;54;57;1;1;0;0;4;2;0
2020-09-10 10:00:00;20;50;47;52;35;7;4;0;0;0;3;1
2020-09-10 10:15:00;26;43;56;48;44;2;1;0;0;2;3;6
2020-09-10 10:30:00;14;63;40;63;63;2;4;0;0;17;0;0
2020-09-10 10:45:00;24;58;65;50;52;3;4;0;0;4;1;0
2020-09-10 11:00:00;16;53;46;51;38;2;3;0;0;16;3;3
2020-09-10 11:15:00;12;80;52;70;58;6;2;0;0;11;7;21
2020-09-10 11:30:00;25;66;67;63;55;1;6;0;18;9;31;69
2020-09-10 11:45:00;24;64;68;55;47;6;2;0;0;5;10;32
2020-09-10 12:00:00;21;78;69;62;52;1;3;0;17;24;3;12
2020-09-10 12:15:00;22;86;61;49;50;1;5;0;3;32;7;5
2020-09-10 12:30:00;14;71;41;57;44;2;3;0;0;4;19;158
2020-09-10 12:45:00;22;90;75;55;48;1;4;0;0;12;0;0
2020-09-10 13:00:00;25;82;68;70;40;1;0;0;0;0;8;3
2020-09-10 13:15:00;15;71;68;37;24;1;3;0;0;19;4;16
2020-09-10 13:30:00;17;77;91;73;65;0;3;0;0;2;11;27
