DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DD1);9(DE1);10(DE2);11(DA4);12(TAA);13(TAFBA);14(TAFBB);15(TAC);16(TAFBC);17(TAFBD);18(TAFBE)
2020-07-11 15:30:00;17;23;11;0;1;24;33;6;0;0;0;3;2;0;0;0;0;0
2020-07-11 15:45:00;7;34;11;0;0;23;29;3;0;0;0;0;0;0;0;0;0;0
2020-07-11 16:00:00;10;31;10;0;1;23;29;3;0;0;0;2;0;0;0;0;0;0
2020-07-11 16:15:00;9;30;15;0;1;16;33;4;0;0;0;9;0;0;0;0;0;0
2020-07-11 16:30:00;16;43;12;0;1;14;18;2;0;0;0;0;0;0;0;0;0;0
2020-07-11 16:45:00;9;26;9;0;2;16;22;2;0;0;0;2;0;0;0;0;0;0
2020-07-11 17:00:00;12;35;14;0;3;21;24;0;0;0;0;46;0;0;0;0;0;0
2020-07-11 17:15:00;12;25;9;0;0;20;30;1;0;0;0;0;0;0;0;0;0;0
2020-07-11 17:30:00;11;38;13;0;2;23;18;2;0;0;0;1;2;0;0;0;0;0
2020-07-11 17:45:00;12;27;12;0;0;19;27;1;0;0;0;2;0;0;0;0;0;0
2020-07-11 18:00:00;12;31;15;0;0;16;26;3;0;0;0;6;0;0;0;0;0;0
2020-07-11 18:15:00;8;37;18;0;0;24;33;1;0;0;0;2;4;0;0;0;0;0
2020-07-11 18:30:00;9;27;16;0;0;27;22;0;0;0;0;8;7;0;0;0;0;0
2020-07-11 18:45:00;7;27;9;0;0;21;14;0;0;0;0;8;0;0;0;0;0;0
2020-07-11 19:00:00;8;27;16;0;0;17;23;0;0;0;0;3;0;0;0;0;0;0
2020-07-11 19:15:00;7;26;17;0;5;17;14;0;0;0;0;3;0;0;0;0;0;0
2020-07-11 19:30:00;4;26;13;0;0;16;31;1;0;0;1;2;0;0;0;0;0;0
2020-07-11 19:45:00;1;20;13;0;3;6;17;0;0;0;0;0;0;0;0;0;0;0
2020-07-11 20:00:00;11;28;18;0;0;24;31;1;0;0;0;0;0;0;0;0;0;0
2020-07-11 20:15:00;3;21;10;0;0;16;25;1;0;0;0;0;0;0;0;0;0;0
2020-07-11 20:30:00;5;23;14;0;0;16;17;0;0;0;0;0;0;0;0;0;0;0
2020-07-11 20:45:00;3;20;8;0;5;5;10;1;0;0;1;0;0;0;0;0;0;0
2020-07-11 21:00:00;5;18;7;0;0;8;23;1;0;0;0;0;0;0;0;0;0;0
2020-07-11 21:15:00;3;16;4;0;1;4;19;1;0;0;0;0;0;0;0;0;0;0
2020-07-11 21:30:00;1;12;9;0;0;7;8;0;0;0;0;0;0;0;0;0;0;0
2020-07-11 21:45:00;6;18;8;0;0;9;15;1;0;0;0;0;0;0;0;0;0;0
2020-07-11 22:00:00;4;21;12;0;0;6;15;0;0;0;0;0;0;0;0;0;0;0
2020-07-11 22:15:00;3;11;4;0;1;6;11;0;0;0;0;0;0;0;0;0;0;0
2020-07-11 22:30:00;4;19;2;0;0;7;12;1;0;0;0;0;0;0;0;0;0;0
2020-07-11 22:45:00;2;8;7;0;0;8;8;0;0;0;0;0;0;0;0;0;0;0
2020-07-11 23:00:00;9;19;9;0;0;8;6;0;0;0;0;7;0;0;0;0;0;0
2020-07-11 23:15:00;2;13;6;0;0;10;8;0;0;0;0;0;0;0;0;0;0;0
2020-07-11 23:30:00;1;12;6;0;0;7;9;1;0;0;0;0;0;0;0;0;0;0
2020-07-11 23:45:00;2;10;6;0;0;9;14;1;0;0;0;0;0;0;0;0;0;0
