DATUM;1(DA1);2(DB1);3(DB2);4(DB3);5(DI1);6(DC1);7(DD1);8(DD2);9(DE1);10(DF1);11(DF2)
2019-08-12 00:00:00;0;9;9;1;2;1;0;1;2;3;1
2019-08-12 00:15:00;0;5;5;0;0;0;6;1;1;4;2
2019-08-12 00:30:00;0;2;1;0;0;0;1;2;1;2;2
2019-08-12 00:45:00;1;1;2;0;0;0;0;0;0;2;7
2019-08-12 01:00:00;0;0;2;0;0;0;3;0;1;1;0
2019-08-12 01:15:00;0;1;1;0;0;0;1;0;0;1;1
2019-08-12 01:30:00;0;0;1;0;0;0;0;0;1;1;1
2019-08-12 01:45:00;0;2;1;0;1;2;1;1;0;1;0
2019-08-12 02:00:00;0;0;5;0;1;0;1;1;0;1;1
2019-08-12 02:15:00;0;0;2;0;0;0;0;0;0;1;1
2019-08-12 02:30:00;0;1;3;0;0;0;1;0;0;2;1
2019-08-12 02:45:00;0;0;0;0;0;0;0;0;0;0;3
2019-08-12 03:00:00;1;1;3;1;1;0;1;0;0;1;1
2019-08-12 03:15:00;0;1;0;0;0;0;1;0;0;1;1
2019-08-12 03:30:00;0;1;2;0;0;1;1;0;0;1;1
2019-08-12 03:45:00;1;1;3;1;2;0;0;0;0;1;0
2019-08-12 04:00:00;0;2;2;0;0;1;1;0;2;1;3
2019-08-12 04:15:00;1;0;1;1;2;1;3;0;0;0;3
2019-08-12 04:30:00;2;0;2;1;3;0;2;0;0;1;4
2019-08-12 04:45:00;0;3;2;0;0;0;3;0;1;2;4
2019-08-12 05:00:00;1;4;7;0;0;0;3;0;2;6;3
2019-08-12 05:15:00;6;16;7;0;4;1;2;0;0;5;6
2019-08-12 05:30:00;1;25;10;2;2;0;4;0;2;13;4
2019-08-12 05:45:00;0;19;14;5;4;5;7;3;5;19;14
2019-08-12 06:00:00;3;22;6;2;3;4;11;2;5;4;8
2019-08-12 06:15:00;3;24;19;5;8;5;13;4;7;15;9
2019-08-12 06:30:00;4;34;37;1;4;6;14;4;10;16;13
2019-08-12 06:45:00;4;34;29;5;6;7;14;8;15;16;20
2019-08-12 07:00:00;7;26;29;3;9;9;17;5;11;17;11
2019-08-12 07:15:00;7;37;24;10;13;11;21;12;16;22;17
2019-08-12 07:30:00;3;42;41;4;6;15;24;6;16;23;24
2019-08-12 07:45:00;12;29;34;9;17;11;27;10;26;26;22
2019-08-12 08:00:00;5;29;29;8;15;11;19;10;14;19;19
2019-08-12 08:15:00;12;30;19;9;15;8;28;7;19;29;23
2019-08-12 08:30:00;9;22;22;9;15;15;25;16;17;17;20
2019-08-12 08:45:00;12;32;31;7;12;20;27;20;23;32;17
2019-08-12 09:00:00;5;21;37;6;11;7;14;7;20;16;16
2019-08-12 09:15:00;5;33;46;11;12;12;27;12;23;27;16
2019-08-12 09:30:00;9;35;39;10;16;13;30;9;30;23;19
2019-08-12 09:45:00;7;26;31;6;13;19;20;13;30;21;15
2019-08-12 10:00:00;7;30;24;4;7;21;22;12;16;15;13
2019-08-12 10:15:00;6;21;32;11;15;19;34;19;28;29;20
2019-08-12 10:30:00;11;25;34;8;19;21;24;24;33;24;22
2019-08-12 10:45:00;9;34;43;9;16;13;27;22;29;31;21
2019-08-12 11:00:00;8;27;34;6;9;19;23;20;27;23;29
2019-08-12 11:15:00;12;38;39;13;18;18;30;9;30;22;21
2019-08-12 11:30:00;7;23;45;3;8;12;20;24;23;18;22
2019-08-12 11:45:00;6;23;37;2;6;17;23;25;18;23;24
2019-08-12 12:00:00;3;34;35;5;5;16;22;15;21;21;12
2019-08-12 12:15:00;5;33;43;8;11;19;18;19;18;21;13
2019-08-12 12:30:00;3;33;36;8;9;16;32;16;22;28;24
2019-08-12 12:45:00;6;36;42;3;10;17;22;22;21;14;18
2019-08-12 13:00:00;4;37;34;9;12;13;24;18;23;17;18
2019-08-12 13:15:00;5;32;29;6;10;24;32;16;22;23;23
2019-08-12 13:30:00;5;28;28;12;15;15;27;15;23;17;29
2019-08-12 13:45:00;8;34;39;12;16;14;24;15;24;24;26
2019-08-12 14:00:00;5;22;37;12;12;8;26;23;27;27;29
2019-08-12 14:15:00;6;29;34;7;11;20;25;23;27;35;28
2019-08-12 14:30:00;17;25;47;2;11;20;29;28;26;30;35
2019-08-12 14:45:00;8;19;53;15;24;18;25;22;31;22;28
2019-08-12 15:00:00;2;22;51;4;8;15;30;19;29;29;31
2019-08-12 15:15:00;6;32;53;10;12;17;29;26;27;28;37
2019-08-12 15:30:00;8;33;34;9;15;18;32;24;21;21;25
2019-08-12 15:45:00;8;37;41;15;15;26;28;20;30;20;32
2019-08-12 16:00:00;16;39;38;6;17;20;33;23;23;22;41
2019-08-12 16:15:00;5;41;44;7;12;23;39;24;23;25;38
2019-08-12 16:30:00;7;40;45;7;14;16;25;14;23;19;37
2019-08-12 16:45:00;6;43;36;14;19;7;31;18;38;31;30
2019-08-12 17:00:00;9;35;42;7;14;15;29;15;19;23;32
2019-08-12 17:15:00;8;49;51;5;14;16;31;16;23;20;31
2019-08-12 17:30:00;3;38;37;7;11;22;31;9;26;32;28
2019-08-12 17:45:00;11;32;30;5;13;14;22;11;21;23;22
2019-08-12 18:00:00;4;33;27;5;5;10;31;13;23;22;34
2019-08-12 18:15:00;6;32;38;8;14;16;24;10;10;11;20
2019-08-12 18:30:00;3;34;31;7;10;16;34;18;15;13;24
2019-08-12 18:45:00;7;25;28;4;7;7;19;14;14;18;17
2019-08-12 19:00:00;5;23;18;7;8;8;23;10;12;10;17
2019-08-12 19:15:00;4;23;31;5;9;20;19;5;15;11;8
2019-08-12 19:30:00;1;23;21;4;5;6;17;7;14;12;11
2019-08-12 19:45:00;3;23;27;4;5;5;15;8;8;14;11
2019-08-12 20:00:00;7;18;24;6;4;10;14;7;10;14;10
2019-08-12 20:15:00;3;15;20;6;9;7;14;10;10;12;9
2019-08-12 20:30:00;3;14;13;3;5;3;13;5;8;2;8
2019-08-12 20:45:00;3;14;12;3;4;7;9;6;5;9;9
2019-08-12 21:00:00;1;7;13;2;3;10;20;2;6;11;10
2019-08-12 21:15:00;3;3;11;2;4;8;20;4;3;8;10
2019-08-12 21:30:00;0;10;14;0;0;8;5;4;7;8;14
2019-08-12 21:45:00;1;6;9;1;1;7;9;1;6;8;10
2019-08-12 22:00:00;0;8;9;1;1;6;9;3;5;4;7
2019-08-12 22:15:00;0;9;12;3;3;3;7;2;2;5;11
2019-08-12 22:30:00;0;5;9;1;1;3;6;4;8;6;8
