DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(TAFGA);9(TAFGC)
2020-04-18 00:00:00;0;0;1;0;0;0;5;0;0
2020-04-18 00:15:00;1;2;4;1;1;1;4;0;0
2020-04-18 00:30:00;1;3;3;0;0;0;2;0;0
2020-04-18 00:45:00;1;4;4;0;0;0;5;0;0
2020-04-18 01:00:00;1;2;4;0;0;0;2;0;0
2020-04-18 01:15:00;0;1;1;0;0;0;3;0;0
2020-04-18 01:30:00;0;0;0;0;0;0;1;0;0
2020-04-18 01:45:00;0;0;0;0;0;0;0;0;0
2020-04-18 02:00:00;0;1;1;0;0;0;1;0;0
2020-04-18 02:15:00;0;3;2;0;0;0;0;0;0
2020-04-18 02:30:00;0;0;0;0;0;0;1;0;0
2020-04-18 02:45:00;0;0;1;0;0;0;1;0;0
2020-04-18 03:00:00;0;1;1;1;1;1;2;0;0
2020-04-18 03:15:00;0;1;1;0;0;0;0;0;0
2020-04-18 03:30:00;0;1;2;0;0;0;1;0;0
2020-04-18 03:45:00;0;1;1;0;0;0;2;0;0
2020-04-18 04:00:00;2;2;3;2;1;1;2;0;0
2020-04-18 04:15:00;2;1;1;0;0;0;0;0;0
2020-04-18 04:30:00;0;1;1;1;0;0;1;0;0
2020-04-18 04:45:00;0;1;1;1;0;0;2;0;0
2020-04-18 05:00:00;1;3;5;0;0;0;1;0;0
2020-04-18 05:15:00;1;2;3;1;0;0;5;0;0
2020-04-18 05:30:00;5;9;13;3;0;0;18;0;0
2020-04-18 05:45:00;2;4;7;0;0;0;8;0;0
2020-04-18 06:00:00;4;5;12;3;0;0;14;0;0
2020-04-18 06:15:00;5;7;6;2;0;0;7;0;0
2020-04-18 06:30:00;10;6;16;6;0;1;15;0;0
2020-04-18 06:45:00;7;6;12;2;0;0;11;0;0
2020-04-18 07:00:00;4;5;12;4;2;1;15;0;0
2020-04-18 07:15:00;9;8;16;0;0;0;10;0;0
2020-04-18 07:30:00;7;9;18;0;0;0;13;0;0
2020-04-18 07:45:00;11;10;22;2;2;0;10;1;7
2020-04-18 08:00:00;8;9;15;3;2;1;12;0;0
2020-04-18 08:15:00;8;8;18;2;2;2;11;0;0
2020-04-18 08:30:00;6;10;18;6;5;2;14;2;0
2020-04-18 08:45:00;4;12;19;2;3;2;20;1;0
2020-04-18 09:00:00;13;17;29;3;1;1;27;0;5
2020-04-18 09:15:00;8;17;29;4;4;0;42;0;5
2020-04-18 09:30:00;14;15;31;9;5;3;36;9;5
2020-04-18 09:45:00;21;14;33;6;5;1;28;7;17
2020-04-18 10:00:00;21;13;36;6;3;1;28;8;4
2020-04-18 10:15:00;21;19;42;7;2;4;40;0;9
2020-04-18 10:30:00;18;32;44;8;6;1;31;4;0
2020-04-18 10:45:00;11;18;31;11;5;6;40;10;2
2020-04-18 11:00:00;19;25;40;72;2;0;37;0;6
2020-04-18 11:15:00;25;27;42;6;5;0;40;0;2
2020-04-18 11:30:00;25;31;49;7;2;4;45;2;7
2020-04-18 11:45:00;19;24;42;4;1;0;37;5;2
2020-04-18 12:00:00;14;13;27;7;3;0;41;2;5
2020-04-18 12:15:00;37;29;51;12;8;5;51;4;22
2020-04-18 12:30:00;22;20;41;7;6;1;33;7;2
2020-04-18 12:45:00;29;33;59;7;1;0;50;1;9
2020-04-18 13:00:00;31;35;65;5;4;2;51;0;24
2020-04-18 13:15:00;18;31;51;12;7;3;66;1;2
2020-04-18 13:30:00;29;35;52;14;6;4;53;0;4
2020-04-18 13:45:00;24;24;47;10;7;1;36;2;2
2020-04-18 14:00:00;28;32;55;9;6;4;42;0;8
2020-04-18 14:15:00;19;22;41;13;5;2;38;3;1
2020-04-18 14:30:00;23;13;36;6;3;4;45;6;5
2020-04-18 14:45:00;23;24;41;9;7;2;35;0;10
2020-04-18 15:00:00;15;24;47;9;7;2;45;4;4
2020-04-18 15:15:00;22;28;45;8;5;0;33;1;6
2020-04-18 15:30:00;18;23;50;8;5;5;44;16;5
2020-04-18 15:45:00;22;24;44;11;6;1;36;14;9
2020-04-18 16:00:00;26;27;51;11;6;1;43;14;13
2020-04-18 16:15:00;26;26;43;9;5;2;35;4;3
2020-04-18 16:30:00;23;33;62;8;7;7;44;3;11
2020-04-18 16:45:00;22;17;35;7;5;7;34;6;6
2020-04-18 17:00:00;26;21;36;7;4;0;45;1;10
2020-04-18 17:15:00;19;25;43;6;4;1;44;0;6
2020-04-18 17:30:00;25;24;43;9;8;3;23;0;14
2020-04-18 17:45:00;18;17;31;2;2;0;25;0;7
2020-04-18 18:00:00;16;16;29;4;3;1;34;3;0
2020-04-18 18:15:00;20;18;35;6;6;3;42;0;2
2020-04-18 18:30:00;18;19;36;4;3;2;36;0;1
2020-04-18 18:45:00;18;17;34;8;7;2;26;0;1
2020-04-18 19:00:00;19;24;43;2;3;0;36;0;0
2020-04-18 19:15:00;11;24;36;14;9;3;34;5;1
2020-04-18 19:30:00;13;17;28;5;5;0;37;13;1
2020-04-18 19:45:00;16;29;36;2;1;1;26;26;2
2020-04-18 20:00:00;6;16;27;3;2;3;32;0;1
2020-04-18 20:15:00;7;12;21;2;2;2;25;1;0
2020-04-18 20:30:00;8;13;23;1;1;0;16;0;0
2020-04-18 20:45:00;15;14;27;2;2;1;27;0;0
2020-04-18 21:00:00;7;14;18;3;2;3;17;0;1
2020-04-18 21:15:00;7;14;25;3;2;0;11;0;0
2020-04-18 21:30:00;3;8;12;3;3;1;7;0;0
2020-04-18 21:45:00;6;4;14;3;2;1;14;0;0
2020-04-18 22:00:00;1;4;7;6;3;1;14;0;0
2020-04-18 22:15:00;0;6;9;2;1;0;4;0;0
2020-04-18 22:30:00;4;10;11;2;2;1;6;0;0
2020-04-18 22:45:00;3;3;7;1;1;0;11;0;0
2020-04-18 23:00:00;5;5;8;3;1;1;7;0;0
2020-04-18 23:15:00;4;9;12;0;0;0;8;0;0
2020-04-18 23:30:00;3;2;6;0;0;1;7;0;0
2020-04-18 23:45:00;4;3;9;1;0;0;11;0;0
