DATUM;1(DA1);2(DA2);3(DC1);4(DC2);5(TA1A);6(TA2A);7(TA1C);8(TA2C)
2020-04-18 00:00:00;1;7;2;0;0;0;0;0
2020-04-18 00:15:00;6;11;5;0;0;0;0;0
2020-04-18 00:30:00;5;11;4;0;0;0;0;0
2020-04-18 00:45:00;2;4;3;0;0;0;0;0
2020-04-18 01:00:00;4;6;0;0;0;0;0;0
2020-04-18 01:15:00;3;8;3;0;0;0;0;0
2020-04-18 01:30:00;1;6;2;0;0;0;0;0
2020-04-18 01:45:00;1;8;1;0;0;0;0;0
2020-04-18 02:00:00;1;1;1;0;0;0;0;0
2020-04-18 02:15:00;3;6;1;0;0;0;0;0
2020-04-18 02:30:00;2;7;4;0;0;0;0;0
2020-04-18 02:45:00;0;0;0;0;0;0;0;0
2020-04-18 03:00:00;1;4;3;0;0;0;0;0
2020-04-18 03:15:00;3;6;4;0;0;0;0;0
2020-04-18 03:30:00;1;1;0;0;0;0;0;0
2020-04-18 03:45:00;2;0;0;0;0;0;0;0
2020-04-18 04:00:00;2;6;1;0;0;0;0;0
2020-04-18 04:15:00;3;5;1;0;0;0;0;0
2020-04-18 04:30:00;8;5;2;0;0;0;0;0
2020-04-18 04:45:00;9;8;3;0;0;0;0;0
2020-04-18 05:00:00;8;7;2;0;0;0;0;0
2020-04-18 05:15:00;3;10;7;0;0;0;0;0
2020-04-18 05:30:00;8;13;8;0;0;0;0;0
2020-04-18 05:45:00;14;24;7;0;0;0;0;0
2020-04-18 06:00:00;13;25;7;0;0;0;0;0
2020-04-18 06:15:00;11;28;8;0;0;0;0;0
2020-04-18 06:30:00;10;33;8;0;0;0;0;0
2020-04-18 06:45:00;8;24;8;0;0;0;0;0
2020-04-18 07:00:00;13;23;19;0;0;0;0;0
2020-04-18 07:15:00;18;34;9;0;0;0;0;0
2020-04-18 07:30:00;16;27;10;0;0;0;0;0
2020-04-18 07:45:00;17;24;13;0;0;0;0;0
2020-04-18 08:00:00;15;35;21;0;0;0;0;0
2020-04-18 08:15:00;13;44;17;0;0;0;0;0
2020-04-18 08:30:00;13;35;17;0;0;0;0;2
2020-04-18 08:45:00;19;42;13;0;1;1;0;0
2020-04-18 09:00:00;33;56;23;0;0;0;0;0
2020-04-18 09:15:00;25;52;19;0;1;4;1;0
2020-04-18 09:30:00;22;54;17;0;2;5;0;3
2020-04-18 09:45:00;36;92;28;0;0;1;1;7
2020-04-18 10:00:00;33;77;35;0;3;3;0;0
2020-04-18 10:15:00;43;83;31;0;3;0;0;1
2020-04-18 10:30:00;36;80;40;0;4;1;1;2
2020-04-18 10:45:00;32;79;43;0;1;0;2;3
2020-04-18 11:00:00;44;90;44;0;1;2;5;12
2020-04-18 11:15:00;31;100;39;0;0;1;7;0
2020-04-18 11:30:00;38;96;41;0;5;0;0;2
2020-04-18 11:45:00;49;96;49;0;7;5;0;5
2020-04-18 12:00:00;39;100;47;0;4;3;0;0
2020-04-18 12:15:00;36;110;36;0;11;1;2;10
2020-04-18 12:30:00;41;102;35;0;2;0;0;1
2020-04-18 12:45:00;47;114;43;0;0;2;20;0
2020-04-18 13:00:00;60;97;42;0;13;20;20;4
2020-04-18 13:15:00;49;107;43;0;1;3;9;0
2020-04-18 13:30:00;37;133;46;0;6;0;0;0
2020-04-18 13:45:00;41;96;41;0;2;0;0;0
2020-04-18 14:00:00;52;119;51;0;4;9;16;9
2020-04-18 14:15:00;48;110;35;0;4;0;0;0
2020-04-18 14:30:00;46;89;43;0;2;3;18;1
2020-04-18 14:45:00;51;131;48;0;13;7;10;10
2020-04-18 15:00:00;37;108;41;0;2;0;0;0
2020-04-18 15:15:00;42;88;37;0;14;1;0;7
2020-04-18 15:30:00;41;97;37;0;4;0;3;1
2020-04-18 15:45:00;45;90;28;0;5;0;5;2
2020-04-18 16:00:00;41;106;39;0;0;6;29;0
2020-04-18 16:15:00;50;103;39;0;21;0;0;16
2020-04-18 16:30:00;47;127;47;0;9;3;2;0
2020-04-18 16:45:00;48;103;50;0;7;1;2;20
2020-04-18 17:00:00;64;101;53;0;1;3;0;0
2020-04-18 17:15:00;50;87;37;0;9;0;2;2
2020-04-18 17:30:00;45;88;43;0;2;0;3;8
2020-04-18 17:45:00;38;87;50;0;5;5;13;2
2020-04-18 18:00:00;37;90;40;0;3;2;2;0
2020-04-18 18:15:00;47;84;45;0;13;1;4;0
2020-04-18 18:30:00;45;85;34;0;7;0;1;1
2020-04-18 18:45:00;46;94;29;0;0;0;6;0
2020-04-18 19:00:00;43;75;54;0;0;0;0;0
2020-04-18 19:15:00;34;65;32;0;5;0;0;0
2020-04-18 19:30:00;39;67;32;0;0;0;0;0
2020-04-18 19:45:00;37;69;32;0;0;0;0;0
2020-04-18 20:00:00;34;62;31;0;0;0;0;0
2020-04-18 20:15:00;17;66;20;0;0;0;0;0
2020-04-18 20:30:00;21;53;24;0;0;0;0;0
2020-04-18 20:45:00;17;38;11;0;2;0;0;0
2020-04-18 21:00:00;19;41;1;0;0;0;0;0
2020-04-18 21:15:00;11;38;17;0;0;0;0;0
2020-04-18 21:30:00;12;36;11;0;0;0;0;0
2020-04-18 21:45:00;12;26;6;0;0;0;0;0
2020-04-18 22:00:00;9;16;5;0;0;0;0;0
2020-04-18 22:15:00;13;20;0;0;0;0;0;0
2020-04-18 22:30:00;11;22;7;0;0;0;0;0
2020-04-18 22:45:00;11;32;8;0;0;0;0;0
2020-04-18 23:00:00;3;13;7;0;0;0;0;0
2020-04-18 23:15:00;4;15;3;0;0;0;0;0
2020-04-18 23:30:00;6;18;8;0;0;0;0;0
2020-04-18 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
