DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DC2);6(MPF2B01);7(MPF2B02);8(MPF2B03);9(MPF2B04);10(MPF2B05);11(MPF2B06);12(MPF2B07);13(MPF2B08);14(MPF2B09);15(MPF2B10);16(MPF2B11);17(MPF2B12);18(MPF2B13);19(MPF2B14)
2019-10-19 14:45:00;124;109;3;86;151;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 15:00:00;144;119;4;99;159;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 15:15:00;113;127;0;87;167;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 15:30:00;120;126;1;78;139;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 15:45:00;120;132;3;92;141;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 16:00:00;123;106;4;86;143;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 16:15:00;142;134;10;109;159;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 16:30:00;144;152;5;84;159;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 16:45:00;175;152;2;100;156;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 17:00:00;143;128;2;84;138;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 17:15:00;106;104;1;84;150;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 17:30:00;123;130;0;88;158;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 17:45:00;91;101;1;97;136;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 18:00:00;119;114;1;100;136;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 18:15:00;115;96;2;74;122;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 18:30:00;126;118;13;93;147;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 18:45:00;106;104;6;79;120;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 19:00:00;114;122;12;97;121;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 19:15:00;85;85;23;90;108;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 19:30:00;100;89;21;64;78;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 19:45:00;109;82;6;73;101;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2019-10-19 20:00:00;74;64;8;43;81;0;0;0;0;0;0;0;0;0;0;0;0;0;0
