DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2)
2020-08-25 00:00:00;9;3;0;1;3;7;2
2020-08-25 00:15:00;12;7;0;2;1;12;1
2020-08-25 00:30:00;15;6;1;3;3;8;6
2020-08-25 00:45:00;8;4;2;1;3;9;5
2020-08-25 01:00:00;12;2;0;0;1;8;7
2020-08-25 01:15:00;5;6;0;1;3;13;1
2020-08-25 01:30:00;4;5;0;1;2;9;3
2020-08-25 01:45:00;8;5;0;0;1;5;2
2020-08-25 02:00:00;6;2;0;0;1;8;1
2020-08-25 02:15:00;8;4;1;2;1;6;1
2020-08-25 02:30:00;4;3;0;3;3;4;1
2020-08-25 02:45:00;5;4;0;4;5;10;2
2020-08-25 03:00:00;2;3;0;1;1;2;1
2020-08-25 03:15:00;8;9;2;0;1;3;1
2020-08-25 03:30:00;7;3;1;0;2;7;1
2020-08-25 03:45:00;10;3;0;2;1;11;1
2020-08-25 04:00:00;3;4;0;0;1;8;1
2020-08-25 04:15:00;6;2;0;5;7;14;3
2020-08-25 04:30:00;16;10;1;4;6;12;3
2020-08-25 04:45:00;18;22;1;2;4;31;13
2020-08-25 05:00:00;27;20;1;1;4;59;55
2020-08-25 05:15:00;40;28;2;8;11;114;79
2020-08-25 05:30:00;40;39;0;3;12;81;87
2020-08-25 05:45:00;77;61;5;6;14;103;93
2020-08-25 06:00:00;104;75;4;4;15;81;66
2020-08-25 06:15:00;82;61;1;4;19;114;117
2020-08-25 06:30:00;58;88;2;9;26;128;129
2020-08-25 06:45:00;77;77;3;14;31;131;151
2020-08-25 07:00:00;62;58;3;10;22;133;122
2020-08-25 07:15:00;64;62;5;14;27;125;146
2020-08-25 07:30:00;58;64;6;11;24;117;122
2020-08-25 07:45:00;77;71;5;14;25;123;130
2020-08-25 08:00:00;66;69;5;9;25;108;133
2020-08-25 08:15:00;53;61;2;9;19;93;106
2020-08-25 08:30:00;69;67;2;8;23;108;98
2020-08-25 08:45:00;89;74;8;6;29;95;86
2020-08-25 09:00:00;93;63;2;14;30;82;68
2020-08-25 09:15:00;75;53;2;9;20;81;86
2020-08-25 09:30:00;78;58;4;10;23;84;83
2020-08-25 09:45:00;90;57;4;11;17;86;91
2020-08-25 10:00:00;79;58;3;11;21;81;84
2020-08-25 10:15:00;109;69;9;15;28;96;75
2020-08-25 10:30:00;95;60;2;9;22;92;76
2020-08-25 10:45:00;76;66;9;11;22;83;69
2020-08-25 11:00:00;121;63;5;14;28;74;64
2020-08-25 11:15:00;104;77;6;14;23;79;71
2020-08-25 11:30:00;110;65;5;18;30;84;62
2020-08-25 11:45:00;101;70;3;12;27;83;67
2020-08-25 12:00:00;105;77;7;23;35;86;67
2020-08-25 12:15:00;103;75;10;21;36;91;69
2020-08-25 12:30:00;96;72;5;13;29;62;66
2020-08-25 12:45:00;106;71;9;14;34;79;64
2020-08-25 13:00:00;120;83;6;13;26;99;92
2020-08-25 13:15:00;113;64;5;12;26;93;89
2020-08-25 13:30:00;107;90;8;16;26;100;124
2020-08-25 13:45:00;107;81;5;23;42;110;94
2020-08-25 14:00:00;121;112;7;19;34;98;91
2020-08-25 14:15:00;196;115;3;19;34;79;88
2020-08-25 14:30:00;205;161;6;19;39;83;83
2020-08-25 14:45:00;159;136;9;11;36;74;76
2020-08-25 15:00:00;155;119;5;24;40;80;81
2020-08-25 15:15:00;185;135;5;14;27;88;101
2020-08-25 15:30:00;137;111;7;16;39;85;93
2020-08-25 15:45:00;160;135;6;14;40;78;83
2020-08-25 16:00:00;179;134;4;17;34;107;103
2020-08-25 16:15:00;180;154;5;13;31;88;101
2020-08-25 16:30:00;181;164;8;11;46;102;102
2020-08-25 16:45:00;161;154;7;19;40;93;83
2020-08-25 17:00:00;157;149;7;35;39;100;100
2020-08-25 17:15:00;155;142;8;21;52;86;101
2020-08-25 17:30:00;126;105;8;20;43;98;104
2020-08-25 17:45:00;133;126;8;24;39;90;95
2020-08-25 18:00:00;122;109;8;22;28;69;77
2020-08-25 18:15:00;124;85;6;15;34;80;73
2020-08-25 18:30:00;88;72;3;13;31;75;71
2020-08-25 18:45:00;92;73;5;14;26;54;71
2020-08-25 19:00:00;85;71;3;9;20;70;67
2020-08-25 19:15:00;79;51;3;7;16;59;40
2020-08-25 19:30:00;67;43;3;8;23;55;61
2020-08-25 19:45:00;62;33;3;13;34;55;31
2020-08-25 20:00:00;60;43;3;10;22;56;51
2020-08-25 20:15:00;62;43;3;15;27;57;40
2020-08-25 20:30:00;49;35;4;11;26;60;36
2020-08-25 20:45:00;75;31;2;12;21;61;57
2020-08-25 21:00:00;44;35;6;10;16;78;73
2020-08-25 21:15:00;49;27;5;9;20;76;59
2020-08-25 21:30:00;39;27;3;4;16;54;34
2020-08-25 21:45:00;86;56;1;8;13;40;14
2020-08-25 22:00:00;121;64;3;3;12;44;23
2020-08-25 22:15:00;50;37;7;6;13;37;22
2020-08-25 22:30:00;31;21;2;4;9;27;14
2020-08-25 22:45:00;28;13;3;4;9;16;12
2020-08-25 23:00:00;16;10;2;6;10;17;10
2020-08-25 23:15:00;20;16;3;2;5;14;12
2020-08-25 23:30:00;20;7;1;2;6;17;9
