DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DC3);9(DD1);10(DD2);11(TAFBA);12(TAFBB);13(TAFBC);14(TAFBD)
2020-01-03 00:00:00;9;8;1;2;2;17;9;2;0;0;0;0;0;0
2020-01-03 00:15:00;12;12;2;0;2;15;19;6;1;1;0;0;0;0
2020-01-03 00:30:00;11;8;3;3;1;17;12;6;1;2;0;0;0;0
2020-01-03 00:45:00;12;7;2;5;5;15;10;6;1;1;0;0;0;0
2020-01-03 01:00:00;10;13;5;0;1;6;6;0;1;1;0;0;0;0
2020-01-03 01:15:00;5;5;1;1;3;13;10;5;2;1;0;0;0;0
2020-01-03 01:30:00;3;6;1;0;2;8;8;2;3;0;0;0;0;0
2020-01-03 01:45:00;6;4;1;1;4;11;11;1;1;0;0;0;0;0
2020-01-03 02:00:00;2;1;1;1;2;9;6;2;0;0;0;0;0;0
2020-01-03 02:15:00;2;2;0;1;2;8;7;4;1;0;0;0;0;0
2020-01-03 02:30:00;2;3;0;1;1;11;7;3;0;0;0;0;0;0
2020-01-03 02:45:00;7;5;1;1;0;2;3;1;1;0;0;0;0;0
2020-01-03 03:00:00;5;4;0;3;3;7;9;2;0;0;0;0;0;0
2020-01-03 03:15:00;3;3;1;0;0;3;7;3;0;1;0;0;0;0
2020-01-03 03:30:00;2;3;2;0;1;4;3;2;0;0;0;0;0;0
2020-01-03 03:45:00;6;3;2;2;2;6;3;2;0;0;0;0;0;0
2020-01-03 04:00:00;3;4;0;1;2;5;5;0;0;1;0;0;0;0
2020-01-03 04:15:00;8;6;1;1;2;12;8;9;0;1;0;0;0;0
2020-01-03 04:30:00;4;3;0;5;3;4;3;9;1;1;0;0;0;0
2020-01-03 04:45:00;9;6;1;0;3;5;9;4;1;1;0;0;0;0
2020-01-03 05:00:00;11;7;2;0;1;8;10;8;2;0;0;0;0;0
2020-01-03 05:15:00;17;14;5;2;3;15;11;6;4;3;0;0;0;0
2020-01-03 05:30:00;23;25;1;7;13;15;12;19;4;7;0;0;0;0
2020-01-03 05:45:00;23;22;2;10;8;14;10;10;3;3;0;0;0;0
2020-01-03 06:00:00;15;17;2;11;4;17;19;18;3;5;0;0;0;0
2020-01-03 06:15:00;25;27;2;8;10;15;17;14;7;8;0;0;0;0
2020-01-03 06:30:00;37;37;2;11;18;25;17;25;10;7;0;0;0;0
2020-01-03 06:45:00;34;37;2;10;17;30;19;14;6;2;0;0;0;0
2020-01-03 07:00:00;36;49;2;15;16;26;21;22;14;5;0;0;0;0
2020-01-03 07:15:00;31;27;3;26;12;31;29;21;10;14;0;0;2;0
2020-01-03 07:30:00;37;46;12;15;23;38;38;19;8;3;0;0;1;0
2020-01-03 07:45:00;50;41;9;14;24;43;40;25;10;8;0;0;0;0
2020-01-03 08:00:00;37;43;8;15;21;37;35;22;9;3;3;0;0;0
2020-01-03 08:15:00;46;48;10;25;25;48;45;21;8;4;1;0;0;1
2020-01-03 08:30:00;40;35;8;17;26;39;47;26;11;12;0;0;0;0
2020-01-03 08:45:00;51;76;21;20;30;58;54;40;6;11;0;0;0;0
2020-01-03 09:00:00;55;48;22;30;40;56;55;35;16;13;0;0;3;0
2020-01-03 09:15:00;75;65;18;26;22;67;66;23;12;11;2;0;2;0
2020-01-03 09:30:00;75;71;12;30;37;70;52;37;12;9;0;0;0;0
2020-01-03 09:45:00;83;88;33;37;46;78;84;33;17;8;0;0;0;0
2020-01-03 10:00:00;66;69;30;45;23;81;84;38;19;12;0;0;0;0
2020-01-03 10:15:00;78;93;32;40;50;82;74;38;21;20;1;0;0;0
2020-01-03 10:30:00;94;86;26;58;44;97;86;36;19;12;0;0;6;0
2020-01-03 10:45:00;94;92;31;51;38;86;86;51;24;16;4;1;1;3
2020-01-03 11:00:00;85;90;18;45;30;87;103;48;16;9;0;0;0;0
2020-01-03 11:15:00;78;83;39;38;34;101;115;47;13;8;7;0;0;0
2020-01-03 11:30:00;88;91;35;47;55;105;107;53;16;16;0;0;0;7
2020-01-03 11:45:00;95;94;29;45;53;90;96;43;20;17;0;0;2;1
2020-01-03 12:00:00;84;87;20;49;41;96;108;45;24;15;0;0;1;0
2020-01-03 12:15:00;87;83;28;39;38;107;108;42;12;9;0;0;1;0
2020-01-03 12:30:00;89;100;22;35;46;115;122;55;10;8;0;0;1;0
2020-01-03 12:45:00;94;96;20;44;42;106;114;41;14;11;53;0;0;0
2020-01-03 13:00:00;99;112;17;34;42;91;117;46;17;12;0;0;1;0
2020-01-03 13:15:00;86;76;25;37;40;101;112;37;17;6;4;0;0;0
2020-01-03 13:30:00;89;96;27;48;29;107;114;48;11;9;0;0;3;15
2020-01-03 13:45:00;91;104;23;35;36;113;111;61;17;11;0;0;1;0
2020-01-03 14:00:00;98;103;30;43;39;106;123;41;30;6;4;0;4;0
2020-01-03 14:15:00;101;101;22;34;48;104;120;43;17;13;1;0;15;0
2020-01-03 14:30:00;90;82;19;46;39;109;111;50;16;9;0;0;0;0
2020-01-03 14:45:00;90;94;21;45;33;118;126;45;28;9;0;0;0;0
2020-01-03 15:00:00;80;87;19;41;28;97;117;41;25;8;0;0;0;0
