DATUM;1(DA1);2(DA2);3(DA3);4(DBR1);5(DBR2);6(DB1);7(DC1);8(DC2)
2020-01-03 00:00:00;3;7;7;0;5;0;3;2
2020-01-03 00:15:00;3;15;15;0;3;0;16;6
2020-01-03 00:30:00;5;4;6;1;3;0;13;5
2020-01-03 00:45:00;6;6;6;1;4;0;12;6
2020-01-03 01:00:00;4;7;7;0;1;0;4;2
2020-01-03 01:15:00;6;8;7;2;5;0;4;5
2020-01-03 01:30:00;7;5;5;0;2;0;7;3
2020-01-03 01:45:00;4;5;5;0;0;0;8;2
2020-01-03 02:00:00;2;6;5;0;1;0;8;5
2020-01-03 02:15:00;6;5;5;2;3;0;3;2
2020-01-03 02:30:00;0;4;4;0;1;0;3;1
2020-01-03 02:45:00;5;5;5;2;3;0;4;7
2020-01-03 03:00:00;5;3;3;0;0;0;2;0
2020-01-03 03:15:00;2;6;6;2;3;0;6;1
2020-01-03 03:30:00;1;3;3;1;1;0;2;1
2020-01-03 03:45:00;1;2;2;1;2;0;0;1
2020-01-03 04:00:00;5;3;3;0;0;0;0;0
2020-01-03 04:15:00;3;2;2;1;3;0;4;1
2020-01-03 04:30:00;0;3;3;0;4;0;4;5
2020-01-03 04:45:00;7;6;7;1;3;0;6;3
2020-01-03 05:00:00;1;2;2;3;9;0;7;7
2020-01-03 05:15:00;14;11;10;5;10;0;17;8
2020-01-03 05:30:00;26;20;21;2;14;0;20;8
2020-01-03 05:45:00;20;17;16;4;12;0;23;12
2020-01-03 06:00:00;15;21;21;4;5;0;19;6
2020-01-03 06:15:00;20;22;23;4;6;0;20;8
2020-01-03 06:30:00;31;34;34;6;6;0;19;10
2020-01-03 06:45:00;31;22;23;4;8;0;28;11
2020-01-03 07:00:00;24;24;25;6;15;0;18;15
2020-01-03 07:15:00;24;24;25;4;7;0;29;11
2020-01-03 07:30:00;33;25;25;7;15;0;30;21
2020-01-03 07:45:00;33;34;32;9;12;0;25;12
2020-01-03 08:00:00;37;34;33;7;16;0;34;15
2020-01-03 08:15:00;31;24;23;3;14;0;33;13
2020-01-03 08:30:00;43;36;34;14;23;0;33;36
2020-01-03 08:45:00;39;25;25;13;24;0;36;29
2020-01-03 09:00:00;48;39;39;13;17;0;42;22
2020-01-03 09:15:00;52;41;40;12;16;0;55;30
2020-01-03 09:30:00;44;41;43;8;19;0;46;30
2020-01-03 09:45:00;50;50;49;14;20;0;54;36
2020-01-03 10:00:00;60;54;53;13;16;0;59;37
2020-01-03 10:15:00;61;63;63;11;14;0;62;40
2020-01-03 10:30:00;78;46;44;11;15;0;70;41
2020-01-03 10:45:00;73;61;64;9;17;0;65;42
2020-01-03 11:00:00;71;51;52;18;21;0;63;30
2020-01-03 11:15:00;66;55;57;17;23;0;47;39
2020-01-03 11:30:00;74;62;63;21;85;0;71;39
2020-01-03 11:45:00;75;54;54;19;36;0;73;46
2020-01-03 12:00:00;74;60;56;18;15;0;70;46
2020-01-03 12:15:00;79;47;47;17;24;0;80;47
2020-01-03 12:30:00;69;50;52;17;22;0;64;48
2020-01-03 12:45:00;66;53;51;16;21;0;71;41
2020-01-03 13:00:00;63;41;39;17;25;0;81;38
2020-01-03 13:15:00;70;59;59;22;24;0;93;39
2020-01-03 13:30:00;69;69;68;16;27;0;77;54
2020-01-03 13:45:00;68;78;76;15;25;0;94;55
2020-01-03 14:00:00;72;60;58;18;21;0;86;44
2020-01-03 14:15:00;81;76;73;21;23;0;79;54
2020-01-03 14:30:00;87;68;66;18;26;0;74;53
2020-01-03 14:45:00;64;55;55;18;24;0;89;49
2020-01-03 15:00:00;75;61;57;14;21;0;81;42
2020-01-03 15:15:00;84;71;68;18;31;0;74;49
2020-01-03 15:30:00;64;54;51;11;22;0;72;44
2020-01-03 15:45:00;60;50;52;15;33;0;59;38
2020-01-03 16:00:00;59;57;53;15;27;0;62;33
2020-01-03 16:15:00;73;52;54;13;25;0;69;47
2020-01-03 16:30:00;58;51;49;14;24;0;73;42
2020-01-03 16:45:00;71;69;62;23;24;0;80;38
2020-01-03 17:00:00;50;41;40;11;16;0;53;32
2020-01-03 17:15:00;56;53;54;15;19;0;80;49
2020-01-03 17:30:00;56;49;49;13;23;0;68;47
2020-01-03 17:45:00;45;49;48;16;26;0;50;32
2020-01-03 18:00:00;53;61;57;10;14;0;64;40
2020-01-03 18:15:00;63;39;37;13;28;0;66;32
2020-01-03 18:30:00;45;44;38;12;20;0;49;32
