DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2)
2020-06-19 00:00:00;6;4;0;0;2;12;7
2020-06-19 00:15:00;12;6;1;7;7;16;5
2020-06-19 00:30:00;8;2;0;1;1;8;3
2020-06-19 00:45:00;10;3;1;3;2;7;10
2020-06-19 01:00:00;9;4;0;0;1;6;4
2020-06-19 01:15:00;7;4;1;1;3;14;2
2020-06-19 01:30:00;3;4;0;0;0;5;2
2020-06-19 01:45:00;4;2;0;1;0;4;5
2020-06-19 02:00:00;7;7;3;3;5;8;5
2020-06-19 02:15:00;8;6;1;0;2;5;4
2020-06-19 02:30:00;7;5;1;0;3;3;2
2020-06-19 02:45:00;3;2;0;4;5;7;3
2020-06-19 03:00:00;3;4;0;0;0;4;1
2020-06-19 03:15:00;4;0;0;0;0;6;3
2020-06-19 03:30:00;3;4;0;2;0;7;1
2020-06-19 03:45:00;6;2;1;1;2;5;2
2020-06-19 04:00:00;7;4;0;2;2;4;3
2020-06-19 04:15:00;4;4;0;0;1;8;3
2020-06-19 04:30:00;17;11;0;3;2;8;3
2020-06-19 04:45:00;19;10;0;3;3;22;11
2020-06-19 05:00:00;23;15;0;3;6;38;20
2020-06-19 05:15:00;35;23;1;10;8;66;47
2020-06-19 05:30:00;38;32;0;6;10;98;68
2020-06-19 05:45:00;56;50;5;9;22;96;87
2020-06-19 06:00:00;69;73;3;3;13;72;73
2020-06-19 06:15:00;55;47;5;9;20;86;100
2020-06-19 06:30:00;73;94;4;6;26;139;130
2020-06-19 06:45:00;74;71;7;11;30;150;144
2020-06-19 07:00:00;52;56;1;8;25;128;161
2020-06-19 07:15:00;65;76;8;15;27;133;131
2020-06-19 07:30:00;73;81;3;15;25;146;151
2020-06-19 07:45:00;69;62;3;10;25;144;158
2020-06-19 08:00:00;62;70;7;11;24;105;92
2020-06-19 08:15:00;65;56;5;13;31;90;86
2020-06-19 08:30:00;74;64;2;12;31;86;100
2020-06-19 08:45:00;76;63;7;29;33;87;83
2020-06-19 09:00:00;78;63;8;14;28;94;98
2020-06-19 09:15:00;87;72;8;9;21;77;84
2020-06-19 09:30:00;87;92;7;14;30;85;90
2020-06-19 09:45:00;98;56;9;16;20;91;92
2020-06-19 10:00:00;98;73;5;8;35;85;68
2020-06-19 10:15:00;97;70;7;17;29;89;79
2020-06-19 10:30:00;112;79;4;12;29;84;73
2020-06-19 10:45:00;112;78;6;12;30;85;85
2020-06-19 11:00:00;107;73;12;14;27;103;90
2020-06-19 11:15:00;106;82;11;29;35;74;78
2020-06-19 11:30:00;95;89;7;26;38;84;86
2020-06-19 11:45:00;115;103;8;17;29;95;79
2020-06-19 12:00:00;162;144;7;19;33;81;94
2020-06-19 12:15:00;136;107;8;29;49;97;101
2020-06-19 12:30:00;147;138;3;21;32;101;98
2020-06-19 12:45:00;141;106;9;19;47;135;122
2020-06-19 13:00:00;152;121;9;24;41;98;94
2020-06-19 13:15:00;149;118;17;12;36;107;96
2020-06-19 13:30:00;156;119;7;12;33;111;105
2020-06-19 13:45:00;133;110;13;23;45;126;117
2020-06-19 14:00:00;142;128;4;21;39;127;120
2020-06-19 14:15:00;191;142;4;13;34;97;101
2020-06-19 14:30:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-19 14:45:00;159;122;5;16;47;92;109
2020-06-19 15:00:00;143;117;3;15;25;102;98
2020-06-19 15:15:00;165;136;10;17;38;107;98
2020-06-19 15:30:00;149;135;6;19;37;100;109
2020-06-19 15:45:00;126;118;10;21;37;100;120
2020-06-19 16:00:00;134;131;11;20;38;99;92
2020-06-19 16:15:00;140;114;5;22;37;111;119
2020-06-19 16:30:00;128;123;8;25;43;94;84
2020-06-19 16:45:00;146;125;7;19;36;89;95
2020-06-19 17:00:00;129;127;9;13;52;97;97
2020-06-19 17:15:00;146;124;8;18;43;101;100
2020-06-19 17:30:00;119;89;6;11;31;89;81
2020-06-19 17:45:00;108;81;5;15;29;93;82
2020-06-19 18:00:00;115;94;7;12;27;84;76
2020-06-19 18:15:00;90;85;8;16;35;78;73
2020-06-19 18:30:00;96;80;10;16;33;81;62
2020-06-19 18:45:00;100;69;3;16;27;69;62
2020-06-19 19:00:00;90;64;10;13;35;71;56
2020-06-19 19:15:00;68;45;4;18;28;48;32
2020-06-19 19:30:00;81;42;3;24;28;57;34
2020-06-19 19:45:00;87;50;5;12;34;51;27
2020-06-19 20:00:00;76;43;9;14;31;63;44
2020-06-19 20:15:00;70;45;5;21;31;66;43
2020-06-19 20:30:00;53;44;6;14;24;47;31
2020-06-19 20:45:00;47;27;3;13;23;47;40
2020-06-19 21:00:00;45;33;7;12;21;50;27
2020-06-19 21:15:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-19 21:30:00;40;36;8;17;24;45;30
2020-06-19 21:45:00;62;53;2;9;19;35;18
2020-06-19 22:00:00;77;42;6;6;15;43;28
2020-06-19 22:15:00;44;33;4;6;16;45;20
2020-06-19 22:30:00;34;20;6;6;14;41;22
2020-06-19 22:45:00;36;22;3;8;16;26;18
2020-06-19 23:00:00;25;13;3;4;15;30;18
2020-06-19 23:15:00;25;14;3;3;10;21;13
2020-06-19 23:30:00;22;14;1;3;10;27;14
2020-06-19 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
