DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DB3);7(DC1);8(DC2);9(DC3);10(DD1);11(DE1)
2020-11-23 00:00:00;3;3;1;0;0;0;7;0;0;1;0
2020-11-23 00:15:00;5;5;3;1;0;1;8;2;0;0;0
2020-11-23 00:30:00;5;3;0;0;0;2;3;2;0;1;0
2020-11-23 00:45:00;2;1;0;2;0;3;8;4;0;1;0
2020-11-23 01:00:00;4;2;0;2;0;1;12;7;0;0;0
2020-11-23 01:15:00;1;1;0;0;0;0;6;3;0;1;0
2020-11-23 01:30:00;4;2;0;0;0;0;6;1;0;0;0
2020-11-23 01:45:00;3;3;0;0;0;0;4;1;0;0;0
2020-11-23 02:00:00;4;6;2;1;0;1;3;1;0;0;0
2020-11-23 02:15:00;2;1;0;1;0;1;6;1;0;2;0
2020-11-23 02:30:00;7;4;1;1;0;1;3;1;0;2;0
2020-11-23 02:45:00;8;6;0;0;0;0;9;0;0;0;0
2020-11-23 03:00:00;3;4;1;0;0;0;6;0;0;0;0
2020-11-23 03:15:00;4;1;0;0;0;0;7;1;0;1;0
2020-11-23 03:30:00;4;2;1;2;0;2;7;1;0;0;0
2020-11-23 03:45:00;3;2;0;2;0;2;9;0;0;1;0
2020-11-23 04:00:00;5;4;0;0;0;1;18;4;0;1;0
2020-11-23 04:15:00;7;12;2;0;0;1;16;4;0;0;0
2020-11-23 04:30:00;11;11;5;1;0;2;28;9;0;2;0
2020-11-23 04:45:00;18;8;3;0;0;1;33;22;0;3;0
2020-11-23 05:00:00;36;20;10;1;0;3;73;50;1;5;0
2020-11-23 05:15:00;34;22;13;3;0;6;106;75;1;3;0
2020-11-23 05:30:00;41;22;18;11;1;17;112;105;0;3;0
2020-11-23 05:45:00;45;30;22;18;6;31;113;97;0;2;0
2020-11-23 06:00:00;65;27;26;15;1;19;83;87;0;4;0
2020-11-23 06:15:00;64;40;34;25;4;37;107;114;0;7;2
2020-11-23 06:30:00;58;42;40;37;10;55;116;129;1;6;0
2020-11-23 06:45:00;81;41;44;41;20;63;107;115;4;5;1
2020-11-23 07:00:00;81;34;38;37;20;57;102;110;2;10;1
2020-11-23 07:15:00;70;51;34;72;30;93;122;141;3;14;1
2020-11-23 07:30:00;62;38;34;48;17;70;129;155;2;12;1
2020-11-23 07:45:00;101;43;49;45;18;62;125;156;3;12;2
2020-11-23 08:00:00;81;42;34;26;15;41;114;125;1;14;0
2020-11-23 08:15:00;92;33;32;40;14;54;94;97;1;10;3
2020-11-23 08:30:00;83;36;35;24;2;28;96;92;1;6;0
2020-11-23 08:45:00;79;36;29;36;9;47;95;87;2;11;4
2020-11-23 09:00:00;78;41;31;19;8;29;91;97;0;6;0
2020-11-23 09:15:00;79;31;23;28;4;33;85;74;2;8;1
2020-11-23 09:30:00;76;37;22;31;9;43;79;72;3;7;2
2020-11-23 09:45:00;101;42;41;23;8;29;82;69;1;10;4
2020-11-23 10:00:00;118;40;25;21;9;33;88;90;5;6;1
2020-11-23 10:15:00;88;40;38;22;9;31;73;70;2;10;2
2020-11-23 10:30:00;96;39;33;20;5;26;84;88;2;5;1
2020-11-23 10:45:00;108;41;37;30;2;27;94;71;0;7;0
2020-11-23 11:00:00;86;38;36;14;4;18;92;71;5;9;4
2020-11-23 11:15:00;108;31;45;12;4;16;89;72;6;16;2
2020-11-23 11:30:00;90;37;28;13;7;20;77;63;6;15;2
2020-11-23 11:45:00;103;41;35;24;5;31;86;64;1;5;2
2020-11-23 12:00:00;114;48;40;17;2;19;89;88;3;8;0
2020-11-23 12:15:00;115;50;57;17;4;25;92;75;2;12;0
2020-11-23 12:30:00;95;51;38;21;3;25;89;67;2;10;0
2020-11-23 12:45:00;108;42;46;21;5;24;98;79;1;8;0
2020-11-23 13:00:00;117;49;44;17;3;23;107;108;4;9;1
2020-11-23 13:15:00;117;45;37;16;4;24;107;111;3;4;0
2020-11-23 13:30:00;120;44;43;20;3;21;145;145;1;9;1
2020-11-23 13:45:00;136;53;43;21;9;31;102;100;3;9;0
2020-11-23 14:00:00;154;60;63;19;6;22;111;107;2;10;1
2020-11-23 14:15:00;197;84;89;22;4;25;93;90;1;13;0
